Parent Department,Organisation,Unit,Reporting SCS post reference,Reporting SCS Post title,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE
,,,,,Lieutenant,,,Combat Systems,8
,,,,,Other Rank,,,Combat Systems,17
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,3332,Head Destroyers ,B1,,,Destroyers ,1
,,,,,B2,,,Destroyers ,5
,,,,,C1,,,Destroyers ,22
,,,,,C2,,,Destroyers ,19
,,,,,D,,,Destroyers ,2
,,,,,E1,,,Destroyers ,2
,,,,,Captain,,,Destroyers ,2
,,,,,Commander,,,Destroyers ,3
,,,,,Lt Commander,,,Destroyers ,2
,,,,,Lieutenant,,,Destroyers ,1
,,,,,Other Rank,,,Destroyers ,3
,,,,,Other Rank,,,Destroyers ,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,4366,Head Capital Ships,B1,,,Capital Ships,5
,,,,,B2,,,Capital Ships,10
,,,,,C1,,,Capital Ships,27
,,,,,C2,,,Capital Ships,28
,,,,,D,,,Capital Ships,8
,,,,,E1,,,Capital Ships,1
,,,,,Captain,,,Capital Ships,2
,,,,,Commander,,,Capital Ships,5
,,,,,Lt Commander,,,Capital Ships,8
,,,,,Lieutenant,,,Capital Ships,2
,,,,,Other Rank,,,Capital Ships,6
,,,,,Major,,,Capital Ships,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,5529,Head Afloat Support      ,B1,,, Afloat Support,2
,,,,,B2,,, Afloat Support,6
,,,,,C1,,, Afloat Support,54
,,,,,C2,,, Afloat Support,22
,,,,,D,,, Afloat Support,3
,,,,,E1,,, Afloat Support,10
,,,,,Commander,,, Afloat Support,1
,,,,,Lt Commander,,, Afloat Support,1
,,,,,Other Rank,,, Afloat Support,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,8374,Head Surface Combatants ,B1,,,Surface Combatants,3
,,,,,B2,,,Surface Combatants,12
,,,,,C1,,,Surface Combatants,28
,,,,,C2,,,Surface Combatants,35
,,,,,D,,,Surface Combatants,17
,,,,,E1,,,Surface Combatants,3
,,,,,Commander,,,Surface Combatants,6
,,,,,Lt Commander,,,Surface Combatants,7
,,,,,Lieutenant,,,Surface Combatants,7
,,,,,Other Rank,,,Surface Combatants,9
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,7537,Head Fleet Wide Equipment,B1,,,Fleet Wide Equipment,6
,,,,,B2,,,Fleet Wide Equipment,20
,,,,,C1,,,Fleet Wide Equipment,78
,,,,,C2,,,Fleet Wide Equipment,146
,,,,,D,,,Fleet Wide Equipment,128
,,,,,E1,,,Fleet Wide Equipment,85
,,,,,Commander,,,Fleet Wide Equipment,8
,,,,,Lt Commander,,,Fleet Wide Equipment,12
,,,,,Lieutenant,,,Fleet Wide Equipment,12
,,,,,Other Rank,,,Fleet Wide Equipment,33
,,,,,Other Rank,,,Fleet Wide Equipment,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,3594,Director Intelligence Surveillance Target Acquisition Reconnaissance,B1,,,Intelligence Surveillance Target Acquisition Reconnaissance Combined Support,9
,,,,,B2,,,Intelligence Surveillance Target Acquisition Reconnaissance Combined Support,9
,,,,,C1,,,Intelligence Surveillance Target Acquisition Reconnaissance Combined Support,49
,,,,,C2,,,Intelligence Surveillance Target Acquisition Reconnaissance Combined Support,35
,,,,,D,,,Intelligence Surveillance Target Acquisition Reconnaissance Combined Support,19
,,,,,E1,,,Intelligence Surveillance Target Acquisition Reconnaissance Combined Support,7
,,,,,Lieutenant,,,Intelligence Surveillance Target Acquisition Reconnaissance Combined Support,1
,,,,,Colonel,,,Intelligence Surveillance Target Acquisition Reconnaissance Combined Support,2
,,,,,Lt Colonel,,,Intelligence Surveillance Target Acquisition Reconnaissance Combined Support,3
,,,,,Major,,,Intelligence Surveillance Target Acquisition Reconnaissance Combined Support,2
,,,,,Captain,,,Intelligence Surveillance Target Acquisition Reconnaissance Combined Support,1
,,,,,Other Rank,,,Intelligence Surveillance Target Acquisition Reconnaissance Combined Support,2
,,,,,Wing Commander,,,Intelligence Surveillance Target Acquisition Reconnaissance Combined Support,2
,,,,,Squadron Leader,,,Intelligence Surveillance Target Acquisition Reconnaissance Combined Support,4
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,172680,Head of Commercial-Intelligence Surveillance Target Acquisition Reconnaissance ,B1,,,Commercial Intelligence Surveillance Target Acquisition Reconnaissance ,2
,,,,,C1,,,Commercial Intelligence Surveillance Target Acquisition Reconnaissance ,1
,,,,,C2,,,Commercial Intelligence Surveillance Target Acquisition Reconnaissance ,3
,,,,,D,,,Commercial Intelligence Surveillance Target Acquisition Reconnaissance ,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,184599,Head of Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,B1,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,2
,,,,,B2,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,7
,,,,,C1,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,42
,,,,,C2,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,58
,,,,,D,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,88
,,,,,E1,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,22
,,,,,SZ3,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,4
,,,,,Commander,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,1
,,,,,Lt Commander,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,2
,,,,,Lieutenant,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,4
,,,,,Other Rank,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,2
,,,,,Lt Colonel,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,1
,,,,,Major,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,2
,,,,,Other Rank,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,1
,,,,,Group Captain,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,1
,,,,,Wing Commander,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,3
,,,,,Squadron Leader,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,7
,,,,,Flt Lieutenant,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,4
,,,,,Other Rank,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,61
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,110862,Head of Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 2,B1,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 2,2
,,,,,B2,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 2,13
,,,,,C1,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 2,65
,,,,,C2,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 2,75
,,,,,D,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 2,30
,,,,,E1,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 2,25
,,,,,Colonel,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 2,1
,,,,,Lt Colonel,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 2,9
,,,,,Major,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 2,3
,,,,,Other Rank,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 2,14
,,,,,Wing Commander,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 2,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,2332,Head of Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,B1,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,2
,,,,,B2,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,9
,,,,,C1,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,46
,,,,,C2,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,30
,,,,,D,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,7
,,,,,E1,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,4
,,,,,Commander,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,2
,,,,,Lt Commander,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,3
,,,,,Lieutenant,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,2
,,,,,Colonel,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,1
,,,,,Major,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,3
,,,,,Other Rank,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,2
,,,,,Squadron Leader,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,2
,,,,,Flt Lieutenant,,,Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,23490,Director Land Equipment,B1,,,Land Equipment Combined Support,6
,,,,,B2,,,Land Equipment Combined Support,5
,,,,,C1,,,Land Equipment Combined Support,29
,,,,,C2,,,Land Equipment Combined Support,25
,,,,,D,,,Land Equipment Combined Support,7
,,,,,E1,,,Land Equipment Combined Support,2
,,,,,Colonel,,,Land Equipment Combined Support,1
,,,,,Lt Colonel,,,Land Equipment Combined Support,2
,,,,,Major,,,Land Equipment Combined Support,3
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,22411,Head of Commercial Land Equipment,B1,,,Commercial Land Equipment,3
,,,,,B2,,,Commercial Land Equipment,2
,,,,,C1,,,Commercial Land Equipment,1
,,,,,C2,,,Commercial Land Equipment,4
,,,,,E1,,,Commercial Land Equipment,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,110867,Head of Portfolio & Programme Support,B2,,,Portfolio & Programme Support,1
,,,,,C1,,,Portfolio & Programme Support,2
,,,,,C2,,,Portfolio & Programme Support,1
,,,,,Other Rank,,,Portfolio & Programme Support,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,22483,Head of General Support Group ,B1,,,General Support Group ,6
,,,,,B2,,,General Support Group ,8
,,,,,C1,,,General Support Group ,66
,,,,,C2,,,General Support Group ,126
,,,,,D,,,General Support Group ,97
,,,,,E1,,,General Support Group ,27
,,,,,SZ2,,,General Support Group ,4
,,,,,SZ3,,,General Support Group ,1
,,,,,Other Rank,,,General Support Group ,1
,,,,,Colonel,,,General Support Group ,1
,,,,,Lt Colonel,,,General Support Group ,4
,,,,,Major,,,General Support Group ,14
,,,,,Other Rank,,,General Support Group ,21
,,,,,Squadron Leader,,,General Support Group ,2
,,,,,Other Rank,,,General Support Group ,12
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,182282,Head of Individual Capability Group  ,B1,,,Individual Capability Group  ,1
,,,,,B2,,,Individual Capability Group  ,7
,,,,,C1,,,Individual Capability Group  ,22
,,,,,C2,,,Individual Capability Group  ,43
,,,,,D,,,Individual Capability Group  ,27
,,,,,E1,,,Individual Capability Group  ,7
,,,,,Lt Commander,,,Individual Capability Group  ,1
,,,,,Other Rank,,,Individual Capability Group  ,1
,,,,,Lt Colonel,,,Individual Capability Group  ,3
,,,,,Major,,,Individual Capability Group  ,9
,,,,,Other Rank,,,Individual Capability Group  ,11
,,,,,Group Captain,,,Individual Capability Group  ,1
,,,,,Squadron Leader,,,Individual Capability Group  ,1
,,,,,Other Rank,,,Individual Capability Group  ,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,172024,Head of Combat Tracks Group ,B1,,,Combat Tracks Group ,8
,,,,,B2,,,Combat Tracks Group ,29
,,,,,C1,,,Combat Tracks Group ,85
,,,,,C2,,,Combat Tracks Group ,104
,,,,,D,,,Combat Tracks Group ,50
,,,,,E1,,,Combat Tracks Group ,18
,,,,,Colonel,,,Combat Tracks Group ,1
,,,,,Lt Colonel,,,Combat Tracks Group ,13
,,,,,Major,,,Combat Tracks Group ,24
,,,,,Other Rank,,,Combat Tracks Group ,39
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,23498,Head of Combat Wheels Group ,B2,,,Head of Combat Wheels Group ,11
,,,,,C1,,,Head of Combat Wheels Group ,30
,,,,,C2,,,Head of Combat Wheels Group ,46
,,,,,D,,,Head of Combat Wheels Group ,21
,,,,,E1,,,Head of Combat Wheels Group ,4
,,,,,Lt Colonel,,,Head of Combat Wheels Group ,4
,,,,,Major,,,Head of Combat Wheels Group ,9
,,,,,Other Rank,,,Head of Combat Wheels Group ,8
,,,,,Other Rank,,,Head of Combat Wheels Group ,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,183045,Head Technology Delivery,B1,,,Technology Delivery,1
,,,,,B2,,,Technology Delivery,9
,,,,,C1,,,Technology Delivery,24
,,,,,C2,,,Technology Delivery,5
,,,,,D,,,Technology Delivery,1
,,,,,E1,,,Technology Delivery,1
,,,,,Commander,,,Technology Delivery,1
,,,,,Lt Commander,,,Technology Delivery,1
,,,,,Lieutenant,,,Technology Delivery,1
,,,,,Major,,,Technology Delivery,1
,,,,,Other Rank,,,Technology Delivery,1
,,,,,Squadron Leader,,,Technology Delivery,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,159581,Head of Cost Assurance & Analysis ,B1,,,Assistance & Assurance,8
,,,,,B2,,,Assistance & Assurance,11
,,,,,C1,,,Assistance & Assurance,24
,,,,,C2,,,Assistance & Assurance,1
,,,,,D,,,Assistance & Assurance,4
,,,,,E1,,,Assistance & Assurance,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,184808,Head Capability Delivery Implementation,B2,,,Capability Delivery Implemantation,2
,,,,,C1,,,Capability Delivery Implemantation,1
,,,,,D,,,Capability Delivery Implemantation,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,2729,Head Programme & Project Management Centre of Excellence,B1,,,"Programme, Projects & Management Centre Of Excellence",2
,,,,,B2,,,"Programme, Projects & Management Centre Of Excellence",4
,,,,,C1,,,"Programme, Projects & Management Centre Of Excellence",15
,,,,,C2,,,"Programme, Projects & Management Centre Of Excellence",5
,,,,,D,,,"Programme, Projects & Management Centre Of Excellence",6
,,,,,Lt Colonel,,,"Programme, Projects & Management Centre Of Excellence",1
,,,,,B1,,,Through Life Project Management,1
,,,,,B2,,,Through Life Project Management,1
,,,,,C1,,,Through Life Project Management,2
,,,,,C2,,,Through Life Project Management,4
,,,,,E1,,,Through Life Project Management,1
,,,,,B2,,,Business Support Team,1
,,,,,C1,,,Business Support Team,1
,,,,,C2,,,Business Support Team,4
,,,,,D,,,Business Support Team,4
,,,,,E1,,,Business Support Team,4
,,,,,Major,,,Business Support Team,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,173858,Weapons Head of Commercial,B1,,,Commercial,1
,,,,,B2,,,Commercial,2
,,,,,C1,,,Commercial,5
,,,,,C2,,,Commercial,3
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,165338,Head of Programmes-Weapons,B1,,,Programmes-Weapons,9
,,,,,B2,,,Programmes-Weapons,9
,,,,,C1,,,Programmes-Weapons,20
,,,,,C2,,,Programmes-Weapons,5
,,,,,D,,,Programmes-Weapons,5
,,,,,E1,,,Programmes-Weapons,1
,,,,,Lt Commander,,,Programmes-Weapons,3
,,,,,Lt Colonel,,,Programmes-Weapons,2
,,,,,Captain,,,Programmes-Weapons,1
,,,,,Other Rank,,,Programmes-Weapons,1
,,,,,Group Captain,,,Programmes-Weapons,1
,,,,,Squadron Leader,,,Programmes-Weapons,1
,,,,,Other Rank,,,Programmes-Weapons,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,2775,Head Engineering & Defence Ordnance Safety Group,B1,,,Engineering & Defence Ordnance Safety Group,4
,,,,,B2,,,Engineering & Defence Ordnance Safety Group,13
,,,,,C1,,,Engineering & Defence Ordnance Safety Group,59
,,,,,C2,,,Engineering & Defence Ordnance Safety Group,41
,,,,,D,,,Engineering & Defence Ordnance Safety Group,11
,,,,,E1,,,Engineering & Defence Ordnance Safety Group,8
,,,,,Lt Commander,,,Engineering & Defence Ordnance Safety Group,1
,,,,,Colonel,,,Engineering & Defence Ordnance Safety Group,1
,,,,,Lt Colonel,,,Engineering & Defence Ordnance Safety Group,2
,,,,,Major,,,Engineering & Defence Ordnance Safety Group,6
,,,,,Captain,,,Engineering & Defence Ordnance Safety Group,1
,,,,,Other Rank,,,Engineering & Defence Ordnance Safety Group,4
,,,,,Wing Commander,,,Engineering & Defence Ordnance Safety Group,1
,,,,,Squadron Leader,,,Engineering & Defence Ordnance Safety Group,1
,,,,,Other Rank,,,Engineering & Defence Ordnance Safety Group,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,110865,Head Munitions International & Torpedoes  ,B1,,,Munitions International & Torpedoes  ,2
,,,,,B2,,,Munitions International & Torpedoes  ,15
,,,,,C1,,,Munitions International & Torpedoes  ,67
,,,,,C2,,,Munitions International & Torpedoes  ,77
,,,,,D,,,Munitions International & Torpedoes  ,53
,,,,,E1,,,Munitions International & Torpedoes  ,25
,,,,,SZ3,,,Munitions International & Torpedoes  ,8
,,,,,Captain,,,Munitions International & Torpedoes  ,1
,,,,,Commander,,,Munitions International & Torpedoes  ,3
,,,,,Lt Commander,,,Munitions International & Torpedoes  ,3
,,,,,Lieutenant,,,Munitions International & Torpedoes  ,3
,,,,,Other Rank,,,Munitions International & Torpedoes  ,11
,,,,,Colonel,,,Munitions International & Torpedoes  ,1
,,,,,Lt Colonel,,,Munitions International & Torpedoes  ,1
,,,,,Major,,,Munitions International & Torpedoes  ,13
,,,,,Captain,,,Munitions International & Torpedoes  ,2
,,,,,Other Rank,,,Munitions International & Torpedoes  ,13
,,,,,Wing Commander,,,Munitions International & Torpedoes  ,2
,,,,,Squadron Leader,,,Munitions International & Torpedoes  ,3
,,,,,Other Rank,,,Munitions International & Torpedoes  ,10
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,179993,Head of Team Complex Wpns ,B1,,,Team Complex Weapons,3
,,,,,B2,,,Team Complex Weapons,13
,,,,,C1,,,Team Complex Weapons,48
,,,,,C2,,,Team Complex Weapons,55
,,,,,D,,,Team Complex Weapons,35
,,,,,E1,,,Team Complex Weapons,8
,,,,,Captain,,,Team Complex Weapons,1
,,,,,Lt Commander,,,Team Complex Weapons,4
,,,,,Lieutenant,,,Team Complex Weapons,6
,,,,,Other Rank,,,Team Complex Weapons,12
,,,,,Major,,,Team Complex Weapons,3
,,,,,Other Rank,,,Team Complex Weapons,10
,,,,,Group Captain,,,Team Complex Weapons,1
,,,,,Wing Commander,,,Team Complex Weapons,2
,,,,,Squadron Leader,,,Team Complex Weapons,6
,,,,,Flt Lieutenant,,,Team Complex Weapons,6
,,,,,Other Rank,,,Team Complex Weapons,4
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,3320,Chief Operating Officer,B2,,,Private Secretary,1
,,,,,C2,,,Assistant Private Secretary,1
,,,,,D,,,Executive Assistant,1
,,,,,Major,,,Tri-service Military Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,184738,Director Programmes Technology Group,C1,,,Private Secretary,1
,,,,,D,,,Executive Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,3594,Director Intelligence Surveillance Target Acquisition Reconnaissance,C1,,,Private Secretary,1
,,,,,D,,,Executive Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,170773,Director Weapons,D,,,Executive Assistant,1
,,,,,Commander,,,Military Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,3179,Director Helicopters,D,,,Executive Assistant,1
,,,,,Squadron Leader,,,Military Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,170429,Director Air Support,D,,,Executive Assistant,1
,,,,,Squadron Leader,,,Military Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,1135585,Director Information Systems & Services & Defence Equipment & Support Chief Information Officer,D,,,Executive Assistant,1
,,,,,Colonel,,,Chief of Staff,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,184652,Chief Strategic Systems Executive-Director,D,,,Executive Assistant,1
,,,,,Lieutenant,,,Military Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,153366,Head Customer Support Team (Air),B2,,,Combined Customer Support Team,3
,,,,,C1,,,Combined Customer Support Team,2
,,,,,C2,,,Combined Customer Support Team,6
,,,,,D,,,Combined Customer Support Team,1
,,,,,E1,,,Combined Customer Support Team,1
,,,,,Commander,,,Combined Customer Support Team,2
,,,,,Lt Commander,,,Combined Customer Support Team,3
,,,,,Lieutenant,,,Combined Customer Support Team,3
,,,,,Lt Colonel,,,Combined Customer Support Team,2
,,,,,Major,,,Combined Customer Support Team,3
,,,,,Other Rank,,,Combined Customer Support Team,2
,,,,,Group Captain,,,Combined Customer Support Team,2
,,,,,Wing Commander,,,Combined Customer Support Team,3
,,,,,Squadron Leader,,,Combined Customer Support Team,3
,,,,,Other Rank,,,Combined Customer Support Team,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,171090,Head Customer Support Team  (Fleet) ,B1,,,Salvage & Marine Operations,3
,,,,,B2,,,Salvage & Marine Operations,1
,,,,,C1,,,Salvage & Marine Operations,35
,,,,,C2,,,Salvage & Marine Operations,3
,,,,,D,,,Salvage & Marine Operations,7
,,,,,E1,,,Salvage & Marine Operations,4
,,,,,SZ1,,,Salvage & Marine Operations,1
,,,,,SZ2,,,Salvage & Marine Operations,1
,,,,,B2,,,"Maritime Capability, Trials & Assessment",1
,,,,,C2,,,"Maritime Capability, Trials & Assessment",31
,,,,,D,,,"Maritime Capability, Trials & Assessment",8
,,,,,E1,,,"Maritime Capability, Trials & Assessment",5
,,,,,Captain,,,"Maritime Capability, Trials & Assessment",1
,,,,,Commander,,,"Maritime Capability, Trials & Assessment",3
,,,,,Lt Commander,,,"Maritime Capability, Trials & Assessment",14
,,,,,Lieutenant,,,"Maritime Capability, Trials & Assessment",15
,,,,,Sub Lieutenant,,,"Maritime Capability, Trials & Assessment",1
,,,,,Other Rank,,,"Maritime Capability, Trials & Assessment",54
,,,,,B1,,,Maritime Supply Integration,1
,,,,,B2,,,Maritime Supply Integration,1
,,,,,C1,,,Maritime Supply Integration,9
,,,,,C2,,,Maritime Supply Integration,15
,,,,,D,,,Maritime Supply Integration,7
,,,,,E1,,,Maritime Supply Integration,5
,,,,,Other Rank,,,Maritime Supply Integration,1
,,,,,B1,,,Marine Services Integrated Business Team,1
,,,,,B2,,,Marine Services Integrated Business Team,3
,,,,,C1,,,Marine Services Integrated Business Team,5
,,,,,D,,,Marine Services Integrated Business Team,1
,,,,,Other Rank,,,Marine Services Integrated Business Team,1
,,,,,B2,,,Fleet Wide Team,1
,,,,,C1,,,Fleet Wide Team,3
,,,,,D,,,Fleet Wide Team,1
,,,,,Commander,,,Fleet Wide Team,2
,,,,,Lt Commander,,,Fleet Wide Team,1
,,,,,Lieutenant,,,Fleet Wide Team,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,9285,Head Maritime Change Programme,B1,,,Maritime Change Programme,4
,,,,,B2,,,Maritime Change Programme,7
,,,,,C1,,,Maritime Change Programme,10
,,,,,C2,,,Maritime Change Programme,3
,,,,,E1,,,Maritime Change Programme,2
,,,,,Captain,,,Maritime Change Programme,1
,,,,,Commander,,,Maritime Change Programme,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,62452,Naval Base Commander Portsmouth,B1,,,Naval Base Portsmouth,1
,,,,,B2,,,Naval Base Portsmouth,5
,,,,,C1,,,Naval Base Portsmouth,42
,,,,,C2,,,Naval Base Portsmouth,31
,,,,,D,,,Naval Base Portsmouth,57
,,,,,E1,,,Naval Base Portsmouth,82
,,,,,SZ1,,,Naval Base Portsmouth,8
,,,,,SZ2,,,Naval Base Portsmouth,41
,,,,,SZ3,,,Naval Base Portsmouth,7
,,,,,SZ4,,,Naval Base Portsmouth,1
,,,,,Captain,,,Naval Base Portsmouth,4
,,,,,Commander,,,Naval Base Portsmouth,8
,,,,,Lt Commander,,,Naval Base Portsmouth,16
,,,,,Lieutenant,,,Naval Base Portsmouth,17
,,,,,Other Rank,,,Naval Base Portsmouth,341
,,,,,Colonel,,,Naval Base Portsmouth,1
,,,,,Lt Colonel,,,Naval Base Portsmouth,1
,,,,,Other Rank,,,Naval Base Portsmouth,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,65000,Naval Base Commander Devonport,B1,,,Naval Base Devonport,2
,,,,,B2,,,Naval Base Devonport,11
,,,,,C1,,,Naval Base Devonport,50
,,,,,C2,,,Naval Base Devonport,55
,,,,,D,,,Naval Base Devonport,64
,,,,,E1,,,Naval Base Devonport,87
,,,,,SZ1,,,Naval Base Devonport,4
,,,,,SZ2,,,Naval Base Devonport,23
,,,,,SZ3,,,Naval Base Devonport,11
,,,,,Captain,,,Naval Base Devonport,4
,,,,,Commander,,,Naval Base Devonport,9
,,,,,Lt Commander,,,Naval Base Devonport,19
,,,,,Lieutenant,,,Naval Base Devonport,19
,,,,,Other Rank,,,Naval Base Devonport,329
,,,,,Lieutenant,,,Naval Base Devonport,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,64206,Naval Base Commander Clyde,B1,,,Naval Base Clyde,4
,,,,,B2,,,Naval Base Clyde,14
,,,,,C1,,,Naval Base Clyde,75
,,,,,C2,,,Naval Base Clyde,103
,,,,,D,,,Naval Base Clyde,98
,,,,,E1,,,Naval Base Clyde,80
,,,,,SZ1,,,Naval Base Clyde,9
,,,,,SZ2,,,Naval Base Clyde,44
,,,,,SZ3,,,Naval Base Clyde,55
,,,,,Captain,,,Naval Base Clyde,4
,,,,,Commander,,,Naval Base Clyde,9
,,,,,Lt Commander,,,Naval Base Clyde,16
,,,,,Lieutenant,,,Naval Base Clyde,19
,,,,,Other Rank,,,Naval Base Clyde,302
,,,,,Major,,,Naval Base Clyde,2
,,,,,Other Rank,,,Naval Base Clyde,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,46000,Chief Executive Defence Storage and Distribution Agency,B1,,,Joint Support Chain Services (Ex Defence Storage and Distribution Agency),3
,,,,,B2,,,Joint Support Chain Services (Ex Defence Storage and Distribution Agency),22
,,,,,C1,,,Joint Support Chain Services (Ex Defence Storage and Distribution Agency),62
,,,,,C2,,,Joint Support Chain Services (Ex Defence Storage and Distribution Agency),235
,,,,,D,,,Joint Support Chain Services (Ex Defence Storage and Distribution Agency),434
,,,,,E1,,,Joint Support Chain Services (Ex Defence Storage and Distribution Agency),407
,,,,,SZ1,,,Joint Support Chain Services (Ex Defence Storage and Distribution Agency),49
,,,,,SZ2,,,Joint Support Chain Services (Ex Defence Storage and Distribution Agency),951
,,,,,SZ3,,,Joint Support Chain Services (Ex Defence Storage and Distribution Agency),694
,,,,,SZ4,,,Joint Support Chain Services (Ex Defence Storage and Distribution Agency),12
,,,,,Captain,,,Joint Support Chain Services (Ex Defence Storage and Distribution Agency),1
,,,,,Lt Commander,,,Joint Support Chain Services (Ex Defence Storage and Distribution Agency),1
