ALB Code,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Planning Inspectorate,TECHNICAL SERVICES,SIMON MILES PLANNING,"44,237.42"
Planning Inspectorate,TECHNICAL SERVICES,SIMON PRYCE,"13,328.05"
Planning Inspectorate,TECHNICAL SERVICES,SIOBHAN WATSON,"17,794.00"
Planning Inspectorate,TECHNICAL SERVICES,SITU 8 LTD,"13,978.30"
Planning Inspectorate,TECHNICAL SERVICES,STAR PLANNING & DEVELOPMENT LTD,"30,625.08"
Planning Inspectorate,TECHNICAL SERVICES,STEPHEN JOB ASSOCIATES LTD,"19,446.32"
Planning Inspectorate,TECHNICAL SERVICES,STUART HALL,"29,555.71"
Planning Inspectorate,TECHNICAL SERVICES,SYMBIOSIS,"17,009.28"
Planning Inspectorate,TECHNICAL SERVICES,THE PLANNING COMPANY (WORCESTER) LTD,"18,452.59"
Planning Inspectorate,TECHNICAL SERVICES,THE STEP CONSULTANCY LTD,"13,606.89"
Planning Inspectorate,TECHNICAL SERVICES,THE TYLER PARKER PARTNERSHIP LTD,"1,260.36"
Planning Inspectorate,TECHNICAL SERVICES,THE TYLER PARKS PARTNERSHIP,"17,443.51"
Planning Inspectorate,TECHNICAL SERVICES,THE TYLER-PARKES PARTNERSHIP,"2,754.16"
Planning Inspectorate,TECHNICAL SERVICES,TOWN PLANNING CONSULTANCY SERVICES,"16,522.30"
Planning Inspectorate,TECHNICAL SERVICES,URBAN & RURAL PLANNING ASSOCIATES LTD,"13,616.16"
Planning Inspectorate,TECHNICAL SERVICES,URBAN PLANNING UK,"18,476.23"
Planning Inspectorate,TECHNICAL SERVICES,W D M PLANNING LTD,"4,870.30"
Planning Inspectorate,TECHNICAL SERVICES,W S C WADRUP INDEPENDENT CONSULTANT LTD,"59,795.37"
Planning Inspectorate,TECHNICAL SERVICES,WOLTERS KLUWER (UK) LTD,975.00
Planning Inspectorate,TELECOMS,BRITISH TELECOM PLC -COLINDALE,"49,603.88"
Planning Inspectorate,TELECOMS,CONNECT INTERNET SOLUTIONS LTD,"9,410.00"
Planning Inspectorate,TELECOMS,HIGHWAYS AGENCY,"6,829.92"
Planning Inspectorate,TELECOMS,NTL TELEWEST BUSINESS,"36,974.00"
Planning Inspectorate,TELECOMS,VODAFONE - CORPORATE LTD,"7,887.29"
Planning Inspectorate,TO BE CLASSIFIED,BURGES SALMON,"1,410.00"
Planning Inspectorate,TO BE CLASSIFIED,HP CARE PACK SALES,509.00
Planning Inspectorate,TO BE CLASSIFIED,IGRAFX,650.00
Planning Inspectorate,TO BE CLASSIFIED,PETER WILLIS - CARTOGRAPHY,545.00
Planning Inspectorate,TO BE CLASSIFIED,REED EMPLOYMENT PLC,522.68
Planning Inspectorate,TO BE CLASSIFIED,ST JOHN'S AMBULANCE,675.00
Planning Inspectorate,TO BE CLASSIFIED,SURREY GOURMET,672.75
Planning Inspectorate,TO BE CLASSIFIED,THE ARKWRIGHT SOCIETY,684.10
Planning Inspectorate,TO BE CLASSIFIED,THE SPACE CENTRE,703.50
Planning Inspectorate,TO BE CLASSIFIED,VANTIS,720.00
Planning Inspectorate,TO BE CLASSIFIED,WALES QUALITY CENTRE LTD,585.00
Planning Inspectorate,TO BE CLASSIFIED,YORK COUNCIL FOR VOLUNTARY SERVICE,646.39
Planning Inspectorate,TRAVEL,ADMIN STAFF TRAVEL & SUBSISTENCE AND REIMBURSEMENTS COSTS,"146,206.88"
Planning Inspectorate,TRAVEL,INSPECTOR TRAVEL & SUBSISTENCE AND REIMBURSEMENTS COSTS,"1,880,455.13"
Planning Inspectorate,UNCLASSIFIED,DCLG,"25,555.28"
Planning Inspectorate,UNCLASSIFIED,FOCUS INTERIORS,"1,119.00"
Planning Inspectorate,VEHICLE HIRE,ARVAL,"156,247.49"
Planning Inspectorate,WATER,BRISTOL WESSEX BILLING SERVICE,"1,710.19"
