MOD CRN,Name,Address,Town,County,Area (Ha),Grid Reference,Property Type,Expected Planning Use,Expected Number of Housing Units,Constituency,Financial Year
3079,Catterick Training Area - 10 Downholme,Downholme Village,Richmond,North Yorkshire,0.03,411325 497915,B,Housing,0,Richmondshire,2012
3080,Catterick Training Area - 11 Downholme,Downholme Village,Richmond,North Yorkshire,0.14,411325 497915,B,Housing,0,Richmondshire,2012
3081,Catterick Training Area - 12 Downholme,Downholme Village,Richmond,North Yorkshire,0.02,411325 497915,B,Housing,0,Richmondshire,2012
3084,Catterick Training Area - Home Farm Downholme,Downholme Village,Richmond,North Yorkshire,0.16,411325 497915,,Housing,0,Richmondshire,2012
3085,Catterick Training Area - Bolton Arms Downholme,Downholme Village,Richmond,North Yorkshire,0.21,411325 497915,L,,0,Richmondshire,2012
3086,Catterick Training Area - Downholme Manor Field Barn,Downholme Village,Richmond,North Yorkshire,0.01,411325 497915,,,0,Richmondshire,2012
3087,Catterick Training Area - 1 Stainton,Stainton,Richmond,North Yorkshire,0.05,410420 496530,,Housing,0,Richmondshire,2012
3088,Catterick Training Area - 2 Stainton,Stainton,Richmond,North Yorkshire,0.05,410420 496530,,Housing,0,Richmondshire,2012
3089,Catterick Training Area - 3 Stainton,Stainton,Richmond,North Yorkshire,0.04,410420 496530,,Housing,0,Richmondshire,2012
3092,Catterick Training Area - 2 Lowenthwaite,Lowenthwaite,Richmond,North Yorkshire,0.02,414590:500680,,Housing,0,Richmondshire,2012
3093,Catterick Training Area - 4 Lowenthwaite,Lowenthwaite,Richmond,North Yorkshire,0.02,414590:500680,,Housing,0,Richmondshire,2012
3094,Catterick Training Area - Woodhouse Farm Grazings and Buildings ,Woodhouse Farm,Richmond,North Yorkshire,3.38,417500 499800,X,Agricultural,0,Richmondshire,2012
3095,Driffield TA - Driffield Field,Driffield Training Area,Driffield,East Yorkshire,1.33,500150 456100,,,0,Richmondshire,2012
3096,Driffield TA - Driffield Mound and Woodland,Driffield Training Area,Driffield,East Yorkshire,4.9,498800 456500,,,0,Richmondshire,2012
3097,Catterick Training Area - Holly House Farmhouse,Holly House Farm,Richmond,North Yorkshire,0.53,416855 499520,,Housing,0,Richmondshire,2012
3098,Catterick Training Area - Thorpe House Farm - Field Barn,,Richmond,North Yorkshire,0,,,Agricultural,0,Richmondshire,2012
3099,WarcopTraining Area - Field at High Green Farm Warcop,High Green Farm,Warcop,Cumbria,4.67,374500 515500,L,,0,Richmondshire,2012
3100,Coningsby SFA - Land at Clinton Park,Clinton Park,Tattershall,Lincolnshire,1.5,521778 358341,L,Other,0,East Lindsey,2012
3101,Brambles Farm TAC - Brambles Farm TAC,Longlands Road,Middlesbrough,Cleveland,1.67,NZ 52440 19813,B,Other,0,Middlesbrough,2012
3103,RAF Fylingdales - Fylingdales Moor(part),Fylingdales,Pickering,North Yorkshire,461,SE 86900 99000,L,Agricultural,0,,2012
3112,Stanford Army Field Training Centre - Watton Training Area (8),"Watton, Norfolk",Mundford,Norfolk,1.19,594210 299988,L,Agricultural,0,South West Norfolk,2013
3122,1-8 Dog Kennel Close Lisburn,1-8 Dog Kennel Close,Lisburn,Antrim,0.29,325947 365260,B,Housing,8,,2012
3123,"1-12 Dog Kennel Crescent, Lisburn",1-12 Dog Kennel Crescent,Lisburn,Antrim,0.31,325971 365162,B,Housing,12,,2012
3124,"52-88 (e) Mountview Drive, Lisburn",52-88 Mountview Drive,Lisburn,Antrim,0,327042 366296,B,Housing,18,,2012
3125,"90-94 (e) Mountview Drive, Lisburn",90-94 Mountview Drive,Lisburn,Antrim,0,327042 366296,B,Housing,3,,2012
3126,"85-111 (o) Mountview Drive, Lisburn",85-111 Mountview Drive,Lisburn,Antrim,0,327042 366296,B,Housing,14,,2012
3127,"3, 4, 10 Magheralave Park, Lisburn","3, 4, 10 Magheralave Park East",Lisburn,Antrim,0.3,326569 365280,B,Housing,3,,2013
3129,Catterick Training Area - Downholme Allotments,Downholme Village,Richmond,North Yorkshire,0.06,411325 497915,L,Agricultural,0,Richmondshire,2012
3138,Catterick Training Area - Old Hall and Paddock,Downholme Village,Richmond,North Yorkshire,0.14,411325 497915,L,Agricultural,0,Richmondshire,2012
3139,Catterick Training Area - Major Garth Paddocks,Downholme Village,Richmond,North Yorkshire,0.38,411325 497915,L,Agricultural,0,Richmondshire,2012
3140,Catterick Training Area - Downholme Stone Garage,Downholme Village,Richmond,North Yorkshire,0.01,411325 497915,L,Leisure/Recreation,0,Richmondshire,2012
3141,Catterick Training Area - Barn and Land adjoining No. 2 Downholme,Downholme Village,Richmond,North Yorkshire,0.06,411325 497915,L,Agricultural,0,Richmondshire,2012
4007,Dreghorn Bks - Edinburgh - Laverockdale cot/polo fields,Colinton,Edinburgh,Lothian,7.328,3219 6681,X,Housing,75,Edinburgh Pentlands,2013
4009,Camrhu Monitor Station - Rhu - Aros Road Site,Aros Road Rhu,Rhu,Argyll & Bute,1.792,2266 6845,L,Housing,0,Argyll & Bute,2013
4019,HMS Caledonia - Forth Club,Forth Club  Castle Road,Rosyth,Fife,0.731,NT 11108270,X,,0,Dunfermline West ,2012
4021,Aberdeen SFA - Aberdeen - Ashwood Circle,15  Ashwood Circle,Aberdeen,Aberdeenshire,0.02,NU92851225,B,Housing,1,Gordon,2012
4022,Aberdeen SFA - Aberdeen - Ashwood Circle,17 Ashwood Circle,Aberdeen,Aberdeenshire,0.02,NU92851225,B,Housing,1,Gordon,2012
4023,Shetland Islands SFA - Saxa Vord -  Settlers Hill Estate Properties - With DE for Disposal," Setters Hill Estate (No's 2, 7.12.15, 16, 34 - 36)",Haroldswick,Unst,0.478,various,B,Housing,8,Orkney & Shetland,2013
4027,Carrick Castle - Remaining Land at Carrick Castle 0.161 to Community 0.046 to Castle Carrick,Carrick Castle Loch Goil,Carrick Castle,Argyll & Bute,0.207,NS 19396 94475,L,Leisure/Recreation,0,Argyll & Bute,2013
4030,Redford Cavalry Barracks - Redford Cavalry Barracks,Redford Cavalry Barracks Colinton Rd,Edinburgh,Lothian,13.507,322520 669476,B,Housing,450,Edinburgh Pentlands,2014
4031,Redford Infantry Barracks - Redford Infantry Barracks,Redford Infantry Barracks Colinton Rd ,Edinburgh,Lothian,16.65,322263 669203,B,Housing,550,Edinburgh Pentlands,2014
4032,Dreghorn Barracks - Dreghorn Barracks,Redford Road ,Edinburgh,Lothian,52.93,322518 668322,B,Housing,1200,Edinburgh Pentlands,2014
4033,Craigiehall  - HQ 2nd Division (Craigiehall),Craigiehall,Edinburgh,Lothian,31.218,316766 675523,B,Housing,500,Edinburgh West,2014
4036,Kingussie Drill Hall - Garages rear of 91-93 High St,High St,Kingussie,Highland,0.039,276038 800809,,Housing,0,"Inverness East, Nairn and Lochaber",2012
