Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total (£)
Ministry of Defence,Ministry of Defence,12/03/2012,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,912129,Transport other operating lease,"627,165.62"
Ministry of Defence,Ministry of Defence,21/03/2012,Transport hire charges,Land Forces,RYDER DEUTSCHLAND GMBH,,5000074747,Transport other operating lease,"623,557.31"
Ministry of Defence,Ministry of Defence,23/03/2012,Externally delivered education and training,Land Forces,G4S FSI LIMITED,SM1 4LD,917747,External military training ,"622,786.86"
Ministry of Defence,Ministry of Defence,26/03/2012,IT and communication services,Central TLB,LOGICA UK LIMITED,CF31 9AP,918496,IT Services -internal costs,"620,128.37"
Ministry of Defence,Ministry of Defence,23/03/2012,Fees for professional services,Land Forces,CENTRAL OFFICE OF INFORMATION,SE1 7DU,917639,Fees for professional services excluding legal fees,"608,303.55"
Ministry of Defence,Ministry of Defence,26/03/2012,Estate management,Defence Infrastructure Organisation ,BEZIRKSREGIERUNG DUESSELDORF,,5000075051,Works - estate management,"602,478.05"
Ministry of Defence,Ministry of Defence,19/03/2012,Payment of utilities,Defence Infrastructure Organisation ,MABANAFT DEUTSCHLAND GMBH,,5000074565,Utilities consumed - heating oil,"582,090.36"
Ministry of Defence,Ministry of Defence,21/03/2012,Design services and minor equipment purchases,Air Command,BABCOCK SUPPORT SERVICES LIMITED,BH23 6BS,916287,Equipment support non-project costs,"579,864.98"
Ministry of Defence,Defence Science and Technology Laboratory,16/03/2012,Sub Contracted Research,Programme Office,AEROSYSTEMS INTERNATIONAL LIMITED,,V - 9000141129 - 00130147,,"579,777.13"
Ministry of Defence,Ministry of Defence,16/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,WV1 4HY,914495,Fiscal asset under construction - capital in year addition,"579,492.62"
Ministry of Defence,Ministry of Defence,29/03/2012,Spend on Inventory - General,Defence Equipment & Support,ITURRI SA,OX16 3TA,3000006831,Spend on Inventory - General,"577,812.28"
Ministry of Defence,Ministry of Defence,08/03/2012,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,911497,Works - estate management,"574,688.32"
Ministry of Defence,Ministry of Defence,28/03/2012,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,TW16 7BP,2000015251,Raw materials and consumable aviation fuel inventory purchased,"570,706.89"
Ministry of Defence,Ministry of Defence,21/03/2012,Purchase of buildings - Dwellings,Defence Infrastructure Organisation ,DAVITT JONES BOULD LTD,TA1 4EB,916389,Property building dwellings asset - in year capital addition,"570,000.00"
Ministry of Defence,Ministry of Defence,30/03/2012,International contributions,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013804,Defence military assistance fund international subscriptions and other payments,"567,012.00"
Ministry of Defence,Defence Science and Technology Laboratory,09/03/2012,Sub Contracted Research,Programme Office,SEVEN TECHNOLOGIES LIMITED,,V - 9000140852 - 00130514,,"565,982.00"
Ministry of Defence,Ministry of Defence,08/03/2012,Design services and minor equipment purchases,Air Command,FBS LIMITED,RG24 8AG,911089,Equipment support non-project costs,"562,530.86"
Ministry of Defence,Ministry of Defence,08/03/2012,Fees for professional services,Land Forces,BABCOCK LAND LIMITED,BH23 9BS,910937,Fees for professional services excluding legal fees,"561,471.56"
Ministry of Defence,Ministry of Defence,22/03/2012,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,917075,Estate core services charge,"560,922.90"
Ministry of Defence,Ministry of Defence,21/03/2012,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,10945,Monthly GPC payment,"558,021.40"
Ministry of Defence,Ministry of Defence,15/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,913947,Fiscal asset under construction - capital in year addition,"552,750.69"
Ministry of Defence,Ministry of Defence,20/03/2012,Payment of utilities,Defence Equipment & Support,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,916142,Utilities consumed - electricity,"544,633.52"
Ministry of Defence,Ministry of Defence,15/03/2012,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,TW16 7BP,2000015098,Raw materials and consumable aviation fuel inventory purchased,"543,378.23"
Ministry of Defence,Ministry of Defence,05/03/2012,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 9BS,908787,External military training ,"541,412.26"
Ministry of Defence,Ministry of Defence,02/03/2012,Payment of utilities,Defence Equipment & Support,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,908663,Utilities consumed - electricity,"541,210.28"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Repairs & Maintenance,Infrastructure,SERCO LIMITED,,V - 9000141571 - 00132892,,"540,260.77"
Ministry of Defence,Ministry of Defence,16/03/2012,Food and clothing,Defence Infrastructure Organisation ,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,914510,Cost of food services,"539,217.34"
Ministry of Defence,Ministry of Defence,23/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,917630,Fiscal asset under construction - capital in year addition,"537,498.24"
Ministry of Defence,Ministry of Defence,30/03/2012,Estate management,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,920900,Estate + facilities management services - accommodation inventory + service,"536,431.72"
Ministry of Defence,Ministry of Defence,02/03/2012,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,908663,Utilities consumed - electricity,"536,084.44"
Ministry of Defence,Ministry of Defence,09/03/2012,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS34 8YU,5000073869,Works - estate management,"534,473.66"
Ministry of Defence,Ministry of Defence,28/03/2012,Fuel for military use,Land Forces,ARVAL UK LTD,SN5 6PE,919418,Oil and lubricants consumed excluding those from the inventory system,"533,075.80"
Ministry of Defence,Ministry of Defence,01/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,907885,Fiscal asset under construction - capital in year addition,"525,142.61"
Ministry of Defence,Ministry of Defence,20/03/2012,Food and clothing,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,916122,Cost of food services,"521,373.99"
Ministry of Defence,Ministry of Defence,13/03/2012,Fuel for military use,Land Forces,ARVAL UK LTD,SN5 6PE,912707,Oil and lubricants consumed excluding those from the inventory system,"521,226.65"
Ministry of Defence,Ministry of Defence,30/03/2012,IT and communication services,Defence Equipment & Support,FUJITSU SERVICES LIMITED,TW18 3BF,921181,Information technology services,"519,375.26"
Ministry of Defence,Ministry of Defence,15/03/2012,IT and communication services,Defence Equipment & Support,THE VOLPE NATIONAL  TRANSPORTATION SYSTEMS CENTER,,1000001587,Information technology services,"515,063.29"
Ministry of Defence,Ministry of Defence,30/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,KPMG LLP,WD17 1DE,921281,Equipment support non-project costs,"514,911.00"
Ministry of Defence,Ministry of Defence,21/03/2012,Medical treatment & stores and welfare services,Central TLB,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,B29 6JS,916878,Medical health services,"504,971.47"
Ministry of Defence,Ministry of Defence,28/03/2012,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,919946,Utilities consumed - electricity,"502,286.77"
Ministry of Defence,Ministry of Defence,07/03/2012,International contributions,Central TLB,THE BRITISH COUNCIL,M1 6BB,910815,Defence military assistance fund international subscriptions and other payments,"500,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Sub Contracted Research,Programme Office,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000141467 - 00132415,,"500,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,09/03/2012,Sub Contracted Work,Operations,BIOTECHNOLOGY & BIO SCI RES COUNCIL,,V - 0000002007 - 00130924,,"500,000.00"
Ministry of Defence,Ministry of Defence,26/03/2012,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,918323,Works services - excluding United States forces/NATO + married quarters,"498,389.27"
Ministry of Defence,Ministry of Defence,19/03/2012,Payment of utilities,Defence Infrastructure Organisation ,ELECTRICITY AUTHORITY OF CYPRUS,BFPO 53,6000000574,Utilities consumed - electricity,"497,961.56"
Ministry of Defence,Ministry of Defence,07/03/2012,Medical treatment & stores and welfare services,Central TLB,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,GU16 7UJ,910523,Medical health services,"495,881.55"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Sub Contracted Research,Programme Office,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000141467 - 00132479,,"492,175.20"
Ministry of Defence,Ministry of Defence,21/03/2012,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,916856,Utilities consumed - gas,"491,550.50"
Ministry of Defence,Defence Science and Technology Laboratory,09/03/2012,Sub Contracted Research,Programme Office,THE TECHNOLOGY STRATEGY BOARD,,V - 9000140878 - 00130487,,"484,236.00"
Ministry of Defence,Ministry of Defence,07/03/2012,Purchase of inventory and services ,Central TLB,WORCESTERSHIRE MEDAL SERVICE LIMITED,B61 8LL,910869,Consumption of clothing and textiles inventory,"480,960.00"
Ministry of Defence,Ministry of Defence,08/03/2012,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,911361,Cost of food purchases,"476,252.51"
Ministry of Defence,Ministry of Defence,01/03/2012,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,908118,Utilities consumed - electricity,"475,901.55"
Ministry of Defence,Ministry of Defence,19/03/2012,Rental of plant and machinery,Defence Equipment & Support,BARLOWORLD HANDLING LTD,WA3 3JD,915079,Plant + machinery private finance initiative - service concession arrangements service charge,"468,906.74"
Ministry of Defence,Ministry of Defence,12/03/2012,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,912108,Cost of food services,"468,661.50"
Ministry of Defence,Ministry of Defence,22/03/2012,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS34 8YU,5000074854,Works services - excluding United States forces/NATO + married quarters,"468,030.29"
Ministry of Defence,Ministry of Defence,23/03/2012,Spend on Inventory - General,Air Command,KEMIRA OYJ.,,917824,Spend on Inventory - General,"467,561.65"
Ministry of Defence,Ministry of Defence,20/03/2012,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,916191,Utilities consumed - gas,"464,352.05"
Ministry of Defence,Defence Science and Technology Laboratory,02/03/2012,Capital Asset expenditure,Infrastructure,SERCO LIMITED,,V - 9000140640 - 00129990,,"462,393.69"
Ministry of Defence,Ministry of Defence,11/03/2012,"Transportation of personnel, freight and travel expenses",Central TLB,HAFIF TRAVEL & TOURISM,,AP12 CO 004,Movement of service personnel,"462,150.57"
Ministry of Defence,Ministry of Defence,19/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,915124,Fiscal asset under construction - capital in year addition,"458,725.20"
Ministry of Defence,Ministry of Defence,05/03/2012,Design services and minor equipment purchases,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,909160,Equipment support non-project costs,"451,965.52"
Ministry of Defence,Defence Science and Technology Laboratory,02/03/2012,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000140638 - 00128177,,"450,000.00"
Ministry of Defence,Ministry of Defence,21/03/2012,Medical treatment & stores and welfare services,Defence Equipment & Support,FENTON PHARMACEUTICALS LTD,NW3 6AL,916468,Medical inventory and services excluding the inventory system,"449,400.00"
Ministry of Defence,Ministry of Defence,22/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,POLAR SHIP INVEST II AS,N5809,3000006796,Equipment support non-project costs,"447,872.15"
Ministry of Defence,Ministry of Defence,14/03/2012,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 9BS,913203,External military training ,"446,845.85"
Ministry of Defence,Ministry of Defence,16/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,914707,Fiscal asset under construction - capital in year addition,"442,324.78"
Ministry of Defence,Ministry of Defence,12/03/2012,Design services and minor equipment purchases,Defence Infrastructure Organisation ,COMPASS GROUP UK AND IRELAND LIMITED,B45 9PZ,912212,Equipment support non-project costs,"438,867.58"
Ministry of Defence,Ministry of Defence,22/03/2012,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,917170,Estate + facilities management services - accommodation inventory + service,"434,495.29"
Ministry of Defence,Ministry of Defence,05/03/2012,Research and development,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,908879,Research and development excluding defence science and technology laboratory,"434,151.45"
Ministry of Defence,Ministry of Defence,14/03/2012,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,913776,Utilities consumed - gas,"427,479.21"
Ministry of Defence,Ministry of Defence,01/03/2012,"Transportation of personnel, freight and travel expenses",Land Forces,AGILITY LOGISTICS LIMITED,RG1 2LG,907666,Movement of service personnel,"419,764.07"
Ministry of Defence,Ministry of Defence,12/03/2012,Purchase of buildings and military equipment ,Defence Equipment & Support,MUIRHEAD AEROSPACE LIMITED,CM24 1RB,912415,Fiscal asset under construction - capital in year addition,"416,499.78"
Ministry of Defence,Ministry of Defence,30/03/2012,Estate management,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,921606,Estate + facilities management services - accommodation inventory + service,"415,325.23"
Ministry of Defence,Ministry of Defence,12/03/2012,Design services and minor equipment purchases,Air Command,VT FLAGSHIP LTD,PO6 4PR,912644,Equipment support non-project costs,"414,736.63"
Ministry of Defence,Ministry of Defence,30/03/2012,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,920930,Transport other operating lease,"412,796.67"
