Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total (£)
Ministry of Defence,Ministry of Defence,15/03/2012,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013655,Army leave travel long term detached duty including warrants and get you home scheme,"3,087.74"
Ministry of Defence,Ministry of Defence,07/03/2012,IT and communication services,Land Forces,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,SN14 0TW,167265,Computer equipment costing below the capitalisation threshold,"3,073.02"
Ministry of Defence,Ministry of Defence,27/03/2012,Purchase of inventory and services ,Command Joint Operations,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,918880,Cost of other material consumed,"3,068.66"
Ministry of Defence,Ministry of Defence,12/03/2012,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,912663,Cost of other material consumed,"3,064.48"
Ministry of Defence,Ministry of Defence,21/03/2012,"Transportation of personnel, freight and travel expenses",Command Joint Operations,DB SCHENKER RAIL (UK) LTD,DN4 5PN,916390,Freight movement costs,"3,057.26"
Ministry of Defence,Ministry of Defence,14/03/2012,Payment of utilities,Land Forces,CALOR GAS LIMITED,CV34 6RL,913255,Utilities consumed - gas,"3,052.36"
Ministry of Defence,Ministry of Defence,12/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SUPPORT GROUP  (DSG),SP11 8HT,912235,Equipment support non-project costs,"3,043.35"
Ministry of Defence,Ministry of Defence,13/03/2012,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013631,Military short term detached duty,"3,033.53"
Ministry of Defence,Ministry of Defence,28/03/2012,Spend on Inventory - General,Command Joint Operations,BUNZL UK LIMITED,KT19 8TY,919490,Spend on Inventory - General,"3,031.20"
Ministry of Defence,Ministry of Defence,19/03/2012,Spend on Inventory - General,Air Command,REXEL UK LTD,EN6 9EB,915518,Spend on Inventory - General,"3,026.42"
Ministry of Defence,Ministry of Defence,23/03/2012,Food and clothing,Defence Equipment & Support,OCEAN SKY CORPORATE LIMITED,KA9 2PQ,917980,Cost of food purchases,"3,025.00"
Ministry of Defence,Ministry of Defence,09/03/2012,Purchase of inventory and services ,Defence Equipment & Support,BOC LIMITED,M28 2UT,911617,Consumption of engineering and technical inventory,"3,023.97"
Ministry of Defence,Ministry of Defence,20/03/2012,Purchase of inventory and services ,Central TLB,CANON (UK) LIMITED,RH2 8BF,915786,Cost of other material consumed,"3,023.57"
Ministry of Defence,Ministry of Defence,05/03/2012,Fees for professional services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,908847,Fees for professional services excluding legal fees,"3,022.72"
Ministry of Defence,Ministry of Defence,12/03/2012,Fees for professional services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,912193,Fees for professional services excluding legal fees,"3,022.72"
Ministry of Defence,Ministry of Defence,13/03/2012,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,912739,Cost of other material consumed,"3,020.33"
Ministry of Defence,Ministry of Defence,16/03/2012,Estate management,Air Command,SODEXO LTD,M50 0AL,914887,Estate + facilities management services - accommodation inventory + service,"3,016.28"
Ministry of Defence,Ministry of Defence,08/03/2012,"Transportation of personnel, freight and travel expenses",Land Forces,SODEXO LTD,M50 0AL,911422,Military short term detached duty,"3,012.09"
Ministry of Defence,Ministry of Defence,27/03/2012,Purchase of inventory and services ,Air Command,CARWOOD MOTOR UNITS LTD,CV3 2RQ,918927,Cost of other material consumed,"2,999.97"
Ministry of Defence,Ministry of Defence,29/03/2012,Spend on Inventory - General,Command Joint Operations,BUNZL UK LIMITED,KT19 8TY,920152,Spend on Inventory - General,"2,987.38"
Ministry of Defence,Ministry of Defence,15/03/2012,Purchase of inventory and services ,Land Forces,BOC LIMITED,M28 2UT,913906,Consumption of engineering and technical inventory,"2,962.50"
Ministry of Defence,Defence Science and Technology Laboratory,16/03/2012,Staff Training,Programme Office,BARCLAYCARD,,G - 9000141151 - 00132905,,"2,957.26"
Ministry of Defence,Ministry of Defence,05/03/2012,International contributions,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013553,Defence military assistance fund international subscriptions and other payments,"2,932.11"
Ministry of Defence,Ministry of Defence,09/03/2012,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,E.P.BARRUS LTD,OX26 4UR,911697,Raw materials and consumable engineering and technical fiscal inventory purchased,"2,928.37"
Ministry of Defence,Ministry of Defence,09/03/2012,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,912072,Cost of other material consumed,"2,902.77"
Ministry of Defence,Ministry of Defence,29/03/2012,Estate management,Command Joint Operations,SERCO LIMITED,RG27 9UY,920679,Works - estate management,"2,885.82"
Ministry of Defence,Ministry of Defence,16/03/2012,Medical treatment & stores and welfare services,Land Forces,DR MARTIN ERRINGTON T/A ERRINGTON ASSOCIATES,EH13 0DT,914550,Medical-non hospital treatment,"2,868.00"
Ministry of Defence,Ministry of Defence,19/03/2012,Spend on Inventory - General,Land Forces,REXEL UK LTD,EN6 9EB,915518,Spend on Inventory - General,"2,864.83"
Ministry of Defence,Ministry of Defence,20/03/2012,Payment of utilities,Air Command,BRITISH GAS TRADING LIMITED,OX4 2JY,915772,Utilities consumed - electricity,"2,857.97"
Ministry of Defence,Ministry of Defence,06/03/2012,Purchase of inventory and services ,Land Forces,BOC LIMITED,M28 2UT,909313,Consumption of engineering and technical inventory,"2,856.80"
Ministry of Defence,Ministry of Defence,23/03/2012,Fees for professional services,Air Command,LGC LTD,TW11 0LY,917837,Fees for professional services excluding legal fees,"2,855.71"
Ministry of Defence,Ministry of Defence,23/03/2012,Fees for professional services,Navy Command,LGC LTD,TW11 0LY,917837,Fees for professional services excluding legal fees,"2,855.71"
Ministry of Defence,Ministry of Defence,01/03/2012,Fees for professional services,Defence Infrastructure Organisation ,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,907807,Fees for professional services excluding legal fees,"2,851.70"
Ministry of Defence,Ministry of Defence,28/03/2012,"Transportation of personnel, freight and travel expenses",Central TLB,CARTUS LTD,SN5 8RS,919500,Ministry of Defence police permanent in the public interest transport and long term detached duty,"2,851.17"
Ministry of Defence,Ministry of Defence,21/03/2012,Fees for professional services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,916353,Fees for professional services excluding legal fees,"2,844.49"
Ministry of Defence,Ministry of Defence,22/03/2012,Spend on Inventory - General,Air Command,BUNZL UK LIMITED,KT19 8TY,917010,Spend on Inventory - General,"2,835.94"
Ministry of Defence,Ministry of Defence,05/03/2012,Purchase of inventory and services ,Land Forces,C F ANDERSON & SON LIMITED,C06 1HD,908831,Consumption of general inventory,"2,814.44"
Ministry of Defence,Ministry of Defence,21/03/2012,IT and communication services,Defence Equipment & Support,TRUSTMARQUE SOLUTIONS LIMITED,YO32 9WN,916865,Computer equipment costing below the capitalisation threshold,"2,813.08"
Ministry of Defence,Ministry of Defence,30/03/2012,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,920951,Cost of other material consumed,"2,812.74"
Ministry of Defence,Ministry of Defence,13/03/2012,Fees for professional services,Central TLB,BABYLON TRANSLATIONS LTD,SP1 2EE,912727,Fees for professional services excluding legal fees,"2,808.40"
Ministry of Defence,Ministry of Defence,12/03/2012,Food and clothing,Air Command,ARAMARK LTD,LS16 6QY,912108,Cost of clothing and textile services received,"2,793.96"
Ministry of Defence,Ministry of Defence,14/03/2012,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013643,Military short term detached duty,"2,791.63"
Ministry of Defence,Ministry of Defence,19/03/2012,Estate management,Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,915044,Estate + facilities management services - accommodation inventory + service,"2,785.00"
Ministry of Defence,Ministry of Defence,13/03/2012,Spend on Inventory - General,Air Command,MORADA HOME LTD,BB5 5TU,912942,Spend on Inventory - General,"2,778.19"
Ministry of Defence,Ministry of Defence,22/03/2012,Medical treatment & stores and welfare services,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013728,Schools + community relations initiatives,"2,776.72"
Ministry of Defence,Ministry of Defence,08/03/2012,"Transportation of personnel, freight and travel expenses",Central TLB,SODEXO LTD,M50 0AL,911422,Military short term detached duty,"2,772.44"
Ministry of Defence,Ministry of Defence,27/03/2012,Purchase of inventory and services ,Central TLB,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,918880,Cost of other material consumed,"2,754.45"
Ministry of Defence,Ministry of Defence,01/03/2012,Fees for professional services,Land Forces,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,907876,Fees for professional services excluding legal fees,"2,753.47"
Ministry of Defence,Ministry of Defence,01/03/2012,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,907728,Cost of other material consumed,"2,752.15"
Ministry of Defence,Ministry of Defence,20/03/2012,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,915691,Consumption of medical dental and veterinary inventory,"2,749.16"
Ministry of Defence,Ministry of Defence,12/03/2012,Spend on Inventory - General,Air Command,L WHITAKER & SONS (1983) LIMITED,OL11 2PU,912364,Spend on Inventory - General,"2,745.60"
Ministry of Defence,Ministry of Defence,08/03/2012,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,911536,Cost of other material consumed,"2,732.77"
Ministry of Defence,Ministry of Defence,19/03/2012,Medical treatment & stores and welfare services,Land Forces,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,10238,Medical health services,"2,731.80"
Ministry of Defence,Ministry of Defence,29/03/2012,Food and clothing,Navy Command,COTSWOLD OUTDOOR LTD,SN16 9SH,920197,Cost of purchasing and repairing clothing,"2,725.66"
Ministry of Defence,Ministry of Defence,02/03/2012,Administration,Central TLB,HOGG ROBINSON (TRAVEL) LIMITED,GU14 7NJ,908417,General administration,"2,724.33"
Ministry of Defence,Ministry of Defence,16/03/2012,Food and clothing,Air Command,AVENANCE PLC,SK11 6ET,914435,Cost of clothing and textile services received,"2,723.48"
Ministry of Defence,Ministry of Defence,27/03/2012,Spend on Inventory - General,Air Command,CARWOOD MOTOR UNITS LTD,CV3 2RQ,918927,Spend on Inventory - General,"2,715.04"
Ministry of Defence,Ministry of Defence,16/03/2012,Design services and minor equipment purchases,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,914439,Equipment support non-project costs,"2,714.68"
Ministry of Defence,Ministry of Defence,08/03/2012,Fees for professional services,Central TLB,CRIMINAL RECORDS BUREAU,L69 3JA,911031,Fees for professional services excluding legal fees,"2,714.00"
Ministry of Defence,Ministry of Defence,21/03/2012,Purchase of buildings and military equipment ,Defence Equipment & Support,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,916867,Fiscal asset under construction - capital in year addition,"2,706.00"
Ministry of Defence,Ministry of Defence,08/03/2012,Payment of utilities,Navy Command,TOTAL GAS & POWER LIMITED,RH1 1RX,911490,Utilities consumed - gas,"2,702.74"
Ministry of Defence,Ministry of Defence,08/03/2012,"Transportation of personnel, freight and travel expenses",Land Forces,PENTALVER TRANSPORT LTD,SO15 1AW,911347,Freight movement costs,"2,701.96"
Ministry of Defence,Ministry of Defence,26/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,918264,Equipment support non-project costs,"2,700.23"
Ministry of Defence,Ministry of Defence,16/03/2012,Purchase of information and communications technology,Defence Equipment & Support,PARITY SOLUTIONS LTD,SW19 3RU,914810,IT + communications asset - in year capital addition,"2,695.34"
Ministry of Defence,Ministry of Defence,16/03/2012,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,914994,Cost of other material consumed,"2,694.03"
Ministry of Defence,Ministry of Defence,19/03/2012,"Transportation of personnel, freight and travel expenses",Land Forces,DSV AIR & SEA LIMITED,M22 4NY,915193,Freight movement costs,"2,691.95"
Ministry of Defence,Ministry of Defence,06/03/2012,Fees for professional services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,909341,Fees for professional services excluding legal fees,"2,685.15"
Ministry of Defence,Ministry of Defence,09/03/2012,Payment of utilities,Central TLB,TOTAL GAS & POWER LIMITED,RH1 1RX,912031,Utilities consumed - gas,"2,675.99"
Ministry of Defence,Ministry of Defence,27/03/2012,"Transportation of personnel, freight and travel expenses",Land Forces,PENTALVER TRANSPORT LTD,SO15 1AW,919205,Freight movement costs,"2,673.38"
Ministry of Defence,Ministry of Defence,20/03/2012,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,916079,Civilian short term detached duty,"2,672.50"
Ministry of Defence,Ministry of Defence,06/03/2012,Purchase of inventory and services ,Navy Command,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,909360,Cost of other material consumed,"2,664.85"
Ministry of Defence,Ministry of Defence,22/03/2012,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013728,Military short term detached duty,"2,657.63"
Ministry of Defence,Ministry of Defence,28/03/2012,Estate management,Central TLB,SERCO LIMITED,RG27 9UY,919913,Works - estate management,"2,652.31"
Ministry of Defence,Ministry of Defence,19/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,915058,Equipment support non-project costs,"2,648.55"
Ministry of Defence,Ministry of Defence,07/03/2012,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,WARTSILA UK LIMITED,PO15 5SD,5000073764,Raw materials and consumable engineering and technical fiscal inventory purchased,"2,647.61"
Ministry of Defence,Ministry of Defence,21/03/2012,Design services and minor equipment purchases,Air Command,SELEX ELSAG LIMITED,SS14 3EL,916773,Equipment support non-project costs,"2,645.00"
Ministry of Defence,Ministry of Defence,21/03/2012,Estate management,Air Command,EQUIPMENT HIRE SERVICES LTD,OL9 7AH,916457,Estate + facilities management services - accommodation inventory + service,"2,633.62"
Ministry of Defence,Ministry of Defence,20/03/2012,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,915691,Consumption of medical dental and veterinary inventory,"2,630.37"
Ministry of Defence,Ministry of Defence,27/03/2012,Fuel for military use,Air Command,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000015246,Bulk aviation fuel consumed,"2,626.33"
Ministry of Defence,Ministry of Defence,07/03/2012,Transport hire charges,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013579,Transport other hire charge,"2,626.02"
Ministry of Defence,Ministry of Defence,01/03/2012,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,907657,Consumption of medical dental and veterinary inventory,"2,622.83"
Ministry of Defence,Ministry of Defence,19/03/2012,Food and clothing,Defence Equipment & Support,TURNER VIRR & CO. LTD,LS25 2DY,915640,Cost of purchasing and repairing clothing,"2,615.39"
Ministry of Defence,Ministry of Defence,08/03/2012,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,910883,Consumption of medical dental and veterinary inventory,"2,613.35"
Ministry of Defence,Ministry of Defence,30/03/2012,Payment of utilities,Central TLB,GB OILS LIMITED,FK5 4RB,921189,Utilities consumed - heating oil,"2,613.20"
Ministry of Defence,Ministry of Defence,15/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,913887,Equipment support non-project costs,"2,608.91"
Ministry of Defence,Ministry of Defence,30/03/2012,"Transportation of personnel, freight and travel expenses",Command Joint Operations,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,921102,Freight movement costs,"2,604.64"
Ministry of Defence,Ministry of Defence,02/03/2012,"Transportation of personnel, freight and travel expenses",Air Command,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013540,Aircraft landing fees,"2,603.08"
Ministry of Defence,Ministry of Defence,09/03/2012,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,911612,Cost of other material consumed,"2,602.63"
Ministry of Defence,Ministry of Defence,29/03/2012,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,920849,Cost of other material consumed,"2,596.44"
Ministry of Defence,Ministry of Defence,28/03/2012,Food and clothing,Land Forces,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,919528,Cost of clothing and textile services received,"2,596.40"
Ministry of Defence,Ministry of Defence,14/03/2012,"Transportation of personnel, freight and travel expenses",Land Forces,ISS MEDICLEAN LIMITED,GU21 5RW,913454,Military short term detached duty,"2,593.03"
Ministry of Defence,Ministry of Defence,12/03/2012,Spend on Inventory - General,Defence Equipment & Support,L WHITAKER & SONS (1983) LIMITED,OL11 2PU,912364,Spend on Inventory - General,"2,582.40"
Ministry of Defence,Ministry of Defence,19/03/2012,Fees for professional services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,915130,Fees for professional services excluding legal fees,"2,581.88"
Ministry of Defence,Ministry of Defence,13/03/2012,Food and clothing,Defence Equipment & Support,SODEXO LTD,M50 0AL,913088,Cost of food purchases,"2,580.54"
Ministry of Defence,Ministry of Defence,22/03/2012,Spend on Inventory - General,Defence Infrastructure Organisation ,BUNZL UK LIMITED,KT19 8TY,917010,Spend on Inventory - General,"2,577.01"
Ministry of Defence,Ministry of Defence,09/03/2012,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,911542,Consumption of medical dental and veterinary inventory,"2,576.68"
Ministry of Defence,Ministry of Defence,07/03/2012,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,910873,Cost of other material consumed,"2,564.79"
Ministry of Defence,Ministry of Defence,02/03/2012,"Adminstration, claims, compensation and awards",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013540,Cost of claims/compensation and related expenses against MOD,"2,558.46"
Ministry of Defence,Ministry of Defence,19/03/2012,Spend on Inventory - General,Defence Infrastructure Organisation ,REXEL UK LTD,EN6 9EB,915518,Spend on Inventory - General,"2,557.00"
Ministry of Defence,Ministry of Defence,12/03/2012,Food and clothing,Air Command,ROSKER LTD,PO12 4LJ,912532,Cost of purchasing and repairing clothing,"2,554.64"
Ministry of Defence,Ministry of Defence,12/03/2012,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,912151,Cost of other material consumed,"2,552.80"
Ministry of Defence,Ministry of Defence,20/03/2012,Design services and minor equipment purchases,Land Forces,CANON (UK) LIMITED,RH2 8BF,915786,Equipment support non-project costs,"2,552.21"
Ministry of Defence,Ministry of Defence,27/03/2012,Payment of utilities,Land Forces,TOTAL GAS & POWER LIMITED,RH1 1RX,919326,Utilities consumed - gas,"2,552.15"
Ministry of Defence,Ministry of Defence,28/03/2012,Fees for professional services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,919502,Fees for professional services excluding legal fees,"2,547.45"
Ministry of Defence,Ministry of Defence,15/03/2012,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,913896,Cost of other material consumed,"2,541.71"
Ministry of Defence,British Defence Staff -United States,28/03/2012,Medical treatment & stores and welfare services,Defence Equipment & Support,MERITAIN HEALTH,,303208,Medical-non hospital treatment,"2,532.86"
Ministry of Defence,Ministry of Defence,19/03/2012,Purchase of inventory and services ,Central TLB,CANON (UK) LIMITED,RH2 8BF,915117,Cost of other material consumed,"2,530.44"
Ministry of Defence,Ministry of Defence,23/03/2012,Spend on Inventory - General,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 3LS,917577,Spend on Inventory - General,"2,521.68"
Ministry of Defence,Ministry of Defence,02/03/2012,Property leases,Defence Equipment & Support,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,908377,Property dwellings private finance initiative - service concession arrangement service charge,"2,517.00"
Ministry of Defence,Ministry of Defence,23/03/2012,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,917500,Consumption of medical dental and veterinary inventory,"2,504.77"
Ministry of Defence,Ministry of Defence,29/03/2012,Spend on Inventory - General,Defence Infrastructure Organisation ,REXEL UK LTD,EN6 9EB,920637,Spend on Inventory - General,"2,504.10"
Ministry of Defence,Ministry of Defence,23/03/2012,Payment of utilities,Defence Equipment & Support,GB OILS LIMITED,FK5 4RB,917751,Utilities consumed - heating oil,"2,499.95"
Ministry of Defence,Ministry of Defence,19/03/2012,IT and communication services,Defence Equipment & Support,ACTICA CONSULTING LIMITED,GU2 7YF,915013,Information technology services,"2,496.00"
Ministry of Defence,Ministry of Defence,21/03/2012,Payment of utilities,Air Command,WATSON PETROLEUM LTD,SN15 5DN,916899,Utilities consumed - heating oil,"2,495.52"
Ministry of Defence,Ministry of Defence,29/03/2012,Estate management,Defence Equipment & Support,SERCO LIMITED,RG27 9UY,920679,Works - estate management,"2,487.10"
Ministry of Defence,Ministry of Defence,12/03/2012,Purchase of inventory and services ,Central TLB,XMA LTD,NG11 7EP,912663,Cost of other material consumed,"2,480.02"
Ministry of Defence,Ministry of Defence,23/03/2012,Transport hire charges,Central TLB,BUSVERKEHR OSTWESTFALEN GMBH,,5000074900,Transport other hire charge,"2,478.81"
Ministry of Defence,Ministry of Defence,23/03/2012,Payment of utilities,Land Forces,BP OIL UK LTD,BS11 8DL,917597,Utilities consumed - gas,"2,477.39"
Ministry of Defence,Ministry of Defence,26/03/2012,Transport hire charges,Land Forces,RYDER PUBLIC LIMITED COMPANY,SK16 4UL,918678,Transport other hire charge,"2,473.67"
Ministry of Defence,Ministry of Defence,02/03/2012,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,908201,Consumption of medical dental and veterinary inventory,"2,470.38"
Ministry of Defence,Ministry of Defence,19/03/2012,"Adminstration, claims, compensation and awards",Land Forces,CANON (UK) LIMITED,RH2 8BF,915117,Cost of claims/compensation and related expenses against MOD,"2,469.89"
Ministry of Defence,Ministry of Defence,26/03/2012,Preparation of land & buildings for disposal,Defence Infrastructure Organisation ,SINCLAIR KNIGHT MERZ (EUROPE) LTD,M3 2WJ,918699,Works in aid of disposal,"2,454.35"
Ministry of Defence,Ministry of Defence,15/03/2012,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,CV2 2TX,913838,Consumption of medical dental and veterinary inventory,"2,452.32"
Ministry of Defence,Ministry of Defence,19/03/2012,Purchase of inventory and services ,Defence Equipment & Support,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,915078,Cost of other material consumed,"2,450.65"
Ministry of Defence,Ministry of Defence,07/03/2012,Design services and minor equipment purchases,Command Joint Operations,CANON (UK) LIMITED,RH2 8BF,5000073716,Equipment support non-project costs,"2,444.11"
Ministry of Defence,Ministry of Defence,20/03/2012,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,916230,Cost of other material consumed,"2,423.22"
Ministry of Defence,Ministry of Defence,15/03/2012,Transport hire charges,Air Command,FBS LIMITED,RG24 8AG,914034,Transport finance lease service charge,"2,419.75"
Ministry of Defence,Ministry of Defence,19/03/2012,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,915680,Cost of other material consumed,"2,416.90"
Ministry of Defence,Ministry of Defence,16/03/2012,"Transportation of personnel, freight and travel expenses",Land Forces,ROYAL BRUNEI AIRLINES SDN BHD,,914857,Movement of service personnel,"2,416.89"
Ministry of Defence,Ministry of Defence,27/03/2012,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,918861,Transport other operating lease,"2,409.75"
Ministry of Defence,Ministry of Defence,29/03/2012,Purchase of inventory and services ,Defence Equipment & Support,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,920111,Cost of other material consumed,"2,404.91"
Ministry of Defence,Ministry of Defence,19/03/2012,Spend on Inventory - General,Central TLB,MILLBROOK FURNISHING INDUSTRIES LIMITED,SO40 3RY,915343,Spend on Inventory - General,"2,399.40"
Ministry of Defence,Ministry of Defence,14/03/2012,IT and communication services,Navy Command,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,SN14 0TW,167428,Line + telephone rental including commercial charge for use of radio frequencies,"2,397.00"
Ministry of Defence,Ministry of Defence,19/03/2012,Administration,Defence Equipment & Support,ASPIRE DEFENCE LIMITED,SP9 7QD,915044,General administration,"2,395.69"
Ministry of Defence,Ministry of Defence,30/03/2012,Purchase of inventory and services ,Air Command,CANON (UK) LIMITED,RH2 8BF,921022,Cost of other material consumed,"2,392.62"
Ministry of Defence,Ministry of Defence,15/03/2012,Purchase of inventory and services ,Central TLB,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,913896,Cost of other material consumed,"2,383.44"
Ministry of Defence,Ministry of Defence,27/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,MSI-DEFENCE SYSTEMS LTD,NR7 9AY,919133,Purchase of medical support equipment excluding that supplied from the inventory system,"2,378.20"
Ministry of Defence,Ministry of Defence,28/03/2012,Medical treatment & stores and welfare services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,919502,Medical health services,"2,372.28"
Ministry of Defence,Ministry of Defence,23/03/2012,Estate management,Defence Infrastructure Organisation ,URS INFRASTRUCTURE & ENVIRONMENT UK LIMITED,RG21 7PP,918170,Works - estate management,"2,367.00"
Ministry of Defence,Ministry of Defence,21/03/2012,General services and support,Command Joint Operations,EQUIPMENT HIRE SERVICES LTD,OL9 7AH,916457,Purchase of defence support equipment below capitalisation threshold of £25k.,"2,364.02"
Ministry of Defence,Ministry of Defence,06/03/2012,Purchase of inventory and services ,Navy Command,BOC LIMITED,M28 2UT,909313,Consumption of engineering and technical inventory,"2,354.22"
Ministry of Defence,Ministry of Defence,19/03/2012,"Transportation of personnel, freight and travel expenses",Air Command,MOBILE MINI UK LTD,TS18 3TX,915348,Freight movement costs,"2,349.00"
Ministry of Defence,Ministry of Defence,27/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,918880,Equipment support project costs,"2,340.00"
Ministry of Defence,Ministry of Defence,23/03/2012,Spend on Inventory - General,Air Command,CARWOOD MOTOR UNITS LTD,CV3 2RQ,917633,Spend on Inventory - General,"2,339.28"
Ministry of Defence,Ministry of Defence,30/03/2012,Building maintenance and accommodation stores,Defence Equipment & Support,MILLBROOK FURNISHING INDUSTRIES LIMITED,SO40 3RY,921341,Building maintenance accommodation inventory,"2,338.25"
Ministry of Defence,Ministry of Defence,14/03/2012,Payment of utilities,Central TLB,TOTAL GAS & POWER LIMITED,RH1 1RX,913776,Utilities consumed - gas,"2,332.68"
Ministry of Defence,Ministry of Defence,29/03/2012,Spend on Inventory - General,Defence Equipment & Support,MAN DIESEL & TURBO UK LIMITED,SK7 5BP,920418,Spend on Inventory - General,"2,326.49"
Ministry of Defence,Ministry of Defence,21/03/2012,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,CV2 2TX,916236,Consumption of medical dental and veterinary inventory,"2,320.57"
Ministry of Defence,Defence Support Group,09/03/2012,Indirect Agency,Business Stream 1,MPI AVIATION LTD,,10155820,,"2,317.68"
