ALB,Supplier,Net Amount £
Department for Communities and Local Government ,ESI ACQUISITION INC,"29,133.19"
Department for Communities and Local Government ,BRAVO SOLUTION UK LTD,"29,081.15"
Department for Communities and Local Government ,INSTITUTE FOR EMPLOYMENT STUDIES,"28,947.50"
Department for Communities and Local Government ,FIRE HOSETECH,"28,811.14"
Department for Communities and Local Government ,ETHNOS RESEARCH & CONSULTANCY,"28,500.00"
Department for Communities and Local Government ,JEWSON LTD (LONDON),"28,034.75"
Department for Communities and Local Government ,STAIRWAY COMMUNICATION LTD,"27,922.02"
Department for Communities and Local Government ,HYDER CONSULTING (UK) LTD,"27,812.05"
Department for Communities and Local Government ,HORTICULTURAL HALL(USE 411350),"27,603.27"
Department for Communities and Local Government ,TRIBAL RESOURCING LTD,"27,495.00"
Department for Communities and Local Government ,CLESTRA LIMITED,"27,242.69"
Department for Communities and Local Government ,WORLD WIDE GROUP LTD,"27,210.00"
Department for Communities and Local Government ,SBR DESIGN CONSULTANTS LTD,"27,107.23"
Department for Communities and Local Government ,LEADER GROUP UK LTD,"26,906.01"
Department for Communities and Local Government ,CUBIKS LTD,"26,383.33"
Department for Communities and Local Government ,MARILYN TAYLOR ASSOCIATES LTD,"26,207.01"
Department for Communities and Local Government ,LINGLEY MERE MANAGEMENT CO LTD,"26,099.17"
Department for Communities and Local Government ,NERA ECONOMIC CONSULTING,"25,904.40"
Department for Communities and Local Government ,SCIENTIFIC COMPUTERS LTD,"25,734.15"
Department for Communities and Local Government ,TOTAL WORX SAFETY (SAFEQUIP) LTD,"25,630.67"
Department for Communities and Local Government ,BUSINESS WEB SOFTWARE,"25,380.00"
Department for Communities and Local Government ,SUNGARD AVAILABILITY SERVS (UK) LTD,"25,357.98"
Department for Communities and Local Government ,SPONSORSHIP CONSULTING LTD,"25,336.41"
Department for Communities and Local Government ,POLICY STUDIES INSTITUTE,"25,170.00"
Department for Communities and Local Government ,EON UK PLC,"25,144.11"
Department for Communities and Local Government ,GOOD HOMES ALLIANCE,"25,124.00"
Department for Communities and Local Government ,ASTAR MANAGEMENT CONSULTANTS LTD,"24,881.00"
Department for Communities and Local Government ,STOPGAP LTD,"24,668.19"
Department for Communities and Local Government ,OPD SOLUTIONS LTD,"24,550.85"
Department for Communities and Local Government ,CARL REYNOLDS ASSOCIATES,"24,350.45"
Department for Communities and Local Government ,VISIONS CONSULTING COMPANY LTD,"24,146.26"
Department for Communities and Local Government ,SITE CONFIDENCE LTD,"23,892.23"
Department for Communities and Local Government ,ARVAL,"23,826.60"
Department for Communities and Local Government ,GOVNET COMMUNICATIONS,"23,747.24"
Department for Communities and Local Government ,GEOINFORMATION GROUP,"23,525.00"
Department for Communities and Local Government ,BOSTOCK MARKETING GROUP LTD,"23,500.00"
Department for Communities and Local Government ,JURYS INN BIRMINGHAM,"23,305.27"
Department for Communities and Local Government ,TROWERS & HAMLINS,"22,898.40"
Department for Communities and Local Government ,RUBENS AT THE PALACE HOTEL,"22,890.82"
Department for Communities and Local Government ,BRAHM LTD,"22,859.62"
Department for Communities and Local Government ,SIFT LTD,"22,762.50"
Department for Communities and Local Government ,ILX GROUP PLC,"22,646.77"
Department for Communities and Local Government ,CAPGEMINI UK PLC,"22,477.53"
Department for Communities and Local Government ,CONCERTO CONSULTING LTD,"22,427.50"
Department for Communities and Local Government ,HAWKSMERE LTD,"22,349.86"
Department for Communities and Local Government ,INVESTMENT PROPERTY DATABANK,"22,325.00"
Department for Communities and Local Government ,CENTAUR COMMUNICATIONS LTD,"21,991.81"
Department for Communities and Local Government ,HOLDEN MCALLISTER LTD,"21,527.24"
Department for Communities and Local Government ,FTC KAPLAN,"21,487.55"
Department for Communities and Local Government ,CLUCAS MOE LIMITED,"21,465.81"
Department for Communities and Local Government ,EBSCO INFORMATION SERVICES,"21,427.31"
Department for Communities and Local Government ,FIRE PROTECTION ASSOCIATION,"21,326.25"
Department for Communities and Local Government ,BOOT ROOM.COM LTD,"21,296.88"
Department for Communities and Local Government ,MOORE STEPHENS,"21,150.00"
Department for Communities and Local Government ,ACTIVITY INFORMATION MANAGEMENT LTD,"21,087.50"
Department for Communities and Local Government ,GATEWAY COMPUTING LTD,"21,018.96"
Department for Communities and Local Government ,NATIONAL HOUSING FEDERATION,"20,952.40"
Department for Communities and Local Government ,CENTRE ECONOMIC & SOCIAL INCLUSION,"20,764.70"
Department for Communities and Local Government ,BIZZIMOGUL LTD,"20,562.50"
Department for Communities and Local Government ,MORTON FRASER SOLICITORS,"20,326.51"
Department for Communities and Local Government ,TOD MILLER THOMAS,"20,188.94"
Department for Communities and Local Government ,GODFREY SYRETT LTD,"20,174.58"
Department for Communities and Local Government ,TEE TO GREEN MARKETING LTD,"20,125.00"
Department for Communities and Local Government ,POS ENTERPRISES LTD,"20,070.45"
Department for Communities and Local Government ,MEDIA 10 LIMITED,"20,049.03"
Department for Communities and Local Government ,MLA,"20,000.00"
Department for Communities and Local Government ,TELELOGIC UK LTD,"19,888.18"
Department for Communities and Local Government ,SUMMERS COMMERCIAL CONSULTING LTD,"19,837.50"
Department for Communities and Local Government ,IMPACT FACTORY LTD,"19,820.53"
Department for Communities and Local Government ,SECOR CONSULTING LTD,"19,707.39"
Department for Communities and Local Government ,INFORMATION SECURITY SYSTEMS LTD,"19,677.00"
Department for Communities and Local Government ,TEES VALLEY REGENERATION LTD,"19,500.00"
Department for Communities and Local Government ,ARCO LTD,"19,263.72"
Department for Communities and Local Government ,OXFORD SPIRES FOUR PILLARS HOTEL,"19,259.24"
Department for Communities and Local Government ,WDAD COMMUNICATIONS,"19,190.39"
Department for Communities and Local Government ,ENTERPRISE LSE LTD,"19,113.52"
Department for Communities and Local Government ,IMPRESS PRINT SERVICES LTD,"19,000.00"
Department for Communities and Local Government ,BRINTEX,"18,853.25"
Department for Communities and Local Government ,JAMES MAURICI,"18,741.26"
Department for Communities and Local Government ,CREATIVE GIANT LTD,"18,657.48"
Department for Communities and Local Government ,CARLSON MARKETING GROUP,"18,502.72"
Department for Communities and Local Government ,CLEAR COMPANY,"18,476.89"
Department for Communities and Local Government ,ONINIT CONSULTING LTD,"18,367.80"
Department for Communities and Local Government ,DANWOOD CONTRACT RENTALS,"18,351.90"
Department for Communities and Local Government ,SSI SOLUTIONS LTD,"18,207.48"
Department for Communities and Local Government ,INST STRUCTURAL ENGINEERS,"18,099.50"
Department for Communities and Local Government ,SIRSIDYNIX LTD,"17,938.69"
Department for Communities and Local Government ,HOLIDAY INN,"17,769.93"
Department for Communities and Local Government ,DESIGN FOR HOMES,"17,633.65"
Department for Communities and Local Government ,LABC,"17,625.00"
Department for Communities and Local Government ,SABIEN TECHNOLOGY LTD,"17,537.50"
Department for Communities and Local Government ,KINGSWAY HALL,"17,424.59"
Department for Communities and Local Government ,LEACH LEWIS PLANT LTD,"17,372.88"
Department for Communities and Local Government ,MWB BUSINESS EXCHANGE,"17,335.34"
Department for Communities and Local Government ,MODIS INTERNATIONAL,"17,266.05"
Department for Communities and Local Government ,LOBO SYSTEMS LTD,"17,157.96"
Department for Communities and Local Government ,INSIGHT CONSULTING - SIEMENS PLC,"17,087.86"
Department for Communities and Local Government ,ABTECH SAFETY LTD,"17,052.24"
Department for Communities and Local Government ,THORNTON PRINT LTD,"16,947.00"
Department for Communities and Local Government ,SHARP RESEARCH SERVICES,"16,893.56"
Department for Communities and Local Government ,ESTA,"16,822.24"
Department for Communities and Local Government ,OCE UK LTD,"16,780.08"
Department for Communities and Local Government ,ADVANCED HUMAN RESOURCES LTD,"16,768.72"
Department for Communities and Local Government ,PHOLA LTD,"16,743.75"
Department for Communities and Local Government ,SPOCE PROJECT MANAGEMENT LTD,"16,739.26"
Department for Communities and Local Government ,PRESS ASSOCIATION,"16,650.61"
Department for Communities and Local Government ,EAST LONDON COM RECYCLING PSHIP,"16,604.86"
Department for Communities and Local Government ,CHAOS ERGONOMICS SOLUTIONS LTD,"16,504.64"
Department for Communities and Local Government ,INTA/AIVN,"16,499.58"
Department for Communities and Local Government ,SECURETEST LTD,"16,450.00"
Department for Communities and Local Government ,IDOX INFORMATION SERVICES LTD,"16,376.01"
Department for Communities and Local Government ,PHILIP SALES,"16,352.02"
Department for Communities and Local Government ,YORK CONSULTING LLP,"16,286.67"
Department for Communities and Local Government ,HILTON MANCHESTER DEANSGATE,"16,271.63"
Department for Communities and Local Government ,IN2GRATE LTD,"16,225.58"
Department for Communities and Local Government ,DATASHARP UK LTD,"15,944.75"
Department for Communities and Local Government ,TELSTRA (EUROPE ) LTD,"15,860.82"
Department for Communities and Local Government ,LMD LEARNING SOLUTIONS,"15,641.01"
Department for Communities and Local Government ,INTERNATIONAL BUSINESS EVENTS,"15,640.42"
Department for Communities and Local Government ,SUE HILL RECRUITMENT & SERVICES LTD,"15,588.13"
Department for Communities and Local Government ,BODYCOTE TESTING LTD,"15,520.40"
Department for Communities and Local Government ,BELMONT PRESS,"15,478.00"
Department for Communities and Local Government ,N T L,"15,422.01"
Department for Communities and Local Government ,COMPANY BARCLAYCARD,"15,418.82"
Department for Communities and Local Government ,PROMOPOWER LTD,"15,371.35"
Department for Communities and Local Government ,ASK EUROPE PLC,"15,308.79"
Department for Communities and Local Government ,GERRARD CONSULTING LTD,"15,230.84"
Department for Communities and Local Government ,PRINCE OF CLEANERS,"15,020.00"
Department for Communities and Local Government ,ZENNOR CONSULTING LTD,"15,000.00"
Department for Communities and Local Government ,FOLIO CREATIVE COMMUNICATION LTD,"14,960.00"
Department for Communities and Local Government ,IHS (GLOBAL) LTD,"14,815.43"
Department for Communities and Local Government ,REDSNAPPER LTD,"14,790.00"
Department for Communities and Local Government ,DAVIES ARNOLD COOPER LLP,"14,687.50"
Department for Communities and Local Government ,BUILDING COST INFO SERVICE LTD,"14,687.50"
Department for Communities and Local Government ,OCE FINANCE,"14,682.32"
Department for Communities and Local Government ,SEVERN TRENT WATER LTD,"14,575.03"
Department for Communities and Local Government ,COSALT INTERNATIONAL LTD,"14,515.99"
Department for Communities and Local Government ,TELEGRAPH MEDIA GROUP,"14,511.25"
Department for Communities and Local Government ,STANTON HOPE LTD,"14,323.29"
Department for Communities and Local Government ,JOLLY HOTEL ST ERMIN'S,"14,220.69"
Department for Communities and Local Government ,DANWOOD FINANCIAL SERVICES LTD,"14,140.38"
Department for Communities and Local Government ,POWERFUL MEDIA LTD,"13,900.00"
Department for Communities and Local Government ,BYG SYSTEMS LTD,"13,800.00"
Department for Communities and Local Government ,UKVILLAGES LTD,"13,776.88"
Department for Communities and Local Government ,YOUTH MEDIA (UK) LTD,"13,536.00"
Department for Communities and Local Government ,BUCKHICKMAN INONE,"13,239.93"
Department for Communities and Local Government ,REGUS,"13,189.22"
Department for Communities and Local Government ,LANGELY SEARCH & SELECTION LTD,"13,156.00"
Department for Communities and Local Government ,CHADWICK STREET RECREATION CENTRE,"13,108.28"
Department for Communities and Local Government ,SPARTA,"12,750.00"
Department for Communities and Local Government ,REFLEX WEB DESIGN,"12,700.00"
Department for Communities and Local Government ,WRC-NSF LTD,"12,694.12"
Department for Communities and Local Government ,ELISABETH MARY DAVIDGE SOLICITOR,"12,277.04"
Department for Communities and Local Government ,NOVOTEL LEEDS CENTRE,"12,194.70"
Department for Communities and Local Government ,COMPASS GROUP,"12,181.62"
Department for Communities and Local Government ,VIMPEX LTD,"12,162.03"
Department for Communities and Local Government ,STERLING PRESS LTD,"11,822.00"
Department for Communities and Local Government ,METHODIST INTERNATIONAL CENTRE LTD,"11,815.69"
Department for Communities and Local Government ,WATSON MARTIN PARTNERSHIP,"11,800.00"
Department for Communities and Local Government ,COMMUNITY CHANNEL,"11,789.95"
Department for Communities and Local Government ,BRIGHT GREEN,"11,750.00"
Department for Communities and Local Government ,CHIUMENTO CONSULTING GROUP LTD,"11,750.00"
Department for Communities and Local Government ,ECONOMIST,"11,750.00"
Department for Communities and Local Government ,TURNER MORUM,"11,720.05"
Department for Communities and Local Government ,RESPIREX INTERNATIONAL,"11,671.11"
Department for Communities and Local Government ,PITNEY BOWES FINANCE PLC,"11,573.86"
Department for Communities and Local Government ,BEETROOT PUBLISHING LIMITED,"11,542.41"
Department for Communities and Local Government ,JENKINS & POTTER,"11,500.00"
Department for Communities and Local Government ,GERMINATION CIC,"11,500.00"
Department for Communities and Local Government ,BRAND FINANCE PLC,"11,496.88"
Department for Communities and Local Government ,POLITICAL SKILLS FORUM,"11,471.25"
Department for Communities and Local Government ,HABINTEG HOUSING ASSOCIATION,"11,400.00"
Department for Communities and Local Government ,BRAY LEINO LTD,"11,370.77"
Department for Communities and Local Government ,SPY DESIGN AND PUBLISHING,"11,364.79"
Department for Communities and Local Government ,FITNESS2LIVE LTD,"11,356.25"
Department for Communities and Local Government ,NEWSPAPER LICENSING AGENCY LTD,"11,335.27"
Department for Communities and Local Government ,CHARING CROSS HOTEL,"11,189.23"
Department for Communities and Local Government ,LEARNING TREE INTERNATIONAL,"11,085.00"
Department for Communities and Local Government ,GENERAL COUNCIL OF THE BAR,"11,053.20"
Department for Communities and Local Government ,ATOS ORIGIN IT SERVICES UK LTD,"11,045.00"
Department for Communities and Local Government ,GRS FACILITIES SUPPORT SERVICES LTD,"11,044.02"
Department for Communities and Local Government ,LAMBERT SMITH HAMPTON,"11,000.00"
Department for Communities and Local Government ,NICHOLSON MCBRIDE LTD,"10,985.65"
Department for Communities and Local Government ,SIGHTLINE,"10,916.70"
Department for Communities and Local Government ,CAMBRIDGE ECONOMETRICS LTD,"10,905.00"
Department for Communities and Local Government ,VERISIGN UK LTD,"10,788.87"
Department for Communities and Local Government ,CIVIL DEFENCE SUPPLY LTD,"10,760.42"
Department for Communities and Local Government ,CHARLES RUSSELL,"10,562.23"
Department for Communities and Local Government ,AHL BUSINESS ASSURANCE LTD,"10,484.18"
Department for Communities and Local Government ,CGMS LTD,"10,319.75"
Department for Communities and Local Government ,COMMERCIAL COLOUR PRESS PLC,"10,288.00"
Department for Communities and Local Government ,ORANGE,"10,241.17"
Department for Communities and Local Government ,STYLUSNET TECHNICAL SERVICES LTD,"10,114.71"
Department for Communities and Local Government ,MSA (BRITAIN) LTD,"10,046.43"
Department for Communities and Local Government ,ARCH CONSULTING LTD,"10,036.19"
Department for Communities and Local Government ,REED BUSINESS INFORMATION LTD,"10,015.75"
Department for Communities and Local Government ,W F ALDRIDGE & CO LTD,"9,965.00"
Department for Communities and Local Government ,DAVIDSON NICKLEN & ASSOCIATES LLP,"9,947.50"
Department for Communities and Local Government ,SGS UNITED KINGDOM LTD,"9,780.02"
Department for Communities and Local Government ,W & J LINNEY LTD,"9,711.00"
Department for Communities and Local Government ,CIRCLEINDIGO LIMITED,"9,695.90"
Department for Communities and Local Government ,ADSM PLC,"9,529.79"
Department for Communities and Local Government ,GROSVENOR VICTORIA HOTEL LTD,"9,493.55"
Department for Communities and Local Government ,NOTICE LTD,"9,474.02"
Department for Communities and Local Government ,HANLON COMPUTER SYSTEMS LTD,"9,458.75"
Department for Communities and Local Government ,OCM GROUP LTD,"9,450.00"
Department for Communities and Local Government ,MARINE & FISHERIES AGENCY,"9,400.00"
Department for Communities and Local Government ,LEADERSHIP SKILLS TRAINING LTD,"9,385.00"
Department for Communities and Local Government ,BNOS MEDITECH LIMITED,"9,357.68"
Department for Communities and Local Government ,MIQUEST LIMITED,"9,270.78"
Department for Communities and Local Government ,RESEARCH WORKS LTD,"9,165.50"
Department for Communities and Local Government ,DUN & BRADSTREET LTD,"9,035.05"
Department for Communities and Local Government ,LEADERS QUEST LTD,"9,000.00"
Department for Communities and Local Government ,BAXTERSTOREY LTD,"8,989.28"
Department for Communities and Local Government ,SYNERGY,"8,977.00"
Department for Communities and Local Government ,BOLD CREATIVE LTD,"8,950.00"
Department for Communities and Local Government ,AZIZ CORPORATION,"8,950.00"
Department for Communities and Local Government ,MEDIA MOGULS,"8,812.50"
Department for Communities and Local Government ,JONES LANG LASALLE LTD,"8,812.50"
Department for Communities and Local Government ,RENEWAL ASSOCIATES,"8,768.75"
Department for Communities and Local Government ,KEYS2CANNES LTD,"8,740.00"
Department for Communities and Local Government ,INITIAL ELECTRONIC SECURITY SYSTEMS,"8,680.91"
Department for Communities and Local Government ,PLAIN ENGLISH CAMPAIGN LTD,"8,535.56"
Department for Communities and Local Government ,TELEVISION NEWS RELEASE LTD,"8,424.89"
Department for Communities and Local Government ,COLOPHON LTD,"8,424.24"
Department for Communities and Local Government ,BALMORAL TRANSPORT SERVICES LTD,"8,417.01"
Department for Communities and Local Government ,TEN ALPS PUBLISHING LTD,"8,371.75"
Department for Communities and Local Government ,A J BUSINESS SOLUTIONS LTD,"8,313.83"
Department for Communities and Local Government ,ANTONVILLE LTD,"8,225.00"
Department for Communities and Local Government ,PIPERS PROJECT LTD,"8,172.13"
Department for Communities and Local Government ,LIGHTSOUT COMPUTER SERVICES LTD,"8,153.36"
Department for Communities and Local Government ,MY FAMILY CARE LTD,"8,138.13"
Department for Communities and Local Government ,FARADAY PARTNERSHIP LTD,"8,109.80"
Department for Communities and Local Government ,ROWAN PARTNERSHIP,"8,087.20"
Department for Communities and Local Government ,TRAMS LTD,"8,082.80"
Department for Communities and Local Government ,ACCESSION EXHIBITIONS / PUBLISHING,"8,076.65"
Department for Communities and Local Government ,ECOVERT FM LTD,"8,047.29"
Department for Communities and Local Government ,MALMAISON HOTEL,"8,045.62"
Department for Communities and Local Government ,GRAPHICS MATTER LTD,"8,035.00"
Department for Communities and Local Government ,CROWNE PLAZA NOTTINGHAM,"7,962.59"
Department for Communities and Local Government ,PATRICIA COLEMAN & ASSOCIATES LTD,"7,926.30"
Department for Communities and Local Government ,VIEWPOINT (PRESENTATIONS) LTD,"7,875.00"
Department for Communities and Local Government ,ZEST 4 FOOD LTD,"7,867.79"
Department for Communities and Local Government ,M C CHAUFFEURS,"7,788.44"
Department for Communities and Local Government ,RAMADA JARVIS BRIGHTON,"7,704.36"
Department for Communities and Local Government ,AVANQUEST LTD,"7,679.38"
Department for Communities and Local Government ,DAVID ELVIN QC,"7,615.95"
Department for Communities and Local Government ,LIBERATA UK LTD,"7,588.50"
Department for Communities and Local Government ,T & T CONSULTANCY LTD,"7,584.59"
Department for Communities and Local Government ,ROYAL YORK HOTEL,"7,569.34"
Department for Communities and Local Government ,CEDAR COURT HOTEL,"7,542.94"
Department for Communities and Local Government ,LEGAL & GENERAL ASSURANCE SOC LTD,"7,535.40"
Department for Communities and Local Government ,VT NUCLEAR SERVICES,"7,532.04"
Department for Communities and Local Government ,C I M HOLDINGS LTD,"7,517.95"
Department for Communities and Local Government ,AKT PRODUCTIONS LTD,"7,446.64"
Department for Communities and Local Government ,MEGA INTERNATIONAL LTD (UK),"7,431.88"
Department for Communities and Local Government ,JONATHAN SWIFT,"7,404.50"
Department for Communities and Local Government ,MOLLER CENTRE CONT EDUCATION LTD,"7,403.08"
Department for Communities and Local Government ,HAYMARKET EXHIBITIONS LTD,"7,388.00"
Department for Communities and Local Government ,ARMOUR IT SOLUTIONS LTD,"7,370.38"
Department for Communities and Local Government ,RICS,"7,347.34"
Department for Communities and Local Government ,DOTTED EYES LTD,"7,331.76"
Department for Communities and Local Government ,PRO SERV CORPORATE LTD,"7,313.44"
Department for Communities and Local Government ,CONSULTATION INSTITUTE,"7,308.51"
Department for Communities and Local Government ,EVENING STANDARD,"7,286.40"
Department for Communities and Local Government ,RSM BENTLEY JENNISON LTD,"7,235.00"
Department for Communities and Local Government ,REDACTIVE PUBLISHING LTD,"7,226.25"
Department for Communities and Local Government ,MORSE,"7,220.38"
Department for Communities and Local Government ,CYGNIA TECHNOLOGIES LTD,"7,138.63"
Department for Communities and Local Government ,CHARTERED INST OF LIBRARY & INFO,"7,129.51"
Department for Communities and Local Government ,WORLD SPORTS CORPS LTD,"7,050.00"
Department for Communities and Local Government ,WEYBRIDGE PRESS & PROMOTIONS LTD,"7,050.00"
Department for Communities and Local Government ,ILLUMINE LTD,"7,049.49"
Department for Communities and Local Government ,JOHN JUDD ASSOCIATES LTD,"7,048.00"
Department for Communities and Local Government ,IKON CAPITAL PLC,"7,040.66"
Department for Communities and Local Government ,AVIS RENT A CAR,"7,027.30"
Department for Communities and Local Government ,SODEXHO PRESTIGE LTD,"6,984.37"
Department for Communities and Local Government ,KNIGHT FRANK,"6,913.82"
Department for Communities and Local Government ,HORIZON SUPPLY CHAIN ASSOC LTD,"6,900.00"
Department for Communities and Local Government ,INSPIRE ELEARNING LTD,"6,750.00"
Department for Communities and Local Government ,FITZGIBBON ASSOCIATES,"6,584.49"
Department for Communities and Local Government ,GRANGE WELLINGTON HOTEL,"6,560.16"
Department for Communities and Local Government ,ABILITYNET,"6,502.65"
Department for Communities and Local Government ,MANDOLAY HOTEL,"6,501.60"
Department for Communities and Local Government ,COMPLIMENTARY SAMPLING LTD,"6,319.25"
Department for Communities and Local Government ,CONVEX LEISURE LTD,"6,286.31"
Department for Communities and Local Government ,TEACH CONSULTANCY LIMITED,"6,246.76"
Department for Communities and Local Government ,CANON (UK) LTD,"6,245.61"
Department for Communities and Local Government ,MICROSOFT DEVELOPER NETWORK,"6,172.00"
Department for Communities and Local Government ,TAKE ONE PRODUCTIONS (UK) LTD,"6,151.20"
Department for Communities and Local Government ,HEMMING GROUP LTD,"6,090.75"
Department for Communities and Local Government ,ROYAL MAIL,"6,077.48"
Department for Communities and Local Government ,PARAMOUNT CHELTENHAM PARK HOTEL,"6,032.50"
Department for Communities and Local Government ,HIPS CENTRE (CHESTER) LTD,"6,000.00"
Department for Communities and Local Government ,BUREAU VERITAS UK LIMITED,"5,972.79"
Department for Communities and Local Government ,BLAKE LAPTHORN,"5,955.49"
Department for Communities and Local Government ,SPEAKERS CORNER,"5,941.98"
Department for Communities and Local Government ,BOTTOMLINE TECHNOLOGIES EUROPE,"5,888.00"
Department for Communities and Local Government ,INTERBRAND,"5,872.34"
Department for Communities and Local Government ,COPYPRINT UK LTD,"5,857.00"
Department for Communities and Local Government ,FINANCIAL DYNAMICS,"5,816.25"
Department for Communities and Local Government ,STANDARD LIFE ASSURANCE CO,"5,766.57"
Department for Communities and Local Government ,STRATEGIC SOLUTIONS LTD,"5,763.89"
Department for Communities and Local Government ,UPGRADE OPTIONS LTD,"5,710.90"
Department for Communities and Local Government ,URBAN PROJECTS LTD,"5,709.09"
Department for Communities and Local Government ,TRACTEL (UK) LTD,"5,697.58"
Department for Communities and Local Government ,ZOOLOGICAL ENTERPRISES LONDON,"5,639.14"
Department for Communities and Local Government ,EVOLVE BUSINESS CONSULTANCY LTD,"5,623.50"
Department for Communities and Local Government ,AUGUSTUS MARTIN LTD,"5,605.00"
Department for Communities and Local Government ,DRIVERS JONAS,"5,591.54"
Department for Communities and Local Government ,REED LEARNING PLC,"5,520.11"
Department for Communities and Local Government ,GRIFFIN SECURITY MANAGEMENT LTD,"5,435.98"
Department for Communities and Local Government ,INXTERIORS REFURBISHMENTS LTD,"5,425.00"
Department for Communities and Local Government ,NORTHERN RECRUITMENT GROUP PLC,"5,402.29"
Department for Communities and Local Government ,CSR PARTNERSHIP LTD,"5,382.02"
Department for Communities and Local Government ,THEATRE MELANGE,"5,362.00"
Department for Communities and Local Government ,CONFERENCE DESK,"5,358.00"
Department for Communities and Local Government ,G F A CONSULTING,"5,346.25"
Department for Communities and Local Government ,ROYAL STATISTICAL SOCIETY,"5,340.14"
Department for Communities and Local Government ,BASIS LTD,"5,340.00"
Department for Communities and Local Government ,GROUP K BROADCASTING LTD,"5,300.00"
Department for Communities and Local Government ,LERIKO & ASSOCIATES,"5,298.00"
Department for Communities and Local Government ,COMMERCE DECISIONS LTD,"5,287.50"
Department for Communities and Local Government ,GB INFORMATION MANAGEMENT,"5,270.91"
Department for Communities and Local Government ,NORTHCOTE OFFSITE,"5,250.00"
Department for Communities and Local Government ,NORWOOD ELECTRICAL (UK) LTD,"5,237.27"
Department for Communities and Local Government ,B C S A LTD,"5,202.90"
Department for Communities and Local Government ,SETFORM LTD,"5,177.50"
Department for Communities and Local Government ,ADVANCE SEATING DESIGNS,"5,141.03"
Department for Communities and Local Government ,CVS INTERNATIONAL LTD,"5,140.63"
Department for Communities and Local Government ,SOFTWARE LOGISTICS LTD,"5,138.65"
Department for Communities and Local Government ,COMMUNITY REGENERATION PARTNERSHIP,"5,117.36"
Department for Communities and Local Government ,TIMBERLAKE CONSULTANTS LTD,"5,107.48"
Department for Communities and Local Government ,SANDOWN LIMOUSINE,"5,067.32"
Department for Communities and Local Government ,FILING PLUS,"4,990.00"
Department for Communities and Local Government ,TT INTERLINK LIMITED,"4,973.10"
Department for Communities and Local Government ,CIPD,"4,954.55"
Department for Communities and Local Government ,INSTITUTE OF DIRECTORS,"4,935.00"
Department for Communities and Local Government ,OPTELEC LIMITED,"4,934.25"
Department for Communities and Local Government ,EATON POWER QUALITY LTD,"4,893.88"
Department for Communities and Local Government ,FLINT & NEILL PARTNERSHIP,"4,859.52"
Department for Communities and Local Government ,COLIN BUCHANAN & PARTNERS,"4,838.63"
Department for Communities and Local Government ,QUICKSILVER MESSENGER SERVICE,"4,833.73"
Department for Communities and Local Government ,ELITE CLEANING SERVICES,"4,833.53"
Department for Communities and Local Government ,SHILMEDIA LTD,"4,830.00"
Department for Communities and Local Government ,BIRMINGHAM REP,"4,826.00"
Department for Communities and Local Government ,HCE ADVENTURE LTD,"4,810.00"
Department for Communities and Local Government ,IML LTD,"4,752.00"
Department for Communities and Local Government ,COMMON PURPOSE UK,"4,746.25"
Department for Communities and Local Government ,NEWSQUEST HAMPSHIRE & DORSET,"4,743.76"
Department for Communities and Local Government ,MICHAEL BOWSHER QC,"4,743.75"
Department for Communities and Local Government ,DLA PIPER UK LLP,"4,700.00"
Department for Communities and Local Government ,E K BASSA LIMITED,"4,700.00"
Department for Communities and Local Government ,MIDLAND PHONE SERVICES PLC,"4,671.14"
Department for Communities and Local Government ,SITEIMPROVE LTD,"4,642.60"
Department for Communities and Local Government ,MELANIE HALL QC,"4,620.01"
Department for Communities and Local Government ,HTA ARCHITECTS LTD,"4,600.00"
Department for Communities and Local Government ,PARITY TRAINING LTD,"4,595.05"
Department for Communities and Local Government ,PREMIERE EMPLOYMENT GROUP LTD,"4,532.43"
Department for Communities and Local Government ,BIOREGIONAL DEVELOPMENT GROUP,"4,531.62"
Department for Communities and Local Government ,MANAGEMENT DEVELOPMENT PARTNERSHIP,"4,509.73"
Department for Communities and Local Government ,CLARK MASTS TECHNICAL SERVICES LTD,"4,508.89"
Department for Communities and Local Government ,NORTH WEST DISABILITY ARTS FORUM,"4,500.00"
Department for Communities and Local Government ,JUSTIS PUBLISHING LTD,"4,494.38"
Department for Communities and Local Government ,ALPHA TRAINING,"4,475.52"
Department for Communities and Local Government ,R R DONNELLEY,"4,464.16"
Department for Communities and Local Government ,PINPOINT FACILITATION LTD,"4,446.61"
Department for Communities and Local Government ,NATIONAL EXHIBITION CENTRE GROUP,"4,406.25"
Department for Communities and Local Government ,S J FARMER (LONG EATON) LTD,"4,390.09"
Department for Communities and Local Government ,ADVANCED BUSINESS EQUIPMENT LTD,"4,330.91"
Department for Communities and Local Government ,BAFTA MANAGEMENT LTD,"4,319.05"
Department for Communities and Local Government ,JEAN KELLY CONSULTANCY LTD,"4,312.83"
Department for Communities and Local Government ,CACI INFORMATION SOLUTIONS LTD,"4,288.75"
Department for Communities and Local Government ,QUEENS HOTEL,"4,190.44"
Department for Communities and Local Government ,SJ PROCUREMENT LIMITED,"4,183.44"
Department for Communities and Local Government ,HEATHCOTES (OUTSIDE) LTD,"4,172.28"
Department for Communities and Local Government ,PRECISION UNITS (DORSET) LTD,"4,130.13"
Department for Communities and Local Government ,RADISSON EDWARDIAN KENILWORTH HOTEL,"4,129.00"
Department for Communities and Local Government ,FOREMARKE EXHIBITIONS LTD,"4,124.25"
