Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,19.33
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,91.56
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,0.14
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,224.1
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,636.08
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,205.56
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,1.91
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,196.73
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,63.07
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,226.03
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,49.68
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,231.26
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,2.36
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,0.29
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,62.95
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,24.62
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,6.84
Communities & Local Government,DCLG,24/08/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,40.15
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,82.42
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,740.24
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,70.2
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,311.47
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,62.98
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,60.67
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,44.35
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,"2,456.80"
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,8.88
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,110.24
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,0.86
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,5.66
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,14.36
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,658.42
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,435.06
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,306.37
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,27.91
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,43.51
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,17.99
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,154.33
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,44.04
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,25.48
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,1.19
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,0.04
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,0.07
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,4.5
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,3.17
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,117.22
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,0.94
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,21.55
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,6.86
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,32.48
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,118.34
Communities & Local Government,DCLG,24/08/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,32.04
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,514.03
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,923.78
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,71.62
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,8.78
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,227.11
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,660.07
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,223.2
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,"1,840.18"
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,31.98
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,215.75
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,39.6
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,189.2
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,31.68
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,69.42
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,7.61
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,308.21
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,7.36
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,5.17
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,694.94
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,116.28
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,47.66
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,13.51
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,40.1
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,315.04
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,17.42
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,0.97
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,1.19
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,14.64
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,78.76
Communities & Local Government,DCLG,24/08/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,514.8
Communities & Local Government,DCLG,24/08/2011,Photocopying,Strategic Performance Team,MITIE BUSINESS SERVICES LTD,,Large,,2100207009,Monthly Consolidated Business Services,67.73
Communities & Local Government,DCLG,24/08/2011,Photocopying,Strategic Performance Team,MITIE BUSINESS SERVICES LTD,,Large,,2100207012,Monthly Consolidated Business Services,483.22
Communities & Local Government,DCLG,24/08/2011,Water,Localism,YORKSHIRE WATER,,Large,,5106167693,Y&H RCC Water Charges 2011-12,851.34
Communities & Local Government,DCLG,24/08/2011,Professional services,Finance & Corporate Services,PRIORITY RISK LIMITED,,Micro,,5106167553,Assessor Expenses,60
Communities & Local Government,DCLG,24/08/2011,Professional services,Finance & Corporate Services,PRIORITY RISK LIMITED,,Micro,,5106167553,Fire Risk Assesment Hempstead House,540
Communities & Local Government,DCLG,24/08/2011,Research,Finance & Corporate Services,BUILDING RESEARCH ESTABLISHMENT,,Large,,5106167743,EHS Development Partner,"39,300.00"
Communities & Local Government,DCLG,24/08/2011,Telecoms equipment (non-capitalised),Localism,AIRWAVE SOLUTIONS LTD,,Large,,5106167699,Phase B Wales 2011/12,"29,388.61"
Communities & Local Government,DCLG,24/08/2011,Telecoms equipment (non-capitalised),Localism,AIRWAVE SOLUTIONS LTD,,Large,,5106167711,Phase B England 2011/12,"244,715.92"
Communities & Local Government,DCLG,24/08/2011,Telecoms equipment (non-capitalised),Localism,AIRWAVE SOLUTIONS LTD,,Large,,5106167713,20% Phase C Service Fees - East,"13,709.48",
Communities & Local Government,DCLG,24/08/2011,Telecoms equipment (non-capitalised),Localism,AIRWAVE SOLUTIONS LTD,,Large,,5106167713,20% Phase C Service Fees - East Midlands,"9,563.35",
Communities & Local Government,DCLG,24/08/2011,Telecoms equipment (non-capitalised),Localism,AIRWAVE SOLUTIONS LTD,,Large,,5106167713,20% Phase C Service Fees - North East,"2,647.37",
Communities & Local Government,DCLG,24/08/2011,Telecoms equipment (non-capitalised),Localism,AIRWAVE SOLUTIONS LTD,,Large,,5106167713,20% Phase C Service Fees - North West,"23,631.84",
Communities & Local Government,DCLG,24/08/2011,Telecoms equipment (non-capitalised),Localism,AIRWAVE SOLUTIONS LTD,,Large,,5106167713,20% Phase C Service Fees - South East,"17,070.37",
Communities & Local Government,DCLG,24/08/2011,Telecoms equipment (non-capitalised),Localism,AIRWAVE SOLUTIONS LTD,,Large,,5106167713,20% Phase C Service Fees - South West,"32,266.48",
Communities & Local Government,DCLG,24/08/2011,Telecoms equipment (non-capitalised),Localism,AIRWAVE SOLUTIONS LTD,,Large,,5106167713,20% Phase C Service Fees - West Midlands,"6,581.52",
Communities & Local Government,DCLG,24/08/2011,Telecoms equipment (non-capitalised),Localism,AIRWAVE SOLUTIONS LTD,,Large,,5106167713,20% Phase C Service Fees - Yorkshire and,"13,876.19",
Communities & Local Government,DCLG,24/08/2011,Telecoms equipment (non-capitalised),Localism,AIRWAVE SOLUTIONS LTD,,Large,,5106167715,20% Phase A Service Fees -Wales,"128,698.08",
Communities & Local Government,DCLG,24/08/2011,Services provided by other Govt Orgs,Neighbourhoods,CABINET OFFICE,,,,5106167740,Payment to Cabinet Office for Gateway,"7,128.00",Yes
Communities & Local Government,DCLG,24/08/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,HOMES & COMMUNITIES AGENCY,,,,2100207005,Support for Housing and Regeneration - Aug 2011,"11,253,494.00",Yes
Communities & Local Government,DCLG,24/08/2011,Finance Consultancy,Finance & Corporate Services,FINANCIAL REPORTING COUNCIL LTD,,Medium,,5106167655,FRC Preparers Levey,"6,206.00",
Communities & Local Government,DCLG,24/08/2011,Management Consultancy,Localism,KEEP BRITAIN TIDY,,Medium,,5106167749,20% Management consultants,"270,000.00",
Communities & Local Government,DCLG,25/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,UNIVERSITY OF WARWICK,,Large,,2100207054,West Midlands ERDF programme,"3,315.39",
Communities & Local Government,DCLG,25/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,ASTON UNIVERSITY,,Large,,2100207055,West Midlands ERDF programme,"19,523.03",
Communities & Local Government,DCLG,25/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,BLACK COUNTRY REINVESTMENT SOCIETY,,Small,,2100207060,West Midlands ERDF programme,"1,250.00",
Communities & Local Government,DCLG,25/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,BIRMINGHAM CITY COUNCIL (NOT RATES),,Large,,2100207061,West Midlands ERDF programme,"18,424.18",
Communities & Local Government,DCLG,25/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,FOCUS ENTERPRISE LTD,,Micro,,2100207058,West Midlands ERDF programme,"7,554.50",
Communities & Local Government,DCLG,25/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SANDWELL MBC,,Large,,2100207059,West Midlands ERDF programme,"5,781.78",
Communities & Local Government,DCLG,25/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CALIDUS ENGINEERING LTD,,Small,,2300001778,Project 202904,"-16,765.85",
Communities & Local Government,DCLG,25/08/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,UNIVERSITY OF WARWICK,,Large,,2100207054,West Midlands ERDF programme,"146,322.81",
Communities & Local Government,DCLG,25/08/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,ASTON UNIVERSITY,,Large,,2100207055,West Midlands ERDF programme,"14,736.98",
Communities & Local Government,DCLG,25/08/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,BLACK COUNTRY REINVESTMENT SOCIETY,,Small,,2100207060,West Midlands ERDF programme,"65,000.00",
Communities & Local Government,DCLG,25/08/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,ART (ASTON REINVESTMENT TRUST),,Small,,2100207057,West Midlands ERDF programme,"119,212.50",
Communities & Local Government,DCLG,25/08/2011,Agency Staff,Finance & Corporate Services,MICHAEL PAGE INTERNATIONAL,,Large,,5106167765,Interim  internal Audit,"1,929.48",
Communities & Local Government,DCLG,25/08/2011,Agency Staff,Finance & Corporate Services,MICHAEL PAGE INTERNATIONAL,,Large,,5106167767,Interim  internal Audit,"1,543.58",
Communities & Local Government,DCLG,25/08/2011,Fixed Maintenance,Localism,VT FLAGSHIP INFRASTRUCTURE,,Large,,2100207103,20% EoE FM Fixed Service Yr 3,"-39,337.10",
Communities & Local Government,DCLG,25/08/2011,Fixed Maintenance,Localism,VT FLAGSHIP INFRASTRUCTURE,,Large,,5106167741,SE FM Fixed Service Yr 3 20% VAT,"41,533.30",
Communities & Local Government,DCLG,25/08/2011,Fixed Maintenance,Localism,VT FLAGSHIP INFRASTRUCTURE,,Large,,5106167742,SW FM Fixed Service Yr 3 20% VAT,"46,360.32",
Communities & Local Government,DCLG,25/08/2011,Fixed Maintenance,Localism,VT FLAGSHIP INFRASTRUCTURE,,Large,,5106167841,20% EoE FM Fixed Service Yr 3,"39,337.10",
Communities & Local Government,DCLG,25/08/2011,Travel and Subsistence Account,Finance & Corporate Services,GOVERNMENT CAR & DESPATCH AGENCY,,,,5106167763,Ministerial Cars,"2,016.00",
Communities & Local Government,DCLG,25/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HERTFORDSHIRE CC,,,,5000169589,Overpayment of Grant recovered by Exchequer,"-6,634.00",Yes
Communities & Local Government,DCLG,25/08/2011,Professional services,Finance & Corporate Services,SGS UNITED KINGDOM LTD,,Large,,5106164888,ISO 14001 Annual Cerification,756,
Communities & Local Government,DCLG,25/08/2011,Rates,Finance & Corporate Services,WESTMINSTER CITY COUNCIL,,Large,,5106167774,Eland rates 2011/12,"480,350.00",
Communities & Local Government,DCLG,25/08/2011,Vehicle Maintenance,Localism,BABCOCK CRITICAL SERVICES LTD,,Large,,5106167645,Unplanned Maintenance costs,"56,331.17",
Communities & Local Government,DCLG,25/08/2011,Telephone call costs,Localism,7E COMMUNICATIONS LTD,,Micro,,5106167787,"Satellite call costs - Iridium, Inmarsat & Thuraya",553.75,
Communities & Local Government,DCLG,25/08/2011,Telephone call costs,Finance & Corporate Services,BRITANNIC TECHNOLOGIES LTD,,Medium,,5106167790,Global Crossing Rentals,"43,923.41",
Communities & Local Government,DCLG,25/08/2011,Telephone call costs,Finance & Corporate Services,BRITANNIC TECHNOLOGIES LTD,,Medium,,5106167792,Global Crossing Rentals,"43,341.58",
Communities & Local Government,DCLG,25/08/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,CABLE & WIRELESS,,Large,,2100207092,Line and Service Provision,"-14,688.00",
Communities & Local Government,DCLG,25/08/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,CABLE & WIRELESS,,Large,,5106165983,Line and Service Provision,"14,688.00",
Communities & Local Government,DCLG,25/08/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,BRITANNIC TECHNOLOGIES LTD,,Medium,,5106167790,Call Charges,"5,646.36",
Communities & Local Government,DCLG,25/08/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,BRITANNIC TECHNOLOGIES LTD,,Medium,,5106167792,Call Charges,"5,783.50",
Communities & Local Government,DCLG,25/08/2011,Services provided by other Govt Orgs,Finance & Corporate Services,CABINET OFFICE,,,,5106167759,DCLG Contribution to Cabinet Office Recruitment Cost of EU Fast Stream,"28,000.00",Yes
Communities & Local Government,DCLG,25/08/2011,IT - Service Contracts,Finance & Corporate Services,COMPUTACENTER (UK) LTD,,Large,,2100207104,Evault data backup mthly charge 2011/12,"-1,766.40",
Communities & Local Government,DCLG,25/08/2011,IT - Service Contracts,Finance & Corporate Services,COMPUTACENTER (UK) LTD,,Large,,5106167048,Evault data backup mthly charge 2011/12,"1,766.40",
Communities & Local Government,DCLG,25/08/2011,Steady State Service Provision,Finance & Corporate Services,OGC BUYING SOLUTIONS,,,,5106167768,GONCS-Payroll charges - 2010/11,"2,022.84",
Communities & Local Government,DCLG,26/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,MEDILINK EAST MIDLANDS,,Small,,2100207106,East Midlands Competiveness OP  - Claim 07,"97,450.57",
Communities & Local Government,DCLG,26/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NOTTINGHAM CITY COUNCIL,,Large,,2100207107,East Midlands Competiveness OP  - Claim 03,"12,162.16",
Communities & Local Government,DCLG,26/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NOTTINGHAM UNIVERSITY,,Large,,2100207108,East Midlands Competiveness OP  - Claim 05,"18,372.41",
Communities & Local Government,DCLG,26/08/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,NOTTINGHAM UNIVERSITY,,Large,,2100207108,East Midlands Competiveness OP  - Claim 05,"64,447.81",
Communities & Local Government,DCLG,26/08/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,EAST MIDS REGIONAL DEVELOPMENT AGNC,,Large,,2100207105,East Midlands Competiveness OP  - Claim 09,"125,700.00",
Communities & Local Government,DCLG,26/08/2011,Agency Staff,Finance & Corporate Services,REED SPECIALIST RECRUITMENT LTD,,Large,,5106167832,Temp electoral claims,450.06,
Communities & Local Government,DCLG,26/08/2011,Agency Staff,Finance & Corporate Services,SBS GROUP (UK) LTD,,Large,,5106167805,Contractor UNIX,"3,900.00",
Communities & Local Government,DCLG,26/08/2011,Agency Staff,Finance & Corporate Services,ALLEN LANE FINANCIAL RECRUITMENT,,,Yes,5106167829,Oct/Nov/Dec/Invoices,"3,240.00",
Communities & Local Government,DCLG,26/08/2011,Legal Fees,Finance & Corporate Services,TREASURY SOLICITOR,,,,2100207095,LEGAL FEES (ADVERSE COSTS),"6,750.00",
Communities & Local Government,DCLG,26/08/2011,Fixed Maintenance,Localism,VT FLAGSHIP INFRASTRUCTURE,,Large,,2100207144,20% EoE FM Fixed Service Yr 3,"-39,337.10",
Communities & Local Government,DCLG,26/08/2011,Fixed Maintenance,Localism,VT FLAGSHIP INFRASTRUCTURE,,Large,,5106167861,20% EoE FM Fixed Service Yr 3,"39,337.10",
Communities & Local Government,DCLG,26/08/2011,Current Grants to Non Profit Bodies,Neighbourhoods,CAMPAIGN TO PROTECT RURAL ENGLAND,,Medium,,2100207093,Provi of Free Advice and guidance to Community,"10,748.70",Yes
Communities & Local Government,DCLG,26/08/2011,Storage,Finance & Corporate Services,IRON MOUNTAIN (UK) LIMITED,,Large,,5106167852,Off site storage 2011 costs,"1,062.68",
Communities & Local Government,DCLG,26/08/2011,Publications,Strategic Performance Team,STATIONERY OFFICE LTD,,Large,,5106167779,20% Fellowstracker service,510,
Communities & Local Government,DCLG,26/08/2011,Research,Finance & Corporate Services,NEWCASTLE UPON TYNE UNIVERSITY,,Large,,2100207143,Decentralisation & Public Service Prov,"-14,250.00",
Communities & Local Government,DCLG,26/08/2011,Research,Finance & Corporate Services,NEWCASTLE UPON TYNE UNIVERSITY,,Large,,5106166755,Decentralisation & Public Service Prov,"14,250.00",
Communities & Local Government,DCLG,26/08/2011,Medals,Localism,ROYAL MINT,,,,5106167846,20% Long service medal,"1,098.90",
Communities & Local Government,DCLG,26/08/2011,Medals,Localism,ROYAL MINT,,,,5106167847,20% Long service medal,683.1,
Communities & Local Government,DCLG,26/08/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,CABLE & WIRELESS,,Large,,5106167695,Line and Service Provision,505.84,
Communities & Local Government,DCLG,26/08/2011,Services provided by other Govt Orgs,Finance & Corporate Services,DEFENCE VETTING AGENCY,,,,5106167845,Services provided by other Gov'ment Deps,912.96,Yes
Communities & Local Government,DCLG,26/08/2011,IT - Service Contracts,Finance & Corporate Services,COMPUTACENTER (UK) LTD,,Large,,5106167857,Evault data backup mthly charge 2011/12,"1,666.80",
Communities & Local Government,DCLG,26/08/2011,IT - Service Contracts,Finance & Corporate Services,FUJITSU SERVICES LTD,,Large,,5106167796,Printer Managed Service,"2,433.17",
Communities & Local Government,DCLG,26/08/2011,IT - Service Contracts,Finance & Corporate Services,FUJITSU SERVICES LTD,,Large,,5106167797,Printer Managed Service,"17,062.62",
