Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Profession
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Administrative Officer (AO),19335,25847,Statistical Support Officer,4.54,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Executive Officer (EO),22279,31225,IT Support Officer,2,Information Technology
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Executive Officer (EO),22279,31225,Statistical Support Officer,1,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Executive Officer (EO),22279,31225,Statistician,2,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Grade 6 (G6),50203,70375,Senior IT Manager,1,Information Technology
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Grade 7 (G7),40852,57110,Senior Analyst,2.89,Social Research
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Grade 7 (G7),40852,57110,Senior IT Manager,1,Information Technology
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Grade 7 (G7),40852,57110,Senior Project Manager,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Grade 7 (G7),40852,57110,Senior Statistician,2,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Higher Executive Officer (HEO),26058,39513,IT Manager,1,Information Technology
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Higher Executive Officer (HEO),26058,39513,IT Support Officer,2,Information Technology
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Higher Executive Officer (HEO),26058,39513,Statistical Support Officer,1,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Senior Executive Officer (SEO),32311,45985,Analyst,4.6,Social Research
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Senior Executive Officer (SEO),32311,45985,IT Manager,1,Information Technology
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Senior Executive Officer (SEO),32311,45985,IT Support Officer,1,Information Technology
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Senior Executive Officer (SEO),32311,45985,Programme Support Officer,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Senior Executive Officer (SEO),32311,45985,Statistician,2,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Fast Stream (HEOD),27000,35000,Statistician,1,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG220,Administrative Officer (AO),19335,25847,Operations Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG220,Executive Officer (EO),22279,31225,Operations Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG220,Higher Executive Officer (HEO),26058,39513,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG220,Senior Executive Officer (SEO),32311,45985,Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG221,Executive Officer (EO),22279,31225,Correspondence Manager,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG221,Executive Officer (EO),22279,31225,Diary Manager,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG221,Executive Officer (EO),22279,31225,Operations Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG221,Executive Officer (EO),22279,31225,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG221,Executive Officer (EO),22279,31225,Programme Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG221,Grade 6 (G6),50203,70375,Operational Manager,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG221,Grade 7 (G7),40852,57110,Operational Manager,9,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG221,Grade 7 (G7),40852,57110,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG221,Higher Executive Officer (HEO),26058,39513,Communications Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG221,Higher Executive Officer (HEO),26058,39513,Operations Support Officer,7.67,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG221,Higher Executive Officer (HEO),26058,39513,Policy Adviser,2.75,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG221,Senior Executive Officer (SEO),32311,45985,Operational Manager,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG221,Senior Executive Officer (SEO),32311,45985,Operations Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG132,Executive Officer (EO),22279,31225,IT Support Officer,0.42,Operational Delivery
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG132,Executive Officer (EO),22279,31225,IT Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG132,Executive Officer (EO),22279,31225,Operations Support Officer,2,Operational Delivery
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG132,Executive Officer (EO),22279,31225,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG132,Grade 6 (G6),50203,70375,Senior Operational Manager,1,Operational Delivery
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG132,Higher Executive Officer (HEO),26058,39513,Operations Support Officer,3,Operational Delivery
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG132,Senior Executive Officer (SEO),32311,45985,Operational Manager,1,Operational Delivery
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG132,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG135,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG135,Grade 6 (G6),50203,70375,Senior Policy Adviser,0.47,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG135,Grade 7 (G7),40852,57110,Senior Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG135,Senior Executive Officer (SEO),32311,45985,Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Executive Officer (EO),22279,31225,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Executive Officer (EO),22279,31225,Statistician,3,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Grade 6 (G6),50203,70375,Senior Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Grade 7 (G7),40852,57110,Economist,1,Economics
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Grade 7 (G7),40852,57110,Senior Economist,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Grade 7 (G7),40852,57110,Senior Operational Researcher,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Grade 7 (G7),40852,57110,Senior Policy Adviser,1.42,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Grade 7 (G7),40852,57110,Senior Statistician,0.67,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Grade 7 (G7),40852,57110,Statistician,1,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Higher Executive Officer (HEO),26058,39513,Policy Adviser,1.6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Higher Executive Officer (HEO),26058,39513,Statistician,3,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Senior Executive Officer (SEO),32311,45985,Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG136,Fast Stream (HEOD),27000,35000,Statistician,1,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG137,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG137,Executive Officer (EO),22279,31225,Policy Support Officer,5.48,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG137,Grade 7 (G7),40852,57110,Senior Policy Adviser,17.18,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG137,Higher Executive Officer (HEO),26058,39513,Policy Adviser,11,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG137,Senior Executive Officer (SEO),32311,45985,Policy Adviser,4.8,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG138,Executive Officer (EO),22279,31225,Policy Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG138,Senior Executive Officer (SEO),32311,45985,Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG139,Executive Officer (EO),22279,31225,Executive Assistant,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG139,Executive Officer (EO),22279,31225,Policy Support Officer,1.94,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG139,Executive Officer (EO),22279,31225,Technical Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG139,Grade 6 (G6),50203,70375,Business Manager,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG139,Grade 6 (G6),50203,70375,Senior Technical Adviser,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG139,Grade 7 (G7),40852,57110,Senior Technical Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG139,Senior Executive Officer (SEO),32311,45985,Policy Adviser,0.78,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG139,Senior Executive Officer (SEO),32311,45985,Programme Manager,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG139,Senior Executive Officer (SEO),32311,45985,Technical Adviser,6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG155,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG155,Executive Officer (EO),22279,31225,Operations Support Officer,1,Social Research
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG155,Executive Officer (EO),22279,31225,Policy Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG155,Grade 6 (G6),50203,70375,Senior Operational Researcher,1,Social Research
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG155,Grade 7 (G7),40852,57110,Economist,1,Economics
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG155,Grade 7 (G7),40852,57110,Senior Operational Researcher,4.83,Social Research
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG155,Grade 7 (G7),40852,57110,Senior Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG155,Higher Executive Officer (HEO),26058,39513,Policy Adviser,2.6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG155,Senior Executive Officer (SEO),32311,45985,Operational Researcher,2.5,Social Research
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG155,Senior Executive Officer (SEO),32311,45985,Policy Adviser,1.89,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG155,Fast Stream (HEOD),27000,35000,Operational Researcher,1,Social Research
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG155,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG156,Grade 7 (G7),40852,57110,Senior Policy Adviser,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG156,Higher Executive Officer (HEO),26058,39513,Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG156,Senior Executive Officer (SEO),32311,45985,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG157,Administrative Officer (AO),19335,25847,Policy Support Officer,0.6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG157,Executive Officer (EO),22279,31225,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG157,Grade 6 (G6),50203,70375,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG157,Grade 7 (G7),40852,57110,Senior Policy Adviser,10.28,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG157,Higher Executive Officer (HEO),26058,39513,Policy Adviser,8,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG157,Senior Executive Officer (SEO),32311,45985,Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG157,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG158,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG158,Executive Officer (EO),22279,31225,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG158,Grade 7 (G7),40852,57110,Senior Policy Adviser,2.92,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG158,Higher Executive Officer (HEO),26058,39513,Policy Adviser,3.72,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG158,Senior Executive Officer (SEO),32311,45985,Policy Adviser,0.78,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG158,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG159,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG159,Executive Officer (EO),22279,31225,Policy Support Officer,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG159,Grade 7 (G7),40852,57110,Senior Policy Adviser,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG159,Higher Executive Officer (HEO),26058,39513,Policy Adviser,7,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG159,Senior Executive Officer (SEO),32311,45985,Policy Adviser,4.89,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG160,Grade 7 (G7),40852,57110,Senior Policy Adviser,3.2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG160,Higher Executive Officer (HEO),26058,39513,Policy Adviser,3.83,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG160,Higher Executive Officer (HEO),26058,39513,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG160,Senior Executive Officer (SEO),32311,45985,Policy Adviser,0.52,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG160,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG161,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG161,Executive Officer (EO),22279,31225,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG161,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG161,Grade 7 (G7),40852,57110,Senior Policy Adviser,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG161,Higher Executive Officer (HEO),26058,39513,Policy Adviser,3.6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG162,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG162,Executive Officer (EO),22279,31225,Policy Support Officer,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG162,Grade 7 (G7),40852,57110,Senior Policy Adviser,5,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG162,Higher Executive Officer (HEO),26058,39513,Policy Adviser,6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG162,Fast Stream (HEOD),27000,35000,Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG163,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG163,Executive Officer (EO),22279,31225,Policy Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG163,Grade 6 (G6),50203,70375,Senior Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG163,Grade 7 (G7),40852,57110,Senior Policy Adviser,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG163,Higher Executive Officer (HEO),26058,39513,Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG163,Senior Executive Officer (SEO),32311,45985,Policy Adviser,1.78,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG163,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG164,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG164,Executive Officer (EO),22279,31225,Policy Support Officer,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG164,Grade 7 (G7),40852,57110,Senior Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG164,Higher Executive Officer (HEO),26058,39513,Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG164,Senior Executive Officer (SEO),32311,45985,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG164,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG165,Administrative Officer (AO),19335,25847,Policy Support Officer,7.67,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG165,Executive Officer (EO),22279,31225,Policy Support Officer,8.58,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG165,Executive Officer (EO),22279,31225,Statistical Support Officer,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG165,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG165,Grade 7 (G7),40852,57110,Senior Policy Adviser,5.78,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG165,Grade 7 (G7),40852,57110,Senior Statistician,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG165,Grade 7 (G7),40852,57110,Statistician,1,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG165,Higher Executive Officer (HEO),26058,39513,Policy Adviser,8,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG165,Higher Executive Officer (HEO),26058,39513,Statistical Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG165,Senior Executive Officer (SEO),32311,45985,Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG165,Fast Stream (HEOD),27000,35000,Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG166,Executive Officer (EO),22279,31225,Policy Support Officer,1.8,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG166,Grade 7 (G7),40852,57110,Senior Policy Adviser,7,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG166,Senior Executive Officer (SEO),32311,45985,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG166,Fast Stream (HEOD),27000,35000,Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG168,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG168,Executive Officer (EO),22279,31225,Policy Support Officer,8,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG168,Grade 6 (G6),50203,70375,Senior Policy Adviser,1.4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG168,Grade 7 (G7),40852,57110,Senior Policy Adviser,11.19,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG168,Higher Executive Officer (HEO),26058,39513,Policy Adviser,11.08,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG168,Senior Executive Officer (SEO),32311,45985,Policy Adviser,6.85,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG168,Fast Stream (HEOD),27000,35000,Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG169,Administrative Officer (AO),19335,25847,Policy Support Officer,5,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG169,Executive Officer (EO),22279,31225,Policy Support Officer,8.63,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG169,Grade 6 (G6),50203,70375,Senior Policy Adviser,2.4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG169,Grade 7 (G7),40852,57110,Senior Policy Adviser,12.83,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG169,Higher Executive Officer (HEO),26058,39513,Policy Adviser,15.72,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG169,Senior Executive Officer (SEO),32311,45985,Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG169,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG170,Administrative Officer (AO),19335,25847,Policy Support Officer,1.67,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG170,Executive Officer (EO),22279,31225,Policy Support Officer,2.58,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG170,Grade 7 (G7),40852,57110,Senior Policy Adviser,6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG170,Higher Executive Officer (HEO),26058,39513,Policy Adviser,6.7,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG170,Senior Executive Officer (SEO),32311,45985,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG171,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG171,Executive Officer (EO),22279,31225,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG171,Executive Officer (EO),22279,31225,Policy Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG171,Grade 6 (G6),50203,70375,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG171,Grade 6 (G6),50203,70375,Senior Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG171,Grade 7 (G7),40852,57110,Senior Policy Adviser,18.47,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG171,Higher Executive Officer (HEO),26058,39513,Policy Adviser,10.5,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG171,Senior Executive Officer (SEO),32311,45985,Policy Adviser,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG172,Administrative Officer (AO),19335,25847,Policy Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG172,Executive Officer (EO),22279,31225,Policy Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG172,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG172,Grade 7 (G7),40852,57110,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG172,Grade 7 (G7),40852,57110,Senior Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG172,Higher Executive Officer (HEO),26058,39513,Policy Adviser,2.6,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG172,Senior Executive Officer (SEO),32311,45985,Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG172,Fast Stream (HEOD),27000,35000,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG173,Administrative Officer (AO),19335,25847,Policy Support Officer,6.13,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG173,Executive Officer (EO),22279,31225,Policy Support Officer,6.94,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG173,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG173,Grade 7 (G7),40852,57110,Senior Policy Adviser,8,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG173,Higher Executive Officer (HEO),26058,39513,Policy Adviser,12.8,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG173,Senior Executive Officer (SEO),32311,45985,Policy Adviser,7,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG174,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG174,Executive Officer (EO),22279,31225,Policy Support Officer,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG174,Grade 6 (G6),50203,70375,Senior Policy Adviser,3,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG174,Grade 7 (G7),40852,57110,Senior Policy Adviser,5.83,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG174,Higher Executive Officer (HEO),26058,39513,Policy Adviser,4,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG174,Senior Executive Officer (SEO),32311,45985,Policy Adviser,8,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Localism,CLG174,Fast Stream (HEOD),27000,35000,Policy Adviser,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG133,Administrative Officer (AO),19335,25847,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG133,Executive Officer (EO),22279,31225,Policy Support Officer,0.89,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG133,Higher Executive Officer (HEO),26058,39513,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Neighbourhoods,CLG140,Executive Officer (EO),22279,31225,Policy Support Officer,1.8,Policy
