Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total £
Ministry of Defence,Ministry of Defence,15/02/2012,IT and communication services,Land Forces,RACKSPACE LIMITED,UB11 1ET,902093,Information technology services,"55,935.00"
Ministry of Defence,Ministry of Defence,28/02/2012,Purchase of plant and machinery,Defence Equipment & Support,AXYZ AUTOMATION (U.K.) LIMITED,WV7 3ET,906627,Plant and machinery Asset - in year capital addition,"55,872.00"
Ministry of Defence,Ministry of Defence,03/02/2012,Fees for professional services,Command Joint Operations,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,897338,Fees for professional services excluding legal fees,"55,613.56"
Ministry of Defence,Ministry of Defence,16/02/2012,International contributions,Central TLB,THE BRITISH COUNCIL,M1 6BB,902736,Defence military assistance fund international subscriptions and other payments,"55,519.93"
Ministry of Defence,Ministry of Defence,27/02/2012,Purchase of inventory and services ,Command Joint Operations,EBSCO INTERNATIONAL INC,EN5 1NZ,906141,Cost of other material consumed,"55,466.15"
Ministry of Defence,Ministry of Defence,27/02/2012,Spend on Inventory - General,Defence Equipment & Support,UNITED TOOL DISTRIBUTORS LTD,M32 0NB,906555,Spend on Inventory - General,"55,262.66"
Ministry of Defence,Ministry of Defence,06/02/2012,Fuel for military use,Defence Infrastructure Organisation ,CALOR GAS LIMITED,CV34 6RL,897855,Oil and lubricants consumed excluding those from the inventory system,"55,204.21"
Ministry of Defence,Ministry of Defence,24/02/2012,Administration,Central TLB,HOGG ROBINSON (TRAVEL) LIMITED,GU14 7NJ,905630,General administration,"55,196.06"
Ministry of Defence,Ministry of Defence,08/02/2012,Administration,Central TLB,HOGG ROBINSON (TRAVEL) LIMITED,GU14 7NJ,899007,General administration,"55,196.06"
Ministry of Defence,Defence Science and Technology Laboratory,17/02/2012,Sub Contracted Research,Programme Office,SYSTEMS ENGINEERING & ASSESSMENT LIMITED,,V - 9000140166 - 00128107,,"55,000.00"
Ministry of Defence,Ministry of Defence,27/02/2012,Rent and rates,Defence Infrastructure Organisation ,TRUSTEES OF THE MICHAEL J FIELD SIPPS P & B RACKIND TRUST ACCT,BS1 4AB,906546,Rent buildings - non civil estate property and married quarter property,"54,750.00"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,13/02/2012,Assets in the Course of Construction,Capital Expenditure,LST PROJECTS,,16943,Purchase of buildings and military equipment ,"54,720.00"
Ministry of Defence,Ministry of Defence,20/02/2012,"Transportation of personnel, freight and travel expenses",Land Forces,DE VERE VENUES LTD,WD6 3FG,903445,Military short term detached duty,"54,530.00"
Ministry of Defence,Defence Science and Technology Laboratory,03/02/2012,IS Support Service,Infrastructure,STERIA LIMITED,,V - 9000139856 - 00127585,,"54,498.41"
Ministry of Defence,Ministry of Defence,15/02/2012,Spend on Inventory - General,Defence Equipment & Support,GARDNER DENVER LIMITED,B98 0DS,901872,Spend on Inventory - General,"54,348.61"
Ministry of Defence,Ministry of Defence,23/02/2012,Payment of utilities,Defence Infrastructure Organisation ,NEW NIEDERRHEIN ENERGIE UND WASSER GMBH,,5000072937,Utilities consumed - electricity,"54,046.34"
Ministry of Defence,Ministry of Defence,03/02/2012,Research and development,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,897339,Research and development excluding defence science and technology laboratory,"53,924.52"
Ministry of Defence,Ministry of Defence,27/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,NUCLEAR ENGINEERING SERVICES LIMITED,WV4 6JX,906388,Equipment support project costs,"53,850.00"
Ministry of Defence,Ministry of Defence,29/02/2012,Fuel for military use,Navy Command,ARVAL UK LTD,SN5 6PE,907027,Oil and lubricants consumed excluding those from the inventory system,"53,823.36"
Ministry of Defence,Ministry of Defence,01/02/2012,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,896414,Fees for professional services excluding legal fees,"53,413.03"
Ministry of Defence,Ministry of Defence,02/02/2012,Spend on Inventory - General,Defence Equipment & Support,UNITED TOOL DISTRIBUTORS LTD,M32 0NB,897123,Spend on Inventory - General,"53,407.18"
Ministry of Defence,Ministry of Defence,24/02/2012,Spend on Inventory - General,Defence Equipment & Support,MEL AVIATION LTD,CO10 2YW,905691,Spend on Inventory - General,"53,317.53"
Ministry of Defence,Ministry of Defence,20/02/2012,Estate management,Defence Infrastructure Organisation ,W T PARKER LTD,DE14 3SX,903851,Works - estate management,"53,288.62"
Ministry of Defence,Ministry of Defence,01/02/2012,Purchase of inventory and services ,Defence Equipment & Support,CALUMET PHOTOGRAPHIC LTD,MK7 8AJ,896327,Cost of other material consumed,"53,260.80"
Ministry of Defence,Defence Science and Technology Laboratory,17/02/2012,Sub Contracted Research,Programme Office,ATLAS ELEKTRONIK UK LIMITED,,V - 0000001974 - 00128708,,"53,000.00"
Ministry of Defence,Ministry of Defence,08/02/2012,Purchase of inventory and services ,Defence Equipment & Support,BRIDGESTONE UK LTD,CV34 6UX,898852,Raw material and consumable or capital spare purchased,"52,890.00"
Ministry of Defence,Ministry of Defence,29/02/2012,Rent and rates,Defence Infrastructure Organisation ,BAMFORDS TRUST PLC,NW1 4LJ,907054,Rent land - non civil estate property + married quarter property,"52,875.00"
Ministry of Defence,Ministry of Defence,02/02/2012,Spend on Inventory - General,Defence Equipment & Support,FORCE PROTECTION EUROPE LIMITED,CV31 1FQ,896852,Spend on Inventory - General,"52,813.28"
Ministry of Defence,Ministry of Defence,01/01/2012,Rent and rates,Central TLB,BAJRAI GARDEN VILLAGE,,18584,Rent buildings - non civil estate property and married quarter property,"52,810.90"
Ministry of Defence,Ministry of Defence,09/02/2012,Estate management,Air Command,SAFESKYS LTD,HP11 1LT,899946,Estate + facilities management services - accommodation inventory + service,"52,794.50"
Ministry of Defence,Ministry of Defence,14/02/2012,Fees for professional services,Defence Infrastructure Organisation ,WYG MANAGEMENT SERVICES LIMITED,L2 6RE,901645,Fees for professional services excluding legal fees,"52,768.49"
Ministry of Defence,Ministry of Defence,06/02/2012,Purchase of inventory and services ,Central TLB,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,897893,Cost of other material consumed,"52,753.32"
Ministry of Defence,Ministry of Defence,24/02/2012,Spend on Inventory - General,Defence Equipment & Support,MAUDERER ALUTECHNIK GMBH,,3000006637,Spend on Inventory - General,"52,710.79"
Ministry of Defence,Defence Science and Technology Laboratory,03/02/2012,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000139881 - 00125584,,"52,710.00"
Ministry of Defence,Ministry of Defence,10/02/2012,Externally delivered education and training,Land Forces,TQ EDUCATION AND TRAINING  LIMITED,DE74 2SJ,900616,External military training ,"52,645.00"
Ministry of Defence,Ministry of Defence,24/02/2012,IT and communication services,Air Command,NORBECK LIMITED,BA14 0XD,905765,IT Services -internal costs,"52,479.34"
Ministry of Defence,Ministry of Defence,27/02/2012,Payment of utilities,Defence Infrastructure Organisation ,NEW AG,,5000073180,Utilities consumed - water + sewage,"52,461.67"
Ministry of Defence,Ministry of Defence,16/02/2012,Spend on Inventory - General,Defence Equipment & Support,ROYAL BRITISH LEGION INDUSTRIES LTD,ME20 7NL,166907,Spend on Inventory - General,"52,356.32"
Ministry of Defence,Ministry of Defence,17/02/2012,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,902851,Cost of other material consumed,"52,204.31"
Ministry of Defence,Ministry of Defence,13/02/2012,Transport hire charges,Command Joint Operations,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,900702,Transport other operating lease,"52,189.74"
Ministry of Defence,Ministry of Defence,06/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,897904,Equipment support project costs,"52,004.35"
Ministry of Defence,Ministry of Defence,01/02/2012,Fuel for military use,Navy Command,ARVAL UK LTD,SN5 6PE,896285,Oil and lubricants consumed excluding those from the inventory system,"51,895.37"
Ministry of Defence,Ministry of Defence,01/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,CONWAY PACKING SERVICES LTD,DY4 7UD,896345,Equipment support non-project costs,"51,825.65"
Ministry of Defence,Ministry of Defence,09/02/2012,Purchase of inventory and services ,Central TLB,THE ROYAL MINT,CF72 8YT,900020,Raw material and consumable or capital spare purchased,"51,742.90"
Ministry of Defence,Ministry of Defence,01/02/2012,Spend on Inventory - General,Defence Infrastructure Organisation ,FORBO FLOORING UK LIMITED,DE5 3NT,896387,Spend on Inventory - General,"51,730.76"
Ministry of Defence,Ministry of Defence,22/02/2012,Spend on Inventory - General,Air Command,KEMIRA OYJ.,,904516,Spend on Inventory - General,"51,637.56"
Ministry of Defence,Ministry of Defence,22/02/2012,Purchase of buildings and military equipment ,Defence Equipment & Support,RELAY ENGINEERING LIMITED,BA20 2EN,904640,Single use military equipment asset under construction - capital in year addition,"51,600.00"
Ministry of Defence,Ministry of Defence,08/02/2012,Fees for professional services,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,898904,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"51,582.83"
Ministry of Defence,Ministry of Defence,07/02/2012,Estate management,Air Command,SODEXO LTD,M50 0AL,898706,Works - estate management,"51,430.22"
Ministry of Defence,Ministry of Defence,23/02/2012,Fees for professional services,Navy Command,HARRIS INTERACTIVE UK LTD,TW8 9AG,905008,Fees for professional services excluding legal fees,"51,378.00"
Ministry of Defence,Ministry of Defence,22/02/2012,International contributions,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013461,Defence military assistance fund international subscriptions and other payments,"51,336.23"
Ministry of Defence,Ministry of Defence,03/02/2012,Spend on Inventory - General,Defence Equipment & Support,NP AEROSPACE LTD,CV6 5AQ,897566,Spend on Inventory - General,"51,246.08"
Ministry of Defence,Ministry of Defence,24/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,YIT A/S,,3000006640,Equipment support project costs,"51,079.14"
Ministry of Defence,Defence Science and Technology Laboratory,10/02/2012,Sub Contracted Research,Programme Office,ATLAS ELEKTRONIK UK LIMITED,,V - 9000140062 - 00126776,,"51,069.00"
Ministry of Defence,Ministry of Defence,29/02/2012,Spend on Inventory - General,Defence Equipment & Support,HELMET INTEGRATED SYSTEMS LTD,SG6 2TU,907251,Spend on Inventory - General,"50,829.72"
Ministry of Defence,Ministry of Defence,29/02/2012,Transport hire charges,Land Forces,LEASEDRIVE VELO RENTAL  MANAGEMENT LIMITED,RG40 3GA,907313,Transport other hire charge,"50,770.78"
Ministry of Defence,Ministry of Defence,08/02/2012,Fees for professional services,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,899288,Fees for professional services excluding legal fees,"50,759.06"
Ministry of Defence,Ministry of Defence,21/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,TERADYNE LIMITED,SK3 0XG,904208,Equipment support non-project costs,"50,719.49"
Ministry of Defence,Ministry of Defence,10/02/2012,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,DSV AIR & SEA LIMITED,M22 4NY,900242,Freight movement costs,"50,709.62"
Ministry of Defence,Ministry of Defence,29/02/2012,Rent and rates,Defence Infrastructure Organisation ,M J MAPP LTD,W1W 5QZ,907325,Rent buildings - non civil estate property and married quarter property,"50,665.00"
Ministry of Defence,Ministry of Defence,06/02/2012,Spend on Inventory - General,Defence Equipment & Support,UNITED TOOL DISTRIBUTORS LTD,M32 0NB,898254,Spend on Inventory - General,"50,504.95"
Ministry of Defence,Ministry of Defence,20/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,ATKINS LIMITED,WR5 1TX,903347,Equipment support non-project costs,"50,500.00"
Ministry of Defence,Ministry of Defence,06/02/2012,Spend on Inventory - General,Defence Equipment & Support,HATZ GREAT BRITAIN LTD,LE10 3BP,897984,Spend on Inventory - General,"50,367.66"
Ministry of Defence,Ministry of Defence,02/02/2012,IT and communication services,Land Forces,ESPRESSO EDUCATION LIMITED,W6 7NL,896839,Information technology services,"50,345.38"
Ministry of Defence,Ministry of Defence,09/02/2012,Fees for professional services,Land Forces,LEEDS METROPOLITAN UNIVERSITY,LS1 3HE,899766,Fees for professional services excluding legal fees,"50,324.40"
Ministry of Defence,Ministry of Defence,09/02/2012,Payment of utilities,Defence Equipment & Support,GB OILS LIMITED,FK5 4RB,899696,Utilities consumed - heating oil,"50,269.59"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,01/02/2012,IT Maintenance Services & Contracts,IT & Comms,MYCROFT TALISEN LTD,,145,IT Services -internal costs,"50,220.00"
Ministry of Defence,Ministry of Defence,13/02/2012,Spend on Inventory - General,Defence Equipment & Support,REABROOK LTD,DE12 6DA,166812,Spend on Inventory - General,"50,156.93"
Ministry of Defence,Ministry of Defence,28/02/2012,Fees for professional services,Central TLB,DE VERE VENUES LTD,WD6 3FG,906676,Fees for professional services excluding legal fees,"50,034.36"
Ministry of Defence,Ministry of Defence,17/02/2012,Food and clothing,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,902828,Cost of clothing and textile services received,"50,016.87"
Ministry of Defence,Defence Science and Technology Laboratory,03/02/2012,Sub Contracted Research,Programme Office,ATLAS ELEKTRONIK UK LIMITED,,V - 9000139884 - 00126782,,"50,000.00"
Ministry of Defence,Ministry of Defence,23/02/2012,Grants to NDPBs,Central TLB,THE ROYAL BRITISH LEGION,SE1 1AA,905325,Other grant in aid to the Royal British Legion for the relief of distressed Polish ex-servicemen,"50,000.00"
Ministry of Defence,Ministry of Defence,09/02/2012,Medical treatment & stores and welfare services,Land Forces,ALDERMAN POUNDER INFANT AND NURSERY SCHOOL,NG9 5FN,899443,Schools + community relations initiatives,"50,000.00"
Ministry of Defence,Ministry of Defence,08/02/2012,Fees for professional services,Central TLB,THE ROYAL BRITISH LEGION,SE1 1AA,899356,Fees for professional services excluding legal fees,"50,000.00"
Ministry of Defence,Ministry of Defence,09/02/2012,Medical treatment & stores and welfare services,Land Forces,HARMONY HILL PRIMARY SCHOOL,BT27 4ES,34555,Schools + community relations initiatives,"50,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,03/02/2012,Sub Contracted Work,Operations,COLLINGWOOD ENVIRONMENTAL PLANNING LIMITED,,V - 9000139893 - 00125129,,"49,987.50"
Ministry of Defence,Defence Science and Technology Laboratory,17/02/2012,IT Hardware,Operations,VIRTALIS LIMITED,,V - 9000140223 - 00128521,,"49,981.00"
Ministry of Defence,Ministry of Defence,08/02/2012,Fuel for military use,Air Command,MULTI SERVICE AERO B.V.,,899114,Aviation fuel casual uplift consumed,"49,896.17"
Ministry of Defence,Ministry of Defence,14/02/2012,Estate management,Air Command,ARAMARK LTD,LS16 6QY,901310,Estate + facilities management services - accommodation inventory + service,"49,794.03"
