16039,DOMINIC WILSON,SCS2,DIRECTOR (STRATEGY AND RESOURCES),"RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk,00179598 DIRECTOR GENERAL STRATEGY
107359,,SCS2,DIRECTOR ANALYTICAL SERVICES AND  ADVICE,"GENERAL ECONOMIC ADVICE, APPRAISAL AND EVALUATION, PRICE INDICES, PERSONNEL STATS, SURVEYS, HEALTH AND WELFARE OF DEFENCE STAFF AND VETERANS STATISTICS ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00106000 DIRECTOR GENERAL FINANCE
111789,"Preston, Mark",SCS2,Director Business Resilience (DBR),"Director Business Resilience (DBR) is the Process Owner for Security and Business Continuity and supports 2nd PUS as Process Owner for Health, Safety, Environmental Protection and Sustainable Development. DBR is responsible for setting policy and standards for MOD in these areas and monitoring their implementation and risk management.  Key areas of policy, audit and assurance activity include: Security (including Physical, Defence Policing, Personnel, Industrial, Scientific & Technical, Information and IT system accreditation); Business Continuity; Safety, (including Health Physics and Occupational Health); Sustainable Development and Environment. DBR also manages all aspects of common law compensation claims made against the Department.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00104017 DGHRCS
139073,F C Nash,SCS2,Director Central Legal Services,MOD Legal Advisor,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,CLS-Group-Mailbox-Office@MOD.UK,104016
104018,"Evans, Jonathan",SCS2,Director Civilian Personnel (DCP),"DCP is responsible for delivering the Corporate HR element of MOD?s Civilian HR structure.  DCP?s principal roles are: (1) Civilian HR Business Partner for MOD - providing Civilian HR input to strategic decisions, taking the lead on the people and cultural aspects of business change and planning MOD?s future manpower and skills requirement; (2) Centre of MOD HR professional expertise ? developing HR policies and best practice (whilst influencing/implementing the wider Government agenda) to meet MOD's business needs; (3) Deploying and Developing Corporate Capability - Management of the SCS/various development schemes, plus an intervention capability to meet urgent operational needs",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00104017 DGHRCS
189654,JOHN PITT-BROOKE,SCS2,DIRECTOR CIVILIAN WORKFORCE REVIEW,IMPLEMENTATION OF THE GRIMSTONE REVIEW,Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00106000 DIRECTOR GENERAL FINANCE
106008,VACANT,SCS2,DIRECTOR FINANCIAL MANAGEMENT,SEE BELOW,Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00106000 DIRECTOR GENERAL FINANCE
176079,Mrs Susanna Mason,SCS2,Director General Defence Commercial - Director Corporate Commercial,"To provide corporate level commercial advice both internally and when appropriate to contractors and trade associations. It is responsible for commercial input into  major departmental initiatives such as the SDR, DARP, Gray and Grimstone.  The job also has responsibility for aspects of  government level commercial constructs such as the PPEOs, the Yellow Book and export sales. It is responsible for commercial scrutiny as part of the IAB processes. As part of the senior commercial team the role also has a responsbility for training, educating and career mentoring for the commercial community.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00163901 - Director General Defence Commercial
200000057,,SCS1,Director General Defence Commercial Head of Intellectual Property Rights,"Provide advice on the application of Intellectual Prpoerty within high-complexity, high-technology defence contracts to ensure MoD can procure, maintain, and support its equipment world-wide efficiently and effectievly.  Filing of Patents to protect and exploit the results of MoD/MoD funded Research adn Development.  Filing and prosecution of Trademarks to protect MoD's image.  Presecution of any infrimgments against moD patents, Trademarks or Designs.  Defence of any allegations that moD has infringed the same.  ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00163901 - Director General Defence Commercial
106000,JONATHAN THOMPSON,SCS3,DIRECTOR GENERAL FINANCE,SEE BELOW AGAINST ALL ENTRIES PLUS RESPONSIBILITY FOR IN DEPARTMENTAL IN YEAR MANAGEMENT AND PERFORMANCE MANAGEMENT. GOVERNMENT WIDE HEAD OF PROFESSION FOR ACCOUNTANTS,Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00005654 PERMANANENT UNDER SECRETARY OF STATE
104017,"Scholefield, Susan",SCS3,Director General Human Resources & Corporate Services,"DGHRCS is the MOD's Civilian Workforce Process Owner (responsible for the development of MOD's corporate Civilian Workforce Strategy and policies to ensure MoD has sufficient, capable and motivated civilian personnel to deliver Defence outputs) and is owner of the People Pay and Pensions Agency.   DGHRCS is responsible for the MOD's Corporate Services Strategy, as part of the wider Whitehall agenda.  DGHRCS is also the MOD's principal adviser on Safety, Security and Information Strategy and policy and a member of the Defence Environment and Safety Board and is owner of the Ministry of Defence Policing and Guarding Agency.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00104016 2ndPUS
191185,AM T Anderson,OF8,Director General Military Aviation Authority,"The Director General of the Military Aviation Authority has full oversight of all Defence Aviation activity, and is the single regulatory authority responsible for regulating all aspects of Air Safety across Defence. He achieves this through establishing and maintaining an appropriate regulatory framework, given effect by a certification, approvals and inspection process extending across the acquisition, operation and continued airworthiness of air systems within the Defence aviation environment, and by independant surveillance of relevant Departmental planning and programming processes. The Director General provides assurance to the Secretary of State for Defence through the Second Permanent Under Secretary of State that high standards of Air Safety are maintained in the conduct of military aviation. He attends the Defence Environment and Safety Board, but, as an independant Regulator, is not formally accountable to it. The Director General is the Convening Authority for all Service Inquiries into military aircraft occurrences.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 721 8 2724/0199,maa-dgmaa@mod.uk,104016 2nd PUS
163901,Mr A Manley,SCS3,Director General of Defence Commercial,"DGDC is the Department's Commercial Process Owner and is responsible for the future direction and development of industrial strategy and the Department's commercial relationships with industry; providing the commercial policy and process framework, functional standards and tools for achieving commercial value for money across defence and providing professional leadership of commercial staff across MOD. DGDC leads for Defence in Government-wide development of commercial policy. ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,2PUS
184936,M Greatwich ,SCS 1 (Acting SCS 2),Director General of Defence Commercial - Director of Commercial Services,"Provides a range of professional services to the Department and Commercial function.  Includes: Development and maintenace of Commercial function strategy and policy; function governance; function communications; Strategic Workforce planning; Training policy and  Graduate Recruitment scheme; Intellectual Property and copyright expertise and policy.  Also interfaces with industry on range of commercial policy issues.  Leading, on behalf of Government, the transposition of the EU Defence and Security Directive into national law. ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00163901 - Director General Defence Commercial
154898,,SCS1,Director General of Defence Commercial - Head of Commercial Assurance and Governance,Head of the Private Finance Unit and Commerical Scrutiny teams.  Provide expert advice to and on PFI and PPP  projects   Provide commercial scrutiny and advice on cases coming  before the Department's Investment Approvals Board. ,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00163901 - Director General Defence Commercial
153528,,SCS1,Director General of Defence Commercial - Head of Secretariat Industrial Policy,"Provide secretariat and policy support for Industrial Poicy issues. Dept lead on Defence Industrial Strategy (DIS) and associated policy, working closely with key stakeholders across MOD, Industry and Whitehall.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00163901 - Director General Defence Commercial
140333,Jon Day,SCS3,Director General Security Policy & Operations,MOD's principal adviser on defence contribution to HMG security policy and shaping international relations,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Vice Chief of Defence Staff
179598,TOM MCKANE,SCS3,DIRECTOR GENERAL STRATEGY,"RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00005654 PERMANANENT UNDER SECRETARY OF STATE
167105,,SCS2,Director International Acquisition Policy," International acquisition issues within MOD and wider Government & US, FR, the EU (EDA) and NATO; US/UK Defence Trade Treaty; UK-France Higher Level Working Group ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Director General Security Policy & Operations: Deputy Chief of Defence Staff Operations: 
141691,,SCS2,Director International Security Policy,"Security co-operation activiity  - NATO/EU/UN, Europe and North Africa, North America, Russia, China, Koreas and Japan; Arms Control and Counter Proliferation, Conflict Pool Director       ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Director General Security Policy & Operations: Deputy Chief of Defence Staff Operations: 
188553,Peter Ryan,SCS2,Director Judicial Engagement Policy,"Policy on judicial and external scrutiny of MOD business, including Iraq and other public enquiries, inquests and significant claims against the department.     ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Director General Security Policy & Operations: Deputy Chief of Defence Staff Operations: 
125818,,SCS1,Director Legal Services Germany,MOD Legal Advisor,Ministry of Defence,Ministry of Defence,Land Forces,,,126084
137261,Mr N B Gurr,SCS2,Director of Media and Communications,Provision of communications support to Ministers & DMB Members. Production of Communication Plans. Management of New Media. Management and Production of Policy for Media Operations. Delivery of Defence and Services PR. Delivery of Defence Internal Communication. Delivery of Communication Policy across Defence. Delivery of Media Training across defence. ,Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 218 7394,DMC-BMBusinessManager@mod.uk,00005654 - 2nd Permanent Under Secretary
142008,,SCS2,Director Operational Policy,"CT & SF Policy; NI and GB issues; policy context for planning and conduct of operations; Iraq/Afghanistan/Iran/South America(inc Brazil, Argentina, Falklands, Chile); Stabilisation Unit Director",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Deputy Chief of Defence Staff Operations: Director General Security Policy & Operations
191191,R Adm S Charlier,OF7,Director Operations Group Military Aviation Authority,"Director Operations Group is responsible for the regulation and assurance of Defence Aviation flight operations and air traffic management.  He publishes and keeps current the associated Military Aviation Regulatory Document Set.  He contributes to the MAA assurance programme, assessing regulatory compliance through audit and inspection.  He ensures such work is informed by surveillance activities including, inter alia, monitoring and analysis of Defence Air Safety reporting and consideration of 1st and 2nd party assurance activity.  Assurance activity informs provision of advice and guidance to the regulated community and the issue of formal MAA approvals to undertake authorised aviation activity.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,˜020 712 8 2724,MAA-EnquiriesMailbox@mod.uk,191185 Director General Military Aviation Authority
1507723,,OF6,DIRECTOR PLANS,"Lead Defence Academy headquarters. Support the Director General and 4 training and education colleges through coordinated strategy, plans, operations, communication and resource. Coordinate external Academy relations with overseas, OGD and wider academia. As needed, deputise for Director General.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1063013 - DEFAC-HQ-DIRECTOR GENERAL
105238,CAROLE TOLLEY,SCS2,DIRECTOR SCRUTINY,SEE BELOW,Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00106000 DIRECTOR GENERAL FINANCE
106181,Gavin Barlow,SCS2,Director Service Personnel Policy,"As one of the two Service Personnel Operating Officers (SPOOs) Director Service Personnel Policy directs the work of the Service Personnel Staff on behalf of DCDS(Pers), and are  responsible for directing the execution of the work of the Service Personnel Staff.  This includes:Chairmanship of the Service Personnel Operating Board; day-to-day prioritisation in response to events; Line management of the Heads of the policy divisions;Facilitation of the policy formulation process, through frequent dialogue with the policy divisions and their counterparts in the Services? personnel staffs; Assurance of the quality and timeliness of work carried out by the Service Personnel Staff.

",Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 218 3024 ,DCDS PERS-DCDS-SHARED MAILBOX,1056166 - Deputy Chief Defence Staff (Personnel & Training)
179774,Bruce Houlder QC,SCS2,Director Service Prosecution Authority,"The Service Prosecuting Authority provides for the independent, efficient and consistent consideration of criminal cases and offences contrary to military discipline.  It will initiate prosecutions where justified and conduct fair and thorough proceedings in the service courts of first instance and the service appellate courts, whilst liaising effectively with the police and dealing with prosecution witnesses and victims of crime with care and sensitivity. Whilst maintaining independence from the service chain of command, the Service Prosecuting Authority fulfils its functions in support of operational effectiveness of the Armed Forces throughout the world.",Ministry of Defence,Ministry of Defence,Service Prosecution Authority,,,1056166 - Deputy Chief Defence Staff (Personnel & Training)
185281,AVM C Ness,OF7,Director Technical Group Military Aviation Authority,"The Director Technical Group is the MOD focal point for aviation technical regulation, certification and approvals and the associated assurance systems.  This includes maintaining the technical regulatory framework, supporting  platform  certification processes and managing the airworthiness approvals of Design and Maintenance Organisations.  ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,˜020 712 8 2724,MAA-EnquiriesMailbox@mod.uk,191185 Director General Military Aviation Authority
1056195,Al Rymer,OF7,Director Training Education ,"Responsible for improving the effectiveness, efficiency and safety of Defence individual training and education and directs the Defence Training Rationalisation programme.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 807 8213                                 ,DCDS PERS-DTEGPMAILBOX (MULTIUSER),1056166 - Deputy Chief Defence Staff (Personnel & Training)
1055688,,OF6,DOC-Head,Produce Defence Operational Lessons and conduct Audit of Defence capability ,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,MinAF/VCDS
110655,,SCS1,Expert Medical Advice ,,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,106181 - Director Service Personnel Policy
142662,,SCS1,Head Arms Control & Proliferation,"Provide advice on all aspects of counter-proliferation, disarmament and arms control, both policy and implementation",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Director International Security Policy
1121412,,OF6,"Head Chemical,Biological,Radiological & Nuclear Policy",Policy lead for countering all aspects of the threat posed by CBRN weapons of mass destruction (WMD) ,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Assistant Chief of Defence Staff International Security Policy
1591691,,OF6,Head DJEP Military Liaison Co-ordination ,"Policy on judicial and external scrutiny of MOD business, Military Liaison ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Director Judicial Engagement Policy
135042,,SCS1,Head International Acquisition Policy," International acquisition issues within MOD and wider Government & US, FR, the EU (EDA) and NATO; US/UK Defence Trade Treaty; UK-France Higher Level Working Group ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Director International Acquisition Policy
00142856/1561030,,SCS1/Air Cdre,Head International Policy & Planning(Civilian)/Head International Policy & Planning(Military),"Delivery of global military strategic planning; development of  security co-operation, conflict prevention and security sector reform in the Levant, Sub-Saharan Africa, South and South East Asia; recruit, direct and support worldwide Defence Attach? and Loan Service network ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Assistant Chief of Defence Staff International Security Policy
1055731,,OF6,Head Joint Capability,"Shape, evaluate, arbitrate and advise on the delivery of current and future integrated capability in order to enable the UK to plan, prepare for and execute joint and combined operations.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Assistant Chief of Defence Staff Operations
170603,,SCS1,Head Judicial Reviews & Defence Inquests Unit,"Policy on judicial and external scrutiny of MOD business, Judicial Reviews and inquests   ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Director Judicial Engagement Policy
148649,,SCS1,Head NATO & Europe Policy ,Policy advice directed at promoting the UK?s security interests through NATO and the EU and with European partners.,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Director International Security Policy
1105937,,OF6,Head of Above Water Capability,Responsible for the delivery of Defence-wide capability solutions to the JCB related to the ability to provide control and denail of the above water battlespace to allow joint commanders to utilise the seaward flank in military operations.,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1105905 - Director (Precision Attack)
1047472,,OF6,Head of Air & Littoral Manoeuvre Capability,"Responsible for the delivery of Defence-wide capability solutions to the JCB related to the ability to deliver the landing froce from the sea; and attack, lift and find elements by air, to contribute to campaign success as part of a joint and/or coalition force.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1431838 - Director (Battlespace Maneouvre)
1055232,,OF6,HEAD OF AIR RESOURCES AND PLANS,"RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,1055224 ASSISTANT CHIEF OF DEFENCE STAFF (STRATEGY AND PLANS)
1267296,,OF6,HEAD OF ARMY RESOURCES AND PLANS,"RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,1055224 ASSISTANT CHIEF OF DEFENCE STAFF (STRATEGY AND PLANS)
1062827,Michael Harwood,OF7,Head of British Defence Staff-United States and Defence Attach?.,"The DA is Her Majesty?s Ambassador?s senior adviser on defence issues, and as Head of the BDS-US has responsibility for all military and civilian MoD personnel located both within the Embassy and in 34 states across the USA. Responsibilities include sustaining collective oversight of the bilateral Defence relationship with the USA and all related MOD activity. Pursuing objectives and priorities endorsed by DG Sec Pol.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Director General Security Policy
111813,,SCS1,HEAD OF BUSINESS STRATEGY AND GOVERNANCE,SETTING DIRECTION FOR TRADING FUNDS; MANAGEMENT OF LOANS AND DIVIDENDS; ADVICE TO MINISTERS AS TF OWNERS; ASSET MANAGEMENT STRAND OF OEP,Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00106008 DIRECTOR FINANCIAL MANAGEMENT
1432988,,OF6,Head of Capability Improvement,Responsible for providing change management and business support to the JCB and champion Through Life Capability Management(TLCM)/Acquisition Reform and innovation to deliver better solutions for defence.,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1565824 - Director (Information Superiority)
114597,,SCS1,HEAD OF CENTRE RESOURCES AND PLANS,"RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,0016039 DIRECTOR (STRATEGY AND RESOURCES)
1047441,,OF6,Head of Command Control & Information Infrastructure Capability,"Responsible for the delivery of Defence-wide capability solutions to the JCB related to the ability to command, inform and amange the battle and bsuiness space collaboratively from the strategic functions of the Department of State to individual military platforms over a defence-wide network.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1565824 - Director (Information Superiority)
139084,,SCS1,Head of Commercial Law Division,MOD Legal Advisor,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,139073
184002,,SCS1,Head of Corporate Services,"financial planning and control, IM and personnel services",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1596460 - DSC - Maj S Gen Andrews
110710,,SCS1,Head of Corporate Services ,"The Corporate Services area is responsible for delivering the corporate enabling functions which are vital
to ensuring that SPVA business outputs are met. These include the operation of performance management tools such as the BSC and Risk Registers; performance reporting to the Agency Owner on Key Targets; financial management; commercial (contracts) management; handling Parliamentary and public correspondence; personnel support to MoD staff; business planning and reporting; Corporate
Governance including support to the SPVA Audit Committee; communications and employee surveys.
",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1448387 - Chief Executive Service Personnel & Veterans Agency
1564419,,OF6,Head of Deep Theatre Attack Capability,Responsible for the delivery of Defence-wide capability solutions to the JCB related to the ability to deliver fires against land based targets from all environments.,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1105905 - Director (Precision Attack)
160074,,SCS1,Head of Defence Acquistion Reform Programme,A programme and policy team that co-ordinates and oversees acquistion reform activities across the Department.,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Mark Preston - Director Business Resilience
111565,,SCS1,HEAD OF DEFENCE BUSINESS IMPROVEMENT,"RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,0016039 DIRECTOR (STRATEGY AND RESOURCES)
107429,,SCS1,HEAD OF DEFENCE ECONOMIC AND STATISTICAL ADVICE MOD HEAD OF PROFESSION FOR ECONOMICS,"ECONOMIC ADVICE, APPRAISAL AND EVALUATION",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00107359 DIRECTOR ANALYTICAL SERVICES AND ADVICE
105517,,SCS1,Head of Defence Intelligence Capability Assessments,"DI Capability Assessments (CA) has a diverse team of civilian and military analysts who are qualified engineers, scientists, operators and intelligence analysts with experience in research, development and military matters. The division is structured into six branches that deliver Capability Assessments as follows: 3 environmental (Maritime/Land/Air and Space); 2 thematic (Guided Missiles/Science and Technology), and one functional branch to deliver Special Projects.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,105515
183178,,SCS1,Head of Defence Intelligence Counter Proliferation,"The Defence Intelligence Counter-Proliferation (DI CP) Division is a national centre of excellence that works across Whitehall supporting JIC requirements and priorities through the provision of advice on technology, programmes and enforcement.˜ DI CP is the UK?s all-source analytical capability for global Weapons of Mass Destruction (WMD) developments, including associated technologies, financing and means of delivery, together with associated regional proliferation hubs and networks.˜ DI CP conducts analysis, in accordance with priorities agreed by the Counter-Proliferation Committee (CPC), to support national export-control mechanisms; and provides insights into activity aimed at the circumvention of national counter-proliferation policy, arms control treaties and international export control regimes.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,105515
182746,,SCS1,Head of Defence Intelligence Development and Support,"The Head of Defence Intelligence Development and Support provides corporate planning and control for Defence Intelligence.˜ This role includes leading the Executive Board in setting business strategy, and providing robust performance management, reporting and governance.˜ In addition, DI D&S is responsible for finance, civilian personnel issues (including being the Operational Role Owner for civilian intelligence specialist deployed on operations), health and safety, security, business continuity and the DI Business Change programme.˜ DI D&S also directs the work of the Secretariat, dealing with parliamentary business and corporate communications issues.˜ DI D&S also delivers Organisational Development (OD) and is Head of the Analytical profession.˜",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,105515
1058725,,OF6,Head of Defence Intelligence Intelligence Capability Strategy and Policy,"The Head of Defence Intelligence Capability, Strategy and Policy (ICSP) is responsible for directing policy, strategy, capability development and guidance on integrated intelligence collection, strategy and plans for HUMINT, MASINT, OSINF, SIGINT and Geospatial Intelligence (GEOINT).˜",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1058719
1058715,,OF6,Head of Defence Intelligence Operations,"Head of Defence Intelligence Operations is responsible for the coordination of intelligence support to MoD decision-making for current and planned operations, and is DI's primary link to MoD, OGDs and PJHQ for operational issues.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,105515
105516,,SCS1,Head of Defence Intelligence Strategic Assessments,"Head of Defence Intelligence Strategic Assessments is responsible for the provision of intelligence assessments on military and political issues, strategic warning and other developments in regions of interest world-wide.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,105515
106044,,SCS1,HEAD OF DEFENCE RESOURCES,"RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,0016039 DIRECTOR (STRATEGY AND RESOURCES)
174902,,SCS1,Head of Deterrent and Underwater Capability,"Responsible for the delivery of a UK operationally independent, continuous and invulnerable strategic nuclear deterrent; providing support to the Senior Responsible Officer for the deterrent and ensure's that the many projects in the deterrent area are managed as a coherent programme.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00135736 - Director Equipment Resources
1605824,,OF6,"HEAD OF DOCTRINE, AIR AND SPACE","RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,"1057629 ASSISTANT CHIEF OF DEFENCE STAFF (DEVELOPMENT, CONCEPTS AND DOCTRINE)"
135903,,SCS1,HEAD OF EQUIPMENT CAPABILITY SECRETARIAT,"SECRETARIAT, REQUIREMENT AND AFFORDABILITY SCRUTINY; IAB APPROVALS PROCESS",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00105238 DIRECTOR SCRUTINY
1047497,,OF6,Head of Equipment Plan,"Responsible for the conduct of the equipment planning cycle and for producing asn Equipment and Support Plan (ESP) that is balanced, affordable and coherent with the rest of the Defence Programme; as well as the policy and management of the Urgent Operational Requirem,ents process in concert with Sec (Equipment Capability). ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00135736 - Director Equipment Resources
1047516,,OF6,Head of Expeditionary Logistic & Support Capability,Responsible for the delivery of Defence-wide capability solutions to the JCB related to the ability to deploy and redeploy a force to a theatre of operations and to support and sustain it for the duration of operations.,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1431838 - Director (Battlespace Maneouvre)
105349,,SCS1,Head of Export Policy Assurance & Assurance ,"Responsible for the provision of co-ordinated MOD advice on export licencing control applications, protection of capability through monitoring and assessment of the release of military information, technology and equipment to overseas entities, export support and international export control initiatives.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00135736 - Director Equipment Resources
136404,,SCS1,HEAD OF FINANCIAL MANAGEMENT INFORMATION SYSTEMS,DEVELOPMENT & OPERATION OF THE DEFENCE FINANCIAL MANAGEMENT SYSTEM (DFMS),Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00106008 DIRECTOR FINANCIAL MANAGEMENT
106013,,SCS1,HEAD OF FINANCIAL MANAGEMENT POLICY & DEVELOPMENT,"POLICY RELATING TO FINANCE SKILLS AND FINANCE ISSUES INCLUDING: REGULARITY AND PROPRIETY, INCOME GENERATION, EXTERNAL ASSISTANCE, ACCOUNTING, TAX AND DUTY.  MANAGEMENT OF A PROGRAMME OF IMPROVEMENTS TO DEFENCE FINANCIAL MANAGEMENT SYSTEMS.  MANAGEMENT OF THE CORPORATE SERVICES SYSTEM CONVERGENCE PROGRAMME. ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00106008 DIRECTOR FINANCIAL MANAGEMENT
25463,,SCS1,HEAD OF FINANCIAL MANAGEMENT SHARED SERVICES,"PRODUCTION OF THE MOD FINANCIAL ACCOUNTS AND THE WHOLE OF GOVERNMENT ACCOUNTS.TREASURY MANAGEMENT FOR THE MOD. BILL PAYMENT, DEBT MANAGEMENT AND NON CURRENT ASSET TRANSACTION PROCESSING.  ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk ,00106008 DIRECTOR FINANCIAL MANAGEMENT
