Post Unique Ref,JPA Post Number ,Forename,Surname ,Grade / Rank,Job Title,Job Team Function,Parent Department,Organisation,Unit,Contact phone,Contact e-mail,Reports to Post Unique Ref,Reports to Job Title,Notes,Staff Costs
180570,,,,SCS PB1,Head of Business (Helicopters),"Responsible for the provision of business management services to the Helicopters Operating Centre.  
",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9134506,DESHels-DirMA@mod.uk,3179,Director Helicopterss,,"?2,439,809"
51324,1441822,,,Air Commodore,Head of Helicopters 1,"The Helicopters delivery team 1 area is responsible for acquisition, upgrading and support of the Merlin, Lynx and Sea King Helicopters.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9134506,DESHels-DirMA@mod.uk,3179,Director Helicopterss,,"?11,344,354"
49490,1586019,,,Air Commodore,Head of Helicopters 3,"The Helicopters delivery team 3 is responsible for the continuing support and upgrading of the Apache helicopter, as well as for all helicopter engines.  
",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9134506,DESHels-DirMA@mod.uk,3179,Director Helicopterss,,"?7,124,162"
1,,Ken,Ferguson,Major General,Director Human Resources,"The HR team provides HR Strategy and Manpower information to support DE&S; Leadership and skills team including management of the Aspire development scheme; HR Plans, include Employee Relations with Trades Unions; HR Operations, including recruitment and management of the Redeployment Pool; HR Business Partners embedded within the Operating Centres.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9132240,DESHR-DirSO@mod.uk,9005,Chief Corporate Services,,"?3,773,017"
170815,,,,SCS PB1,Head of Human Resources Plans,"The HR Plans division is responsible for the proactive management of long-term and emerging HR issues, including work to identify and mitigate long term people risks.  They are responsible for the implementation of Workforce and Skills planning, Leadership and Talent Management, and Interchange.    ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9132240,DESHR-DirSO@mod.uk,1,Director Human Resources,,"?1,877,979"
169927,1498820,,,Air Commodore,Head of Human Resources Ops,"Lead on employment matters and governance for HR Risk and Opportunities in outsourcing solutions.  Delivers a Clearing House for all TU consultation activity and support to 4* Whitley Committees.  Provides transformational SME expertise for complex change programmes. 
- Provides specialist advice on military administrative and personnel issues for DE&S? 5200 tri-Service personnel, including transactional support to 1500 military personnel in Bristol.
- Provides HR assurance for all DE&S acquisition projects and functional leadership for embedded HR Business Partners.  
- Deliver the HR elements of Strategic Resource Rebalancing including authorisation of recruitment controls, management of the Re-deployment Pool (including all non core HR personnel) and Exit schemes.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9132240,DESHR-DirSO@mod.uk,1,Director Human Resources,,"?2,746,427"
1135585,1441734,Tim,Inshaw,Major General,Director Information Systems & Services & Defence Equipment & Support Chief Information Officer,"ISS is responsible for the delivery and support of information systems and services to operations and to all parts of the UK defence community, including other areas of government. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,01225 815649,DESISS-DirEA@mod.uk,3320,Chief Operating Officer,,"?109,757"
34860,,,,SCS PB1,Head ISS Commercial  ,"ISS Hd Commercial is responsible for procurement and commercial assurance and for the award and management of contracts within ISS. The Commercial division also leads on strategic Industry facing issues including key supplier management. Hd Commercial delivers ICS catalogue services for defence and wider government, and internal consultancy both to ISS and wider MOD. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,01225 815649,DESISS-DirEA@mod.uk,1135585,Director Information Systems & Services,,"?1,590,421"
5163,1583971,,,Air Commodore,Head ISS Programmes,"The ISS Programmes Group is responsible for managing a coherent programme across ISS which develops and delivers a dynamic set of integrated information and communication services, optimises the use of resources and delivers maximum benefit for the end user and the MoD.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,01225 815649,DESISS-DirEA@mod.uk,1135585,Director Information Systems & Services,,"?3,996,931"
33013,1561173,,,Air Commodore,Head Network Technical Authority,"The MOD Network Technical Authority (NTA) is responsible for ensuring the technical coherence of Networks and for informing its future architecture and design.  The NTA is responsible for formalising the technical approach for any component or system that will be connected to the Defence Network; this is to minimise impact to the network and ensure changes conform to the long-term strategy and architecture for the Defence Network. NTA will define a coherent technical strategy and architecture for the Defence Network, in support of the network capability architecture and in line with the System of Systems Approach, assuring the design of the network by guiding the Delivery Teams and approving high level designs that impact the Defence Network. The NTA will improve the Defence Network by providing appropriate expertise to address network-wide issues.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,01225 815649,DESISS-DirEA@mod.uk,1135585,Director Information Systems & Services,,"?2,751,168"
2497,,,,SCS PB1,Head of ISS Networks,The ISS Networks team is responsible for all Information and Communications networks in the MOD.  ,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,01225 815649,DESISS-DirEA@mod.uk,1135585,Director Information Systems & Services,,"?15,668,461"
33010,,,,Air Commodore,Head ISS Service Operations,"The Service Operations Directorate is accountable for assuring the delivery of all ISS outputs, providing secure Information and Communication Services to the operational commander in the field. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,01225 815649,DESISS-DirEA@mod.uk,1135585,Director Information Systems & Services,,"?10,791,041"
"New post, no HRMS reference",,,,SCS PB1,Head Finance Information Systems & Services,"Professional head of Finance within the ISS Operating Centre, responsible for financial planning, in year management, financial accounting and financial assurance and approvals",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,01225 815649,DESISS-DirEA@mod.uk,1135585,Director Information Systems & Services,"New post, finance staff captured in separate teams",?0
33011,1261189,,,Brigadier,Head Defence Information Infrastructure,"The Defence Information Infrastructure (DII) Delivery Group is responsible for the provision of secure computing infrastructure, operating across the Restricted, Secret and Top Secret security domains, at fixed sites in UK and overseas, on board ships and submarines, and at deployed HQ in operational theatres. The Group is currently part way through replacing the multitude of existing IS systems with a common capability via the DII/F contract with ATLAS (a HP led consortium); currently covering over 800 sites and supporting, 111,000 access devices and  258,000 users in the Restricted domain alone. Team also support operations in Afghanistan by providing additional interim Command and Control capabilities.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,01225 815649,DESISS-DirEA@mod.uk,1135585,Director Information Systems & Services,,"?22,872,858"
4210,1583978,,,Commodore,Head Bowman And Tactical Communication Information Systems,"The BATCIS Delivery Team is responsible for delivery and through life support of:  the Bowman secure voice and data tactical network to all three Front Line Commands, approximately 45,000 radios and the associated complex installation of this equipment into over 13,000 platforms, a number of bespoke Tactical CIS equipments such as the Manpack Tactical Satellite radio, UK/US Interoperability Radios, 60,000 standard Personal Role Radios (PRR) and 11,000 secure versions of the PRR.   The team also delivers the new Hearing protection system for all personnel deploying on Op HERRICK.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,01225 815649,DESISS-DirEA@mod.uk,1135585,Director Information Systems & Services,,"?5,934,707"
188627,,,,SCS PB1,Head Office of Chief Information Officer,"The CIO team are responsible for the Information Governance and Information Management processes within DE&S. Delivering the DE&S Information Strategy, Information Campaign, Information Risk policy and ensuring that DE&S achieves Information Assurance Maturity Model Level 3 by 2012. The team is also responsible for the IS delivery to the collocation project, delivery of release 2b (Alamein) to DE&S users, Information Capability Assurance to ICT projects, reduction of DE&S IS legacy and the intelligent customer role for the delivery of CIS to DE&S.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,01225 815649,DESISS-DirEA@mod.uk,1135585,Director Information Systems & Services,,"?1,286,588"
34282,,,,SCS PB1,Head Applications Services Team,"The Applications Services team is responsible for delivering efficient and effective Application Services across Defence, including:
Command and control support for planning and the command and control of operations. 
Joint Command and Control Support Programme (JC2SP) 
Air Movements Operations (AMO) 
Defence Medical Information Capability Programme (DMICP) 
Defence eCommerce Service (DECS) 
Defence e-Learning Delivery and Management Capability (DELDMC) 
Defence Individual Training Management (DITM) 
Electronic Booking Interface System (EBIS) 
Incident Recording and Information System (IRIS) ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,01225 815649,DESISS-DirEA@mod.uk,1135585,Director Information Systems & Services,,"?5,725,407"
152721,,,,SCS PB1,Head ISS Change,"Responsible for the management of change initiatives within ISS, including collocation of office staff at Coresham.  ",01225 815649,DESISS-DirEA@mod.uk,1135585,1226 815649,DESISS-DirEA@mod.uk,1135585,Director Information Systems & Services,,"?3,545,043"
31698,,,,SCS PB1,Head ISS Internal Service Provider,The Internal Services Provider team provides in-house specialist ISS services to DE&S and the wider MOD.   ,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,01225 815649,DESISS-DirEA@mod.uk,1135585,Director Information Systems & Services,,"?24,679,692"
3594,,Vic ,Jenkins,SCS PB2,Director Intelligence Surveillance Target Acquisition Reconnaissance,"The ISTAR Operating Centre exists to deliver and support capabilities that provide information superiority and protection, critical to successful operations of the Royal Navy, Army and Royal Air Force.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9136018,DESISTAR-DirectorsOffice@mod.uk,3320,Chief Operating Officer,,"?5,577,328"
110862,,,,SCS PB1,Head of Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 2,"The ISTAR programme delivery group 2 is responsible for Special Projects, Force Protection and CBRN (Chemical, Biological, Radiological and Nuclear) protection capabilities.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9136018,DESISTAR-DirectorsOffice@mod.uk,3594,Director Intelligence Surveillance Target Acquisition Reconnaissance,,"?8,326,993"
172680,,,,SCS PB1,Head of Commercial-Intelligence Surveillance Target Acquisition Reconnaissance ,"Head of Commercial ISTAR is responsible for providing commercial advice and assurance to D ISTAR and commercial functional line management to all commercial staff within the Operating Centre.
",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9136018,DESISTAR-DirectorsOffice@mod.uk,3594,Director Intelligence Surveillance Target Acquisition Reconnaissance,,"?276,867"
2332,,,,SCS PB1,Head of Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 1,"The ISTAR programme delivery group 1 is responsible for Electronic and Imagery-based intelligence systems and technologies, providing services to the MOD and to other government departments.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9136018,DESISTAR-DirectorsOffice@mod.uk,3594,Director Intelligence Surveillance Target Acquisition Reconnaissance,,"?4,375,437"
184599,,,,SCS PB1,Head of Intelligence Surveillance Target Acquisition Reconnaissance Programme Delivery Group 3,"The ISTAR programme delivery group 3 is responsible for Air Command and Control systems, including Air Defence systems.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9136018,DESISTAR-DirectorsOffice@mod.uk,3594,Director Intelligence Surveillance Target Acquisition Reconnaissance,,"?10,388,796"
18623,1579623,Matt,Wiles,Air Vice Marshal,Director Joint Support Chain,"The Joint Support Chain sustains the UK's fighting power through the delivery of materiel and the movement of personnel world-wide. Led from its headquarters in Abbey Wood, it also provides a wide range of logistic services to both the Front Line Commands, Permanent Joint Headquarters and their DE&S partners. The JSC provides: storage and distribution of materiel; management of allocated commodities, services and items; authorised policy and approved technical support services and to facilitate strategic deployment; sustainment and recovery of forces. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130027,DESJSC-DirMA@mod.uk,170310,Chief of Materiel (Land),,"?2,364,304"
46000,,,,SCS PB2,Chief Executive Defence Storage and Distribution Agency,"The Defence Storage and Distribution Agency existed to provide storage and distribution services for both explosive (munitions) and non-explosive stores for the MOD.  DSDA's Agency status formally ended on 31 July 2010, when the business units forming DSDA became Joint Support Chain (JSC) Services.  Located at numerous sites across the UK (HQ in Bicester) and Germany, DSDA and now JSC Services provides strategic warehousing, distribution, processing, maintenance and storage for explosive and non-explosive materiel within the supply chain for FLCs,  DE&S and wider Defence.  As such, support to current and future operations is DSDA?s highest priority. The Business Unit is currently under a major review (The Future Defence Storage and Distribution Programme - FDSDP), following the HM Treasury led Operational Efficiency Programme.  This work is being led by the JSC Provider Management team.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130027,DESJSC-DirMA@mod.uk,18623,Director Joint Support Chain,,"?66,588,283"
179865,1584384,,,Brigadier,Head Logistics Network Enabled Capability Programme,"The Logistics Network Enabled Capability (Log NEC) programme exists to transform the current complex web of logistic processes and systems into a streamlined, optimised, agile and effective 'end to end' logistics support chain, fully integrated with the front line industry. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130027,DESJSC-DirMA@mod.uk,18623,Director Joint Support Chain,,"?27,666,450"
18631,1592721,,,Air Commodore,Head of Logistic Commodities,"The Logistics Commodities Cluster teams comprise Defence Food Services, Defence Clothing, and Medical & General Supplies.  In addition, Hd Logistics (Commodities) is responsible for delivering the Commodities Cluster collocation programme, which will bring the currently dispersed teams to Abbey Wood in Novemnber 2011 as part of Joint Support Chain collocation. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130027,DESJSC-DirMA@mod.uk,18623,Director Joint Support Chain,,"?10,589,915"
21000,1168643,,,Brigadier,Head of British Forces Post Office,"Based at RAF Northolt, the British Forces Post Office supports and delivers official and private mail for MOD and service personnel, working in partnership with Royal Mail Group and UK military personnel overseas.  Key outputs are the Defence Postal Services (private mail), Defence Courier Services (worldwide distribution of protectively marked material), Defence Mail Service (official mail), and related support to other government departments, including the Foreign and Commonwealth Office.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130027,DESJSC-DirMA@mod.uk,18623,Director Joint Support Chain,,"?10,386,158"
10430,,,,SCS PB1,Head of Commercial Joint Support Chain,"Head of Commercial JSC is responsible for providing commercial advice and assurance to D JSC and commercial functional line management to all commercial staff within the Operating Centre.
",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130027,DESJSC-DirMA@mod.uk,18623,Director Joint Support Chain,Comrcl staff captured in project teams,?0
165354,,,,SCS PB1,Defence Storage and Distribution Agency - Chief Operations Officer,"Responsible for the day to day running of the Defence Storage and Distribution Agency, and for its successor JSC Services during the period of transition to a new organisational structure.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130027,DESJSC-DirMA@mod.uk,18623,Director Joint Support Chain,Staff captured against CE DSDA,?0
191594,,,,SCS PB1,Head Provider Management,"Responsible for the management of the transition of formerly DSDA teams from an Agency structure to the new JSC Services organisation, and for the transformation of the underlying business assets and processes for maximum efficiency, and also for the procurement of supply chain related services including UK, EU and Global Freight, Rail Freight, Global Removals and Defence Travel.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130027,DESJSC-DirMA@mod.uk,18623,Director Joint Support Chain,Staff captured against CE DSDA,?0
105258,1604928,,,Commodore,Head Disposal Services Authority,"Located in Bicester and ABW.  The Commercial Disposals group (located at Bicester) is responsible for securing the best overall return to the taxpayer from the sale, through specialist contractors, of surplus equipment and material, either for continued use or for recycling.  Capital Equipment Sales (located at Abbey Wood Bristol) are responsible for Government to Government sale of surplus capital platforms, together with supporting contracts with industry and the provision of after-sales support.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130027,DESJSC-DirMA@mod.uk,18623,Director Joint Support Chain,,"?2,479,064"
18629,1592723,,,Air Commodore,Head Defence Fuels Group,"Responsible for the efficient and effective provision of fuels, lubricants and industrial gases to our Armed Forces worldwide. Responsible for management of the physical supply chain including policy, procedures and regulations, procuring aviation, marine and ground fuels as well as lubricants and industrial gases for its customers, ensuring that they are delivered or made available to the correct quality wherever and whenever they are needed. The Defence Fuels Group is the MOD licensing authority for fuel installations.   ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130027,DESJSC-DirMA@mod.uk,18623,Director Joint Support Chain,,"?4,361,218"
18625,1584650,,,Brigadier,Head of Supply Chain Management,"SUpply Chain Management provides a range of supply and support chain change programmes and capabilities to DE&S and to the Front Line to help improve effectiveness and efficiency, to maintain the coherence of the Joint Supply Chain, and to promote and develop the Joint Supply Chain as a single end-to-end process. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130027,DESJSC-DirMA@mod.uk,18623,Director Joint Support Chain,,"?7,226,173"
18628,1584388,,,Brigadier,Head of Defence Support Chain Operations & Movements,"DSCOM delivers Supply Chain and Movements Support to operational and training theatres around the globe, based on very close relationships with the MOD, Permanent Joint Headquarters and the Front Line Commands (Land Forces, Navy and Air).  DSCOM provides the operations focus for DE&S, coordinating wider DE&S operational support activity to ensure the timely and correctly prioritised delivery of equipment and materiel.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130027,DESJSC-DirMA@mod.uk,18623,Director Joint Support Chain,,"?6,727,837"
9900,1453778,,,Brigadier,Head Through-Life Support,"Through Life Support provides authoritative policy, guidance and advice to support project teams in delivering capability to the Front Line.  This contributes to effective Project and Programme Governance, enhancing equipment capability through supporting effective and affordable through life support.                                                                                                                         ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130027,DESJSC-DirMA@mod.uk,18623,Director Joint Support Chain,,"?4,684,644"
182672,,,,SCS PB1,Head Corporate Services Defence Storage and Distribution Agency,"Responsible for the provision of corporate services, including financial and commercial management, of the Defence Storage and Distribution Agency, and for its successor JSC Services during the period of transition to a new organisational structure.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130027,DESJSC-DirMA@mod.uk,18623,Director Joint Support Chain,Staff captured against CE DSDA,?0
23490,1481513,Ian,Dale,Major General,Director Land Equipment,"Land Equipment is responsible for all tracked and wheeled vehicles, battlefield infrastructure, simulated training in the land environment and dismounted soldier equipment, including weapons.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130815,DESLE-DirMA@Mod.uk,3320,Chief Operating Officer,,"?3,102,528"
23498,,,,SCS PB1,Head of Combat Wheels Group ,"Combat Wheels Group?s two Delivery Teams provide development, procurement, support and sustainment of protected patrol vehicles and mobility support equipment, vehicles and systems for the armed forces.  The majority of this equipment is provided in response to Urgent Operational Requirements (UOR) for Afghanistan.  These systems are key to operational success.  They include vehicles: Mastiff, Ridgeback, Jackal, Wolfhound, Husky, Coyote, Snatch, Vector and Warthog; military bridging; the Terrier combat engineer system and the new Light Protected Patrol Vehicle (LPPV), together with large elements of the Counter-IED capability.   ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130815,DESLE-DirMA@Mod.uk,23490,Director Land Equipment,,"?4,849,787"
22411,,,,SCS PB1,Head of Commercial Land Equipment,Head of Commercial Land Equipment is responsible for providing commercial advice and assurance to D LE and commercial functional line management to all commercial staff within the Operating Centre.  ,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130815,DESLE-DirMA@Mod.uk,23490,Director Land Equipment,,"?483,327"
"New post, no HRMS reference",,,,SCS PB1,Head Finance Land Equipment ,"Professional head of Finance within the Land Equipment Operating Centre, responsible for financial planning, in year management, financial accounting and financial assurance and approvals",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130815,DESLE-DirMA@Mod.uk,23490,Director Land Equipment,"New post, finance staff captured in separate teams",?0
172024,1477514,,,Brigadier,Head of Combat Tracks Group ,"Combat Tracks Group is responsible for the development, production and in-service support of the Army?s armoured tracked vehicles and their sub-systems including Scout and the Warrior Capability Sustainment Programme.  Responsibilities also include the development, production and in-service support of Land Forces indirect fire systems, including guns, rockets, C4I, radars and joint fires integration equipment.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130815,DESLE-DirMA@Mod.uk,23490,Director Land Equipment,,"?13,818,217"
182282,1591090,,,Brigadier,Head of Individual Capability Group  ,"The ICG equips and supports front line soldiers across Defence with the equipment they need to engage in Dismounted Close Combat.  This includes:  small arms up to light mortars;  surveillance and target acquisition equipment including night vision devices;  body armour, helmets, load carrying equipment and ancilaries.  The ICG also sustains batteries across Defence, as well as hand held photographic equipment.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130815,DESLE-DirMA@Mod.uk,23490,Director Land Equipment,,"?4,786,875"
22483,,,,SCS PB1,Head of General Support Group ,"The General Support Group delivers a broad portfolio of in-service outputs, UORs and new equipment projects in the Land Environment, including vehicles and battlefield utilities and services.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130815,DESLE-DirMA@Mod.uk,23490,Director Land Equipment,,"?12,766,527"
188023,,,,SCS PB1,Head Business Transformation,"Responsible for leading the transformation of the Land Equipment Operating Centre, bringing together the Land Equipment Industrial Strategy with changes to how the Operating Centre operates to improve business performance.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130815,DESLE-DirMA@Mod.uk,23490,Director Land Equipment,,?0
110867,,,,SCS PB1,Head of Portfolio & Programme Support,"Responsible for overall portfolio management of the Land Equipment Operating Centre including the effective prioritisation of resources to match customer requirements, generic safety, engineering and programme management issues and delivery of a Programme Support Function to Land Programme Boards.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130815,DESLE-DirMA@Mod.uk,23490,Director Land Equipment,,"?196,434"
184738,,Alan,Macklin,Major General,Director Programmes Technology Group,"Programmes and Technology Group is responsible for building Programme, Project and Technology management capabilities within DE&S and the wider MOD.
",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9134006,DESPTG-DirEa@mod.uk,3320,Chief Operating Officer,,"?63,291"
2729,,,,SCS PB1,Head Programme & Project Management Centre of Excellence,"The Centre of Excellence for Programme & Project Management (PPM). Operating under the 2nd PUS?s governance, has a pan-MOD remit to provide PPM policy, standards and guidance across all TLBs. Associated with this, the Acquisition Operating Framework provides a single source of authoritative acquisition guidance across all functional areas. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9134006,DESPTG-DirEa@mod.uk,184738,Director Programmes Technology Group,,"?2,050,079"
184808,,,,SCS PB1,Head Capability Delivery Implementation,"Capability Delivery Implementation Team (CDIT).  Operating under governance co-chaired by DCDS(Cap) and DE&S COO, has a pan-acquisition remit to lead the implementation of a programme approach to managing the delivery of capability as the next phase in developing the Department?s approach to Through Life Capability Management. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9134006,DESPTG-DirEa@mod.uk,184738,Director Programmes Technology Group,,"?190,316"
159581,,,,SCS PB1,Head Assistance & Assurance,"Responsible for assisting DE&S Operating Centres to improve their teams? programme, project and technology management, as well as providing DE&S programme management assistance and the implementation of the new DE&S project foundation approach.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9134006,DESPTG-DirEa@mod.uk,184738,Director Programmes Technology Group,,"?2,108,008"
183045,,,,SCS PB1,Head Technology Delivery,The Technology Delivery team is responsible for leading technology and capability investigations and demonstration programmes to expedite the exploitation of technologies into operational capability.  They are the primary interface within DE&S with the Defence Science and Technology Laboratories.   ,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9134006,DESPTG-DirEa@mod.uk,184738,Director Programmes Technology Group,,"?1,945,488"
3321,,Howard,Mathers,SCS PB2,Director Safety & Engineering,"The Director Safety and Engineering (DS&E) is responsible for driving, developing and delivering safety and engineering expertise and capabilities in order to equip and support our armed forces.  DS&E plays a critical part in maintaining DE&S?s role in leadership of Defence acquisition, with its exceptional safety management challenges.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9133018,DESSafetyEng-DirMA@mod.uk,9005,Chief Corporate Services,,"?6,535,301"
179064,,,,SCS PB1,Head of Systems Engineering & Integration Group,"The Systems Engineering & Integration Group (SEIG) is responsible leading on implementing systems and software engineering across Defence. They are the MOD custodian for the System of Systems Approach (SOSA) Initiative, and undertake the role of Chief System Architect to support Network Enabled Capability (NEC) and wider defence interoperability.   Across Defence they provide cross cutting systems engineering services, including SOSA Environment Architecting support, the MOD partnership linkage into Niteworks decision support and Electromagnetic (EM) Integration services to defence spectrum management and EM effects support.  SEIG also promotes the development of systems and software engineering skills and approaches.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9133018,DESSafetyEng-DirMA@mod.uk,3321,Director Safety & Engineering,,"?5,403,105"
114,,,,Commodore,Head of Defence Nuclear Safety Regulator,"The Defence Nuclear Safety Regulator exists to ensure the nuclear and radiological safety of the defence nuclear programmes so that they are managed with due regard for the protection of the workforce, the public and the environment.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9133018,DESSafetyEng-DirMA@mod.uk,3321,Director Safety & Engineering,,"?978,629"
172010,,,,SCS PB1,Head of Safety & Environment Protection,"The purpose of the S&EP Group is to support the achievement of DE&S workplaces, services and products that minimise unintentional harm to people and the environment.˜ It provides policy, systems, advice, guidance, training, performance information, audit and assurance.˜ It only does this when such support is more cost effective as a DE&S central provision than it would be if distributed within the business.  Primary customers of the S&EP Group are the Main Board, ECMB and the Safety Committee, and the DE&S Operating Centre organisations.  Consumers of output are in the business delivery layer of DE&S.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9133018,DESSafetyEng-DirMA@mod.uk,3321,Director Safety & Engineering,,"?1,178,155"
2691,,,,SCS PB1,Head of Sea Systems,"Sea Systems Group provides whole ship and submarine design and construction policy and advice to the MoD maritime community, and as the Naval Authority, ship and submarine safety regulation.  Our expertise covers maritime safety and environmental management, naval architecture, survivability, carriage of explosives, naval materials, advanced computer modelling techniques and other areas of specialist expertise.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9133018,DESSafetyEng-DirMA@mod.uk,3321,Director Safety & Engineering,,"?2,983,110"
66,,Bob,Love,Rear Admiral,Director Ships,"The Ships Operating Centre is responsible for the procurement, through life support and eventual disposal of ships and equipment for the Royal Navy (RN) and other services involved in maritime operations.  This ranges from major projects like the future aircraft carrier through to outboard motors used on rigid raiding craft and all of the spares with the engineering and logistical expertise that goes with this. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137502,DESShips-DirMA@mod.uk,3320,Chief Operating Officer,,"?2,682,532"
7537,,,,SCS PB1,Head Fleet Wide Equipment,"Fleet Wide Equipment is responsible for managing over 450 Master Equipments, 650 suppliers and 250,000 stock numbers in support of Surface Ships and Submarines for the Royal Navy, Royal Fleet Auxiliary and other areas of the MoD. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137502,DESShips-DirMA@mod.uk,66,Director Ships,,"?16,755,588"
4366,,,,SCS PB1,Head Capital Ships,"Capital Ships manages the procurement of the future Queen Elizabeth Class aircraft carriers (now in manufacture), and is responsible for identifying and contracting for their through-life support solution.  Also, the Team is responsible for the management and provision of engineering support to the In-Service Carriers (CVS Class), the Landing Platform Dock (LPD Class), the Landing Platform Helicopter (LPH Class), and the remaining Type 42 class destroyers, and the Team Leader is the Material Duty Holder for these Platforms.  Additionally, the Team are responsible for the procurement of the Fast Landing Craft (FLC), currently in Concept Phase.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137502,DESShips-DirMA@mod.uk,66,Director Ships,,"?4,163,775"
8374,1580436,,,Commodore,Head Surface Combatants ,"Responsible for support to all of the Royal Navy?s Type 22 and Type 23 Frigates, Patrol Vessels, Hydrographic Vessels, Mine Counter Measures Vessels and Survey Vessels, plus a multitude of smaller craft and training platforms including HMS Victory.  The Team Leader is the Material Duty Holder for these Platforms.  The Team is also responsible for the procurement of the Type 26 Combat Ship and the remainder of the Future Surface Combatant (FSC) programme, together with the Minewarfare, Hydrographic and Patrol Capability (MHPC) programme.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137502,DESShips-DirMA@mod.uk,66,Director Ships,,"?4,870,308"
3332,1611161,,,Commodore,Head Destroyers ,The Destroyers team is responsible for providing the Royal Navy's future Anti-Air Warfare capability through delivery of the Type 45 warship programme.,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9137502,DESShips-DirMA@mod.uk,66,Director Ships,,"?2,433,080"
