,,
Organisations Paid Between £25 thousand and £5 million by the Ministry of Defence in 2009/10,,
,,
Aeroflex Hose And Engineering Ltd,Fluid Gravity Engineering Ltd,Police Resources International Ltd
Aeroflex Ltd,Fly Navy Heritage Trust Ltd,Poole Borough Council
Aeronavdata Inc,Forest Of Dean District Council,Pooley Sword Ltd
Aerotech Aviation Ltd,Forestry Commission,Portakabin Ltd,,
Aerotech UK Ltd,Forth Estuary Towage Ltd,Portsmouth Water Ltd,,
Aerotrim (Westbury) Ltd,Forth Ports Public Ltd Company,Porvair Filtration Group Ltd,,
Affinitext (Europe) Ltd,Foster Wells,Power Blast International Ltd,,
Afghan Wireless (AWCC),FP (Tools) Ltd,Powervamp Ltd,,
Afnorth International School,Frank Armitt & Son Ltd,Powys County Council,,
Agence Comptable Des Services Industriels De L Armement,Frequentis AG,Precision Polymer Engineering Ltd,,
Agh Software Solutions Ltd,Fretwell-Downing Hospitality Ltd,Premier Aerospace Ltd,,
Agropharm Ltd,Fridtjof Kristiansen AS,Prestolite Electric Ltd,,
Air Canada Ltd,Frigo Rent Services Gmbh,Preston City Council,,
Air Charter Connections Ltd,Fritz Biefang Gmbh & Co KG,Price Systems Ltd,,
Airblast Ltd,Fusilier Museum Lancashire,Prima Language Services Ltd,,
Airfield Wildlife Management Ltd,Fusion People Ltd,Proact Medical Ltd,,
Airinmar Ltd,G Fewell Precision & Mechanical Engineer,Professional Services Solutions,,
Airtricity Energy Supply (Northern Ireland) Ltd,G4S Security Services (UK) Ltd,Progas Gmbh & Co KG,,
Aish Technologies Ltd,GA Newsome (Haulage) Ltd,Propak First Ltd,,
Albacom Ltd,Galahad Substance Misuse Solutions Ltd,Proptech Portsmouth Ltd
Albashow Ltd,Galtec Solutions Ltd,Protech Asbestos Removal Ltd
Alfa Laval Ltd,Garage Mavromichalis & Sons Ltd,Prtm Mangement Consultants Ltd
Alford Research Ltd,Gardners Books Ltd,Pulse Healthcare Ltd
Alico Sport Di Altin F & CSA,Gareloch Support Services (Plant) Ltd,Pulse Power And Measurement  Ltd
Allaero Ltd,Garmin (Europe) Ltd,Purchasing Price Index Ltd
Allcom (UK) Ltd,Gartner UK Ltd,Pure Sports Medicine Ltd
Allen-Vanguard Ltd,Gbr Technology Ltd,Q Electronics Ltd
Allers Bedrijfswagens Venlo BV,Gce Gas Control Systems Ltd,Qinetiq Commerce Decisions Ltd
Allied Healthcare Group Ltd,Gcs Johnson Ltd,Quantiv Ltd
Allmakes Ltd,Ge Healthcare Clinical Systems (UK) Ltd,Queen Elizabeths Foundation For Disabled People
Alltek Ltd,Ge Healthcare Ltd,Quest Underwater Services Ltd
Alprange Communications Ltd,Ge Inspection Technologies Ltd,R & D Gutteridge Greengrocers Ltd
Alstom Power Ltd,Ge Medical Systems Information Technologies (UK) Ltd,R & F Atkinson Ltd
Amada United Kingdom Ltd,Geisler Gmbh,R Baker (Electrical) Ltd
AMD Tuev Arbeitsmed,Gemco Equipment Ltd,R2B2 Ltd
Amethyst Risk Management Ltd,Gemeindefreier Bezirk Lohheide,Race Industrial (Products) Ltd
Amity Insulation Services Ltd,Gemeindefreier Bezirk Osterheide,Radio Technical Services Ltd
Ampex Great Britain Ltd,General Dynamics Santa Barbara Sistemas,Rafael-Armament Development Authority Ltd
Amphenol Ltd,General Signal UK Ltd,Railion Nederlands NV
Analox Sensor Technology Ltd,Geo-Marine Inc,Rallye Communications Ltd
And Group PLC,Georgian Hire Ltd,Ramp Industries Ltd
Anstrich Heinen Gmbh,GHL Liftrucks Ltd,Randstad Care Ltd
Antalis Ltd,GI Hadfield & Son Ltd,Rapiscan Systems Ltd
Apollo 11 Bus Co Ltd,Gibraltar Telecommunications Int Ltd,RD Taylor & Company Ltd
Apollo Hi-Tech Ltd,Gilead Sciences Ltd,RDDS Avionics Ltd
APPH (Bolton) Ltd,Gkn Aerospace Services Ltd,Reabrook Ltd
Applied Satellite Technology Systems Ltd,Gladman & Norman Ltd,React (Northern) Ltd
Aqua Coldharbour Partnership LLP,Glasgow Prestwick Airport Ltd,Red Rose Training (Bolton) Ltd
Arbil Ltd,Glenisla Kilts Ltd,Red Scientific Limted
Architetto Fiorenzo Petillo,GLS (Global Life Support) Ltd,Redstone Software & Research Ltd
Argus Fluidhandling Ltd,GN Clearing,Redwood Health Ltd
Army Families Federation,Godfrey-Syrett Ltd,Reed Elsevier (UK) Ltd
Army Parachute Aircraft Company Ltd,Golden Relief Resources LLC,Reed Specialist Recruitment Ltd
Art Contracts Ltd,Goldring Industries Ltd,Reliant Design Development Co Ltd
Arthur Rai Medical Services Ltd,Goodyear Nederlands BV,Remploy Ltd
Arunfabs Ltd,Gottschall & Sohn Kg,Renfrewshire Council
Ashdale Engineering UK Ltd,Government Car And Despatch Agency,Rentokil Initial UK Cleaning Ltd
Ashley Management Ltd,Gray Dawes Travel Ltd,Rescue And Medical Ltd
Assessment & Qualifications Alliance,Green Issues Communications Ltd,Rexel UK Ltd
Associated British Ports,Green Refurb Ltd,Reynolds Sports Ltd
Assystem UK Ltd,Greenwich Local Borough Council,Rhine Army Parachute Association
Astrosyn International Technology Ltd,Greer Aviation Ltd,Richard Whittaker Ltd
AT Juniper (Liverpool) Ltd,Gregory'S Driving Force Ltd,Richmond Upon Thames Local Borough Council
Atex Equipment Ltd,Gresham Computer Services Ltd,Right4Staff Ltd
Atkins Advantage Technical Consulting Ltd,Grontmij Group Ltd,Ring Sights Defence Group Ltd
Atkins Facilities Management Ltd,Grosvenor Television Productions Ltd,Risbridger Ltd
Atlas Copco Compressors Ltd,Grundfos Pumps Ltd,Risk Decisions Ltd
Atlas Terex UK Ltd,Grundon Waste Management Ltd,Riskhive Ltd
Atos Origin UK Ltd,GSL UK Ltd,Risktec Solutions Ltd
Auto Schliephake OHG,Guartel Technologies Ltd,Rizor Gmbh & Co KG
Auto Windscreens Ltd,Gustav Wiesbrock Gmbh & Co KG,RK Controls Inc
Autohaus Ohlhoff Gmbh,H Fine & Son Ltd,RLC Transport Ltd
Autohaus Ulmen,H Gering Malermeisterbetrieb Gmbh,Rmada Ltd
Autohaus Ulmen Gmbh & Co KG,Hab Direct By Body Care,Robert Keen Ltd
Avenca Ltd,Haemonetics Ltd,Roche Products Ltd
AVH Rentals Ltd,Halcrow Group Ltd,Rockford Components Ltd
Avis Rent A Car Ltd,Hamilton Jet (UK) Ltd,Roevin Management Services Ltd
Avisa Aviation Safety Systems Ltd,Hanse Schiffstechnik International Ltd,Rohm And Haas Europe Trading APS
Axios Systems Public Ltd Company,Hansen Waermetechnik Gmbh,Rollalong Holdings Ltd
Axis-Shield Diagnostics Ltd,Hardigg Europe Ltd,Rolls Royce Deutschland Ltd & Co KG
Axyz Automation (UK) Ltd,Hardigg UK Ltd,Romanowski Metallbau Gmbh
Azcom Business Solutions Ltd,Hardinge Machine Tools Ltd,Rosbotham Demolition Ltd
B Beam SPRL,Harris Corporation DBA,Royal Borough Of Kingston Upon Thames
B Braun Medical Ltd,Harris Systems Ltd,Royal Hospital For Neuro-Disability
B Safe Driver Training Ltd,Harrison Field Ltd,RS Components Ltd
B+B Autovermietung Gmbh,Harrods Aviation Ltd,Rugby Borough Council
Baa Business Support Centre Ltd,Harrow Local Borough Council,Rugged Systems Ltd
Babergh District Council,Hartnell Taylor Cook LLP,Runflat International Ltd
Babylon Translations Ltd,Haskel Europe Ltd,Ruth Lee Ltd
Bactec International Ltd,Haskoning UK Ltd,RW Greeff Ltd
BAE Systems Bofors AB,Havant Borough Council,RWE Westfalen-Weser-Ems AG
BAE Systems PLC,Hays Healthcare Ltd,S & C Thermofluids Ltd
Bahwan Engineering Company Llc,Haysys Ltd,Saab Ab Gripen
Bale Group Ltd,HBS Electronics Ltd,Saab Barracuda Ab
Balfour Beatty Management Ltd,Headset Services Ltd,Safeaim Simulation Ltd
Ballantyne Edwards Ltd,Health Estates Agency,Sagem Defense Securite
Bamfords Trust PLC,Health Protection Agency,Sagem Defense Securite SA
Barr & Paatz Industrial Automation Ltd,Healthcare At Home Ltd,Saica Pack UK Ltd
Barry College,Heinr Schmidt Gmbh+Co KG,Salisbury NHS Foundation Trust
Barry Customised Training And Enterprise Ltd,Heinrich Duevel Gmbh & Co KG,Saywell International Ltd
Barum And Dewar Ltd,Herman Miller Ltd,SCC (South West) Ltd
Bath & N E Somerset Council,Hertsmere Borough Council,Schaefer Waesche Vollservice Gmbh
Bauer Kompressoren UK Ltd,Hertz (UK) Ltd,Schneider Electric Ltd
BBA Aviation Shared Services Inc,Hewitt Associates Ltd,Scientific Management Associates (UK) Ltd
BBN Technologies Corp,HIAB Ltd,Scom Ltd
Beaconsfield Language Services Ltd,Highland Fuels Ltd,Scott Brothers Ltd
Beckman Coulter United Kingdom Ltd,Highland Regional Council,Scott Wilson Ltd
Belfast International Airport Ltd,Highways Agency,Scottish Qualifications Authority
Benchmark Instruments Ltd,Hill Woolhouse Property Management Ltd,Sea Bunkering Ltd
Bender UK Ltd,Hindle Cockburns Ltd,Seactive Ltd
Beresford Blake Thomas Ltd,Hintz Sicherheitssysteme Gmbh,Seacure (Scotland) Ltd
Berkshire Consultancy Ltd,Historic Scotland,Sealskinz Ltd
Berry Recruitment Ltd,Hitachi Consulting UK Ltd,Seaward Electronic Ltd
Besch Werner Gmbh,HK Wentworth Ltd,SEI Societa' Esplosivi Industrial SPA
Bibby International Services (I O M) Ltd,Hkb Training Solutions Ltd,Seiko UK Ltd
Big Wheelers (South Wales) Ltd,Hodge Clemco Ltd,Seismic Shipping Inc
Biomerieux UK Ltd,Holzbau Scherf,Select Cables Ltd
BIP Solutions Ltd,Holz-Speckmann Gmbh,Sellafield Ltd
Birmingham Research Park Ltd,Homer Burgess Ltd,Service Funds Raf Brize Norton
Birse Civils Ltd,Honeywell Control Systems Ltd,Servoca Nursing & Care Ltd
BIS (Integrated Solutions) UK Ltd,Horsebridge Network Systems Ltd,Seven Technologies Ltd
Black Teknigas & Electro Controls Ltd,Horstman Defence Systems Ltd,Severn Trent Water Ltd
Blackpool Airport Ltd,Host Systems Ltd,Sexton Construction Ltd
Bladerunner Ltd,Hotel Mercure,Seyn International NV
Blitz & Blank Gmbh,HQ CVWW,SG Baker Ltd
Blom Aerofilms Ltd,HR Smith (Technical Developments) Ltd,Shanks Waste Management Ltd
Blue Arrow Ltd,HS C Hempelmann KG Hannover,Shawcity Ltd
Blue Bear Systems Research Ltd,Hs Marston Aerospace Ltd,SHB Hire Ltd
Blue Group International Ltd,Hubert Niewels Gmbh,Shepherd And Wedderburn LLP
Blue Helix Ltd,Huck Tek Ltd,Sheridan Associates
Blum Gmbh,Hull Teaching Primary Care Trust,Shire Leasing PLC
BM Polyco Ltd,Hunt And Palmer PLC,Sidley Austin LLP
BMT Isis Ltd,Huntleigh Healthcare Ltd,Siemens Ag Gebaudereinigung
BN Resources Ltd,HVR Consulting Services Ltd,Siemens Enterprise Communications Ltd
Bond Instrumentation & Process Control Ltd,Hybeck Estates Ltd,Sigma Security Devices Ltd
Bond Pearce LLP,I2 Ltd,Silver Lining Industries Ltd
Bonds Foundry Company Ltd,Icon Polymer Ltd,Simfront Simulation Systems Corporation
Bone Consulting Ltd,Ideal Hose And Safety Ltd,Simpler Consulting Ltd
Bosch Rexroth Ltd,Ids Ingegneria Dei Sistemi (UK) Ltd,Sims Group UK Ltd
Bournemouth International Airport Ltd,Imar Gmbh,Single Source Ltd
BP Marine Ltd,IMER - Reman Ltd,Sioen NV
BPL Bio Products Laboratory,IMP Group Ltd,SISYS Ltd
BPP Professional Education Ltd,Imperial College London,Sita UK Ltd
Bracknell Forest Borough Council,Imtech Marine & Offshore Ltd,Sita Umwelt Service Gmbh
Bradley Doublelock Ltd,In Training (NTP) Ltd,Sjusjoen Hoyfjellshotell
Brain Injury Rehabilitation Trust,Industore Ltd,Skanska Construction UK Ltd
Braintree District Council,Industry Resource Services Ltd,SKF (UK) Ltd
Brake Bros Foodservice Ltd,Informa UK Ltd,Skill Force Development
Brake Bros Ltd,Infotech Enterprises Europe Ltd,Skiworld Ltd
Brambledown Landscape Services Ltd,Infratil Kent Airport Ltd,Skycraft Services Ltd
Brasshouse Language Services,Ing Staatz Tiefbau - Gmbh,Skydive Weston Ltd
Bray Leino Ltd,Initial UK Ltd,Skyforce Avionics Ltd
Breckland Council,Insect Research & Development Ltd,Skypark Unit Trust
Brey Services Ltd,Integrate Systems Engineering Ltd,Smart Procurement Consulting Ltd
Bridge Oil Ltd,Integrated Occupational Healthcare Ltd,Smith & Jewell Ltd
Bridgnorth District Council,Integrated Tracking Solutions,Smith & Prince Ltd
Briggs Marine Contractors Ltd,Intenda (UK) Ltd,Societe Shell Du Maroc
Bright Horizons Family Solutions Ltd,Intepro UK Ltd,Sodexo Defence Services Ltd
Bristol Fluid System Technologies Ltd,Interactive Technical Solutions Ltd,Sodexo Pass Ltd
Bristol Management Centre Ltd,Intergraph (UK) Ltd,Solberg Scandinavian UK Ltd
Bristol Wessex Billing Services Ltd,International Management Services Inc,Solutions Audio Visual Ltd
Britannia Fire Ltd,International Organization For Migration,Sonic Communications (International) Ltd
British Waterways,International Paint Ltd,South Ayrshire Council
Broady Flow Control Ltd,International Resources Group Ltd,South Buckinghamshire District Council
Broecker Metallbau Gmbh,International Safety Products Ltd,South East Reserve Forces And Cadets Association
Brokman Busreisen Gmbh,International Training Service Ltd,South East Water Ltd
Bromley Local Borough Council,Invicta Aviation Ltd,South Hams District Council
Brooksbank Valves Ltd,Ipswich Borough Council,South Somerset District Council
Brostrom Tankers AB,Island Petroleum Ltd,South West Water Ltd
Brownell Ltd,Iveco Ltd,Southampton Solent University Ltd
Broxtowe Borough Council,J & A Gardner & Company Ltd,Southampton University Hospitals NHS Trust
Bruhn Newtech Ltd,J Hirst & Sons,Southern Electric Powerdistribution PLC
Bruntons Aero Products Ltd,J Murphy & Sons Ltd,Spandex Ltd
Budenberg Gauge Company Ltd,Jabez Cliff & Company Ltd,Specialised Medical Services Ltd
Building Recruitment Company Ltd,Jakobsmeyer Strassenbau Gmbh,Specialist Technologies Ltd
Building Research Establishment Ltd,James Lockyer Associates Ltd,Sperian Protection (UK) Ltd
Bundesamt Fur Wehrtechnik Und Beschaffung,James Walker & Co Ltd,Spey (Jersey) Holdings Ltd
Bundesanstalt Fuer Immobilienaugaben,Jason Petch Services Ltd,Spirent Communications PLC
Bundeswehr Dienstleistungszentrum,JC Sys Ltd,Spraybake Ltd
Bunkers International Corporation,Jennifer Griffiths Recruitment And Training Ltd,Spring Park (Corsham) Ltd
Bunzl Retail & Healthcare Supplies Ltd,Jeppesen Sanderson Inc,Spx United Kingdom Ltd
Burgess Logistics Ltd,Jetway Associates Ltd,Srb Technologies (Canada) Inc
Burntwood Spraybooths & Systems Ltd,Jewson Ltd,SSE Retail Ltd
Butler Cox Flooring Ltd,Jiri Novotny,St Edmundsbury Borough Council
BW Technologies Ltd,John Caunt Scientific Ltd,Stadt Bielefeld Meerbusch Gmbh
C Software Ltd,John Lilley & Gillie Ltd,Stadt Guetersloh
C Whitehead & Co Ltd,John Worth Media Ltd,Stadt Harsewinkel
C2C Systems Ltd,Jones Lang Lasalle Ltd,Stadt Herford
C2UK Ltd,Josef Rempe Gmbh,Stadt Moenchengladbach
CAA International Ltd,Just Resources Ltd,Stadtwerke Duelmen Gmbh
Cabinet Office,K International PLC,Stadtwerke Rinteln Gmbh
Cable & Wireless UK Services Ltd,Kaf Hearts And Minds Programme,Stafford Borough Council
Cable Telecommunications Training Services Ltd,Kalmar Ltd,Stahlbau Trepels Gmbh & Co
Calytrix Technologies Pty Ltd,Kaon Ltd,Star Rentals Ltd
Cambridge Information Ltd,Karl Creischer Bezirkschornsteinfegermeister,Steatite Ltd
Camlock Engineering Ltd,Kearsley Airways Ltd,Stephen Anderson Kevin Walker And Partners
Camouflage Technology Ltd,Kempsafe Ltd,Stichting Gezondheidszorg Oostel Oostelijk Zuid-Limburg
Camp4 Handels Gmbh,Kent Engineering Services Ltd,Stirling Council
Canberra UK Ltd,Ketech Defence Ltd,Strategic Thought Ltd
Cannon Hygiene Ltd,Kieback & Peter Gmbh & Co,Stratford-On-Avon District Council
Canterbury City Council,Kier Regional Ltd,Stride Treglown Management Ltd
Canvas And Teny (Pty) Ltd,Kilfrost Ltd,Subacoustech Ltd
Caparo Engineering Ltd,Killgerm Chemicals Ltd,Suffolk Coastal District Council
Capita Health Solutions Ltd,Kilpatrick Stockton LLP,Sun HML Engineering Ltd
Cardiff Council,Kinetic Special Vehicles Ltd,Svitzer Marine Ltd
Cardiff University,King Sturge LLP,Svitzer Towage Ltd
Carillion JM Ltd,Kingston University,SVO Energie Gmbh
Carillion Services Ltd,Kirkpace Ltd,Swanmere Agriculture Ltd
Carl Zeiss Optronics (Pty) Ltd,Klaus Volkmer,Swansea Airport Ltd
Carleton Life Support Systems Inc,Knight Frank LLP,Swansea Metropolitan University
Carmarthenshire County Council,Koch & Thuener Gmbh,SWB Services Gmbh & Co KG
Carmichael Support Services Ltd,Kongsberg Maritime Ltd,Swets Information Services Ltd
Carnegie College,Konrad Peters Nachf Gmbh,Swift Tankers Management AS
Caro Autovermietung Gmbh,Kreiswasserwerke Heinsberg,Sykes Global Services Ltd
Castlerock Care Services Ltd,Kueche Und Bad,Symbia Ltd
CAT 9 Ltd,Kunz Gmbh Aircraft Equipment,Symphony Consulting Ltd
CB Frost & Co Ltd,L-3 Communications Electronic Systems Inc,Syntax Consultancy Ltd
CB Richard Ellis Ltd,L-3 Communications Marine Systems UK Ltd,System Use Contract Ltd
CDI Anderselite Ltd,Labcold Ltd,Systems Interface Ltd
Cellhire PLC,Laboratory Dr Krone & Partner,Systemware Europe Ltd
Centaur Services Ltd,Land & Marine Project Engineering Ltd,Talar-Made Ltd
Central Networks East PLC,Land Rover Exports Ltd,Taunton Deane Borough Council
Central Science Laboratory,Landkreis Celle,Taylor-Dejongh Ltd
Centre For The Protection Of National Infrastructure,Landscaping Centre Ltd,Tayside Aviation Ltd
Centregreat Ltd,Lang & Potter (C/T) Ltd,TDA Research Inc
Centurion Safety Products Ltd,Language Services Direct Ltd,Teal Patents Ltd
Cepsa Marine Fuels S A,Language Specialists (International) Ltd,Team24 Ltd
CESG,Lankes Entsorgung Und Umweltservice Gmbh,Tecalemit Garage Equipment Company Ltd
CeTEC Gmbh & Co Kg,Lankhorst Recycled Products UK Ltd,Technical Data Cables Ltd
CFS Aeroproducts Ltd,Lanode Ltd,Technology Futures Ltd
Chalkface Recruitment Ltd,LAP Electrical Ltd,Teddington Electronics Ltd
Chambers Medical Care Ltd,Law Enforcement International Ltd,Teledyne Ltd
Champion Employment Ltd,LB Bentley Ltd,Teledyne Tss Ltd
Channel Tunnel Group Ltd (The),Leach International Europe SA,Telford College Of Arts & Technology
Chartered Management Institute,Learning Tree International Ltd,Tennant UK Ltd
Charterhouse Recruitment Ltd,Leasedrive Velo Rental Management Ltd,Tensar International Ltd
Chemetall PLC,Lee Sanitation Ltd,Terma A/S
Chemring Defence Germany Gmbh,Leighs Paints,Tessella PLC
Chemring EOD Ltd,Lewden Metal Products Ltd,Tewkesbury Borough Council
Chemtech Waste Management Ltd,LFD Ltd,TFD Europe Ltd
Chequer Foods Ltd,Lichfield District Council,Thales Nederland BV
Cherwell District Council,Life Safety Distribution AG,Thales Norway AS
Chess Dynamics Ltd,Lifesaver Defence Systems Ltd,Thales Optronics (Bury St Edmunds) Ltd
Chester City Council,Link Business Park Ltd,Thanet District Council
Chichester District Council,Linssen Elektro-Handelsgesellschaft Mbh,The Active Collection Bureau Ltd
Christie Devon Estate,Lion Lion & Son Ltd,The Armed Forces Memorial Trust
Chubb Electronic Security Systems Ltd,Liquidity Services Ltd,The Belfast Bus Company Ltd
Circatron Ltd,Liverpool City Council,The British Rototherm Co Ltd
City Cruises Public Ltd Company,Liveware HF Ltd,The British School
City Inn Ltd,Lloyd Instruments Ltd,The Central Fund - HMS Raleigh
City Medical Practice Ltd,Lloyds Industrial Leasing Ltd,The Childrens Forum Ltd
City Of Bristol College,Lloyds Register - Fairplay Ltd,The Colston Manufacturing (Engineering) Company Ltd
City Of Bristol Council,Lloyd'S Register Quality Assurance Ltd,The Falmouth Docks And Engineering Co
City Of York Council,Lloyds Tsb Bank PLC,The Fire Protection Association
City University,Locum Link (UK) Ltd,The Flagship Portsmouth Trust
Civica UK Ltd,Logic MH Ltd,The Food And Environment Research Agency
Civil Aviation Affairs,Logicalis CSF Solutions Ltd,The Gallmann Memorial Foundation
Civil Aviation Authority,Logistical Support Services Ltd,The Information Centre (NHS)
Civil Defence Supply Ltd,London Borough Of Barnet,The Jessop Group Ltd
Civil Service Sports Council Ltd (The),London Borough Of Camden,The Macaulay Library Supply Company Ltd
CK Electronics & Trading Ltd,London Borough Of Hounslow,The Mathworks Ltd
Clan Tools & Plant Ltd,London Borough Of Lambeth,The Mersey Docks & Harbour Co
Clarity Advanced Leadership And Management Ltd,London Borough Of Southwark,The Mobile Rockwall Company Ltd
Clark Masts Systems Ltd,London Borough Of Tower Hamlets,The National Institute Of Adultcontinuing Education(Engl&Wales
Cleaning And Paper Disposables PLC,Loughborough University,The National Memorial Arboretum Company Ltd
Clearview Communications Ltd,Lovering Foods Ltd,The Natural Environment Research Council
Cleenol Group Ltd,LPA Industries Ltd,The Newspaper Licensing Agency Ltd
CLM Ltd,LRG Lebensmittel Recycling,The Opinion Research Business Ltd
CLS Wiring Systems 2000 Ltd,LSG Sky Chefs,The Portland Laundry Company (Mansfield) Ltd
Clugston Construction Ltd,LTA Gmbh,The Projects Group Ltd
Clydeport Operations Ltd,Luxton Corporate Services Ltd,The Real-Time Data Company Ltd
CMG UK Ltd,Lydden Management Ltd,The Royal Air Force Charitable Trust Enterprises
CMP Batteries Ltd,M&S Training Ltd,The Royal Air Forces Association
CMS (GB) Ltd,M. Wright & Sons Ltd,The Royal Borough Of Kensington & Chelsea
CNC Property Management Ltd,Mabway Ltd,The Royal British Legion
Coal 4 Energy Ltd,Macdonald And Company Freelance Ltd,The Royal Irish Regiment Benevolent Fund
Coating Consultants Ltd,Machine Tool And Engineering Services Ltd,The Royal Star & Garter Homes
Co-Channel Electronics Ltd,Maersk Marine Services Ltd,The Stationery Office Ltd
Coker Logistics Solutions Inc,Magnomatics Ltd,The United Kingdom Reserve Forces Association
Colchester Hospital University NHS Foundation Trust,Maidstone Borough Council,The University Of Bristol
Coleman UK Ltd,Makita (UK) Ltd,The University Of Westminster
Colliers Cre PLC,Malermeister Torsten Fuhrwerk,The Volpe National Transportation Systems Center
Colston Engineering Services Ltd,Manbat Ltd,Therco Ltd
Comet Technical Support Ltd,Manbridge Electrical Ltd,Thermo Electron Manufacturing Ltd
Commerce Media Ltd,Mann Aviation Group (Engineering) Ltd,Thompson Valves Ltd
Compass Group PLC,Manpower Public Ltd Company,Thompsons Solicitors
Component Distributors Ltd,Manpower UK Ltd,Three Rivers District Council
Composite Technology Ltd,Mapeley Delta Acquisition Co (1) Ltd,Three Valleys Water PLC
Computer System Architects Ltd,Maritime & Coastguard Agency,Tiflex Ltd
Computerised Training Systems Ltd,Maritime Bunkering Ltd,Timbmet Ltd
Connaught Compliance Training Services Ltd,Market & Opinion Research International Ltd,Timesco Of London Ltd
Consolite Technology Ltd,Markowsky Elektroanlagen-Bau Gmb,Tinopolis Interactive Ltd
Consultancy Solutions Ltd,Martec Ltd,TKL Gmbh
Cooper Notification Inc,Mason Land Surveys Ltd,TLR Consulting Ltd
Copyright Licensing Agency Ltd (The),Masterclean,TMD Technologies Ltd
Corporate Project Solutions Ltd,Match Healthcare Services Ltd,TMS Support Solutions Ltd
Costas Elpidorou Ltd,Matchtech Group PLC,Tony Beal Ltd
Cotswold District Council,Matrix Media Ltd,Total Butler
Council For Cadet Rifle Shooting,Mauderer Alutechnik Gmbh,Tozers Solicitors
Coventry Teaching Primary Care Trust,Maxaura Ltd,Tps Consult Ltd
Covrad Heat Transfer Ltd,Mcgeoch Technology Ltd,Transaero Inc
CPW Hot Cats Ltd,Mcnair Engineering Ltd,Translink (NI) Ltd
Crane Care Ltd,Med Team Healthcare Ltd,Transwaggon Gmbh
CRC Industries UK Ltd,Medacs Healthcare PLC,Travis Perkins Trading Company Ltd
Credowan Ltd,Medical Advisory Services For Travellers Abroad Ltd,Trelleborg Sealing Solutions UK Ltd
Cronos Containers Ltd,Medilab Ltd,Triangle Infotech Ltd
Cross Match Technologies Gmbh,Medizinisches Versorgungszentrum Dr Stein And Kollegen,Tribal Group PLC
Crown Media LLP,Mefaco Gmbh,Trim Technology & Services Ltd
CSIP Ltd,Megger Ltd,Triumph Controls - UK Ltd
Ctcrm Central Bank (Rmlsceac Fund),MEH Ltd,TRL Ltd
CTS Container Trucking Service Gmbh,Mekon Ltd,Truck Vertriebs-Und. Service Gmbh
Cummins Ltd,Mel Machinefabriek Etten-Leur BV,Trustees Of The Michael J Field Sipps P & B Rackind Trust Acct
Custers Hydraulics B.V.,Menzies Hotels Operating Ltd,Try & Lilly Ltd
Cyma Petroleum (UK) Ltd,Mepward Ltd,TS Communications
Cyprus Airways Ltd,Meridian Aviation UK Ltd,TSG Associates LLP
Cyprus Ports Authority,Meridian Self Drive Ltd,TSI Instruments Ltd
CYTA,Messier Services Ltd,T-Systems Business Services Gmbh
Daher Aerospace Ltd,Messier-Bugatti,T-Systems International
Daher Lcn Ltd,Metconnect Ltd,Turner Charles Ltd
Dale Techniche Ltd,Metris UK Ltd,TUV Nord Systems Gmbh & Co KG
Dame Agnes Weston's Royal Sailors Rest,MFC Survival Ltd,TUV Product Service Ltd
Danaher UK Industries Ltd,MHH Engineering Company Ltd,TW Engineering Company Ltd
Daniamant Ltd,Michaels Automotive Ltd,TWI Ltd
Dantherm Air Handling A/S,Michelmores LLP,Typemaker Ltd
Darchem Engineering Ltd,Microcare Systems Ltd,U.M.C. International PLC
Darlington Borough Council,Micropore Incorporated,UK Land & Property Walker House Ltd
Davall Gears Ltd,Mid Suffolk District Council,UKAEA Ltd
Davis Aircraft Products Co Inc,Middlesex University,Ulster Engineering Ltd
Dax International Ltd,Midfield International,Ultramedic Ltd
Deb Ltd,Mie Augier,United Arab Emirates General Civil Aviation Authority
Decision Analysis Services Ltd,Millbrook Beds Ltd,United Scientific Instruments Ltd
Defence Support International Ltd,Millbrook Furnishing Industries Ltd,United Utilities Water PLC
Dennemeyer & Co Sarl,Millstream (Production Engineering) Ltd,University College London
Department For Business Enterprise & Regulatory Reform,Minetech Ltd,University Of Bath (The)
Department For Business Innovation And Skills,Ministry Of Social Development,University Of Bradford
Department For Environment Food & Rural Affairs,Minnesota Thermal Science LLC,University Of Brighton
Department For Transport,Mitie Cleaning & Environmental Services Ltd,University Of Cambridge
Dereham Designs & Packaging Ltd,MJ Maillis (UK) Ltd,University Of Derby
Design Blue Ltd,MJ Services (Gb) Ltd,University Of Edinburgh
Design Image Ltd,MJV Pharmacy Locums Ltd,University Of Exeter
Det Norske Veritas B.V.,MK Test Systems Ltd,University Of Gloucestershire
Deutsche Bahn 1 (Warrents),MLM Distribution Ltd,University Of Leicester
Develop Training Ltd,Mobilis Physiotherapy Ltd,University Of Lincoln
Didsbury Engineering CoLtd,Mobrey Ltd,University Of Newcastle Upon Tyne
Diehl-Raytheon Missile Systeme Gmbh,Mohammad Esmayol Ltd,University Of Nottingham
Dince Hill (Holdings)Ltd,Mole Valley District Council,University Of Sheffield
Direct Nursing Associates Ltd,Mondial Defence Systems Ltd,University Of Southampton
Director Of Finance Property Services,Monmouthshire County Council,University Of Strathclyde
DMM International Ltd,Motability,University Of Surrey
Dodson & Horrell Ltd,Motorola Ltd,University Of Sussex
Dollinger Ireland Ltd,Mouchel Ltd,University Of Wales
Dollond & Aitchison Ltd,Mpala Ranch Ltd,University Of Wales Institute Cardiff
