Minister,Date,Name of External Organisation,Purpose of meeting
"Minister of State (Trade and Investment), Lord Green","May, 2011","Aerospace, Defence and Security Organisation",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","May, 2011",Cancer Research UK,Introductory meeting
"Minister of State (Trade and Investment), Lord Green","May, 2011",Business Advisory Group ,To discuss business
"Minister of State (Trade and Investment), Lord Green","May, 2011",3M,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","May, 2011",Deutsche Bank,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","May, 2011",PVL Media Consultants,Introductory meeting
"Minister of State (Trade and Investment), Lord Green","May, 2011",DP World ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","May, 2011",BAE Systems,General catch up
"Minister of State (Trade and Investment), Lord Green","May, 2011",Legal and General,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",De la Rue,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011","John Wood Group plc, AMEC, Experience Intelligence Credibility, Renewable UK","To discuss trade, investment and  energy"
"Minister of State (Trade and Investment), Lord Green","June, 2011",Infrastructure UK,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",Clarke energy,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",R S Clare Ltd,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",Jaguar Land Rover,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",Holyroyd Precision Ltd,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",Airbus,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",Confederation of British Industry,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",School of Oriental and African Studies,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",Boeing,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011","John Smith, BBC Worldwide",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",Hongkong and Shanghai Ltd,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",Standard Chartered Bank,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",Producers Alliance for Cinema and Television,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011","Asia House, British American Business Council, China British Business Council, Business Council for Africa, Commonwealth Business Council, Council of British Chambers of Commerce, International Chamber of Commerce, Japan Society, Middle East Association, UK India Business Council","To discuss trade, investment and Business"
"Minister of State (Trade and Investment), Lord Green","June, 2011",Association of British Insurers,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011","Group Rhodes, Delcam, Ricardo, Bombardier transportation, Rolls Royce,  EEF","To discuss trade, investment and manufacturing"
"Minister of State (Trade and Investment), Lord Green","June, 2011",Cheung Kong Graduate School of Business,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",Hewlett Packard,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",Pond Ventures,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011","Ericsson, Transmode, Relacom Europe, Draka communications, Confederation of Danish industries, Stofa A/S, Huawei, China Telecom Europe, ZTE, Nokia Siemens Network UK Ltd, Flomatik, Fujitsu, Calix, Bridgwave",To discuss broadband
"Minister of State (Trade and Investment), Lord Green","June, 2011",Federation of Indian Chambers of Commerce,To discuss trade and Investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",MBDA Missile Systems,To discuss trade and Investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",Toshiba Telecommunications Research Labatory,To discuss trade and Investment
"Minister of State (Trade and Investment), Lord Green","June, 2011",Hong Kong Monetary Authority,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","June, 2011","ARM, Sidley Austin, Managed Networks Ltd, Technology Strategy Board, Federal Interagency Committee on Education, Intellect, Mobile Virtual Centre of Excellence ","To discuss trade, investment and technology"
"Minister of State (Trade and Investment), Lord Green","June, 2011",Changan UK,To discuss trade and investment
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","April, 2011",Trades Union Congress ,Regular meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","April, 2011",Consumer Finance and Education Board ,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","April, 2011","Demos, Accenture, AstraZeneca, BUPA, BP, City of London, John Lewis Partnership, Open Society Foundation, Reeds PS, UNICEF, Fujitsu, Grayling, Prudential, British Private Equity & Venture Capital Association",To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","April, 2011",Mail Competition Forum ,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","April, 2011",Communication Workers Union ,General catch up
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","April, 2011",National Federation of Sub Postmasters ,General catch up
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","April, 2011",Manpower UK,To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","April, 2011",Post Office Ltd,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","April, 2011",Royal Mail,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","April, 2011",Chartered Institute of Personnel and Development ,To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","April, 2011",Royal Mail Pensions Trustees Limited,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","April, 2011",Royal Mail,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","May, 2011","American Airlines, Capital International, IBM, Messier-Dowty, Panasonic, Takeda Global Research & Development, ThyssenKrupp Tallent, Vattenfall, Xerox",To discuss inward investment and employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","May, 2011","Christian Aid, Action Aid UK",To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","May, 2011",Trades Union Congress ,General catch up
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","May, 2011",Society of Motor Manufacturers and Trades,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","May, 2011",Confederation of British Industry ,To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","May, 2011","The Quoted Companies Alliance, PricewaterhouseCoopers, K&L Gates, Hermes, Nothbridge Industrial Services plc, Faegre & Benson, Baker Tilly, Lidco Group plc, MAM Funds plc, Mazars, KPMG ",To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","May, 2011","Working Families, American Express, BP, Citi, Ernst & Young, Happy, ITV, KPMG, Sysdoc, Chartered Institute of Personnel and Development, Burberry, Freshfields Bruckhaus Deringer, Paul the Bakery, AXA PPP Healthcare",To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","May, 2011",Paypoint ,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","May, 2011","Citizens Advice, Citizens Advice Scotland, Consumer Focus, Office of Fair Trading",To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","May, 2011",Communication Workers Union ,General catch up
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","May, 2011","Forum for Private Business, Institute for Family Business, Institute of Directors, British Retail Consortium, National Pharmacy Association, Federation of Small Business, Food and Drink Federation, British Chambers of Commerce, DODS, Association of Convenience Stores, Confederation of British Industry ",To discuss corporate social responsibility
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","May, 2011","Co-operatives UK, Post Office, Mutuo, Innovation Unit Ltd, Employee Ownership Association, Plunkett Foundation",To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","May, 2011",Professional and Business Services Group,To discuss corporate governance and employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","May, 2011",National Federation of Sub Postmasters,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2011","Trades Union Congress, Unison, Your potential, Citizens Advice, Greater London Authority, Health & Safety Executive, Union of Construction, Allied Trades and Technicians",To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2011",Mutuo,To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2011","Barclaycard, Centrica, Citizens Advice, Consumer Focus, Everything Everywhere, Experian, Google, Mastercard, Mydex, Nectar, Office of Fair Trading, Visa, Which?",To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2011","Campaign for Real Ale, All Party Save the Pub Group ",To discuss competition
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2011",UK Cards,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2011",British Furniture Confederation ,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2011",Publish What you Pay Coalition,To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2011",Trading Standard Institute,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2011",Global Corporate Governance Forum,To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2011",Trading Standard Institute,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2011",Consumer Focus Wales,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2011",Mind,To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2011",Chatham House,To discuss competition policy
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2011",National Association of Pension Funds,To discuss corporate governance
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","April, 2011",Post Office,Introductory meeting
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","April, 2011",Money Advice Trust,To discuss debt advice
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","April, 2011",BSkyB,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","May, 2011","Bright Ideas Trust, Montpellier Estates, Olympic Park Legacy Company, The Barefoot Foundation, Everyclick, Coffee Republic, Joblink Solutions, Access Risk Management Group, Ariadne Capital, Buddi, E-Net Computers, GFC Diagnostics, Bravissimo, SA Foods, Elvis & Kresse, Elegius",To discuss entrepreneurship
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","May, 2011",Amazon,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","May, 2011",Design and Artists Copyright Society,To discuss artist‘s resale rights
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","May, 2011","British Phonographic Industry, UK Music, Producers Alliance for Cinema and Television, Publishers Association, Motion Picture Association",To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","May, 2011",Advanced RISC Machines,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","May, 2011",Aquafuel Research,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","May, 2011",Chocolate Fish,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","May, 2011","Birmingham Assay Office, Ian Pickford",To discuss hallmarking
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","June, 2011",Royal National Institute of Blind People,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","June, 2011","Hanover Communications, Pearson, Publishers Association, UK Music, Association of Photographers, British Phonographic Industry, Federation Against Software Theft, NBC Universal, Sky, Huawei, Hewlet Packard, Vodafone, Consumer Focus, Open Rights Group, Ofcom, British Library, Deltex, Wellcome Trust, Premier League, England and Wales Cricket Board",To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","June, 2011",Pinewood Studios,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","June, 2011",British Art Market Federation,To discuss artist‘s resale rights
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","June, 2011","Apple, Portland Communications",To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","June, 2011",West of England Local Enterprise Partnership,An update on the Local Enterprise Partnership’s priorities
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","June, 2011",Qualcomm,To discuss Intellectual Property and innovation
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","June, 2011",Google,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","June, 2011","Google, Pearson Plc, Alliance Against IP Theft, IPKat, Jembro IP Management and Training, Nokia, Centre for Intellectual Property and Information Law, British Phonographic Industry, Musicians' Union, British Library, Institute of Public Policy Research",To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","June, 2011",Microsoft,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","June, 2011",Baylis Brands,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","June, 2011","Start-Up Britain, Elegius, Mumsclub, Federation of Small Businesses, Drake and Morgan, Everywoman, Women in Rural Enterprise, Mumpreneur UK, YTKO, Enterprising Women, Workingmums, InspirEngage Ltd, Baby Loves Disco, Thenextwomen",To discuss entrepreneurship
