Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
"Department for Children, Schools and Families",Government Office Network,GO London,GO025,Higher Executive Officer,30858,34274,Higher Executive Officer,1.8
"Department for Children, Schools and Families",Government Office Network,GO London,GO025,Senior Executive Officer,37612,41762,Senior Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO London,GO025,Executive Officer,24730,29277,Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO London,GO025,Grade 6,58899,73498,Grade 6,1.0
Department for Communities and Local Government,Government Office Network,GO London,GO025,Grade 7,49363,61151,Grade 7,2.0
Department for Communities and Local Government,Government Office Network,GO London,GO025,Higher Executive Officer,30858,34274,Higher Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO London,GO025,Senior Executive Officer,37612,41762,Senior Executive Officer,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO London,GO025,Executive Officer,24730,29277,Executive Officer,1.0
Department for Transport,Government Office Network,GO London,GO025,Grade 7,49363,61151,Grade 7,1.0
Home Office,Government Office Network,GO London,GO025,Grade 7,49363,61151,Grade 7,5.0
Department for Business Innovation and Skills,Government Office Network,GO London,GO026,Executive Officer,24730,29277,Executive Officer,2.0
"Department for Children, Schools and Families",Government Office Network,GO London,GO026,Executive Officer,24730,29277,Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO London,GO026,Grade 6,58899,73498,Grade 6,2.0
"Department for Children, Schools and Families",Government Office Network,GO London,GO026,Grade 7,49363,61151,Grade 7,3.2
"Department for Children, Schools and Families",Government Office Network,GO London,GO026,Senior Executive Officer,37612,41762,Senior Executive Officer,3.5,
Department for Communities and Local Government,Government Office Network,GO London,GO026,Higher Executive Officer,30858,34274,Higher Executive Officer,1.6,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO London,GO026,Senior Executive Officer,37612,41762,Senior Executive Officer,1.0,
Home Office,Government Office Network,GO London,GO026,Executive Officer,24730,29277,Executive Officer,1.0,
Home Office,Government Office Network,GO London,GO026,Grade 7,49363,61151,Grade 7,1.7,
Department for Communities and Local Government,Government Office Network,GO London,GO027,Executive Officer,24730,29277,Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO London,GO027,Grade 7,49363,61151,Grade 7,1.0,
Department for Communities and Local Government,Government Office Network,GO London,GO027,Higher Executive Officer,30858,34274,Higher Executive Officer,1.0,
Department for Transport,Government Office Network,GO London,GO027,Grade 7,49363,61151,Grade 7,1.0,
Home Office,Government Office Network,GO London,GO027,Grade 7,49363,61151,Grade 7,1.0,
Home Office,Government Office Network,GO London,GO027,Information Officer,31977,37757,Information Officer,1.0,Recorded as HEO level on organogram
Home Office,Government Office Network,GO London,GO027,Senior Executive Officer,37612,41762,Senior Executive Officer,0.8,
Department for Business Innovation and Skills,Government Office Network,GO London,GO028,Executive Officer,24730,29277,Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO London,GO028,Executive Officer,24730,29277,Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO London,GO028,Grade 7,49363,61151,Grade 7,1.0,
"Department for Children, Schools and Families",Government Office Network,GO London,GO028,Higher Executive Officer,30858,34274,Higher Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO London,GO028,Administrative Officer,21267,23814,Administrative Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO London,GO028,Executive Officer,24730,29277,Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO London,GO028,Grade 7,49363,61151,Grade 7,3.8,
Department for Communities and Local Government,Government Office Network,GO London,GO028,Higher Executive Officer,30858,34274,Higher Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO London,GO028,Senior Executive Officer,37612,41762,Senior Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO London,GO028,Senior Planning Officer,44450,49391,Senior Planning Officer,4.9,Recorded as SEO level on organogram
"Department for Environment, Food and Rural Affairs",Government Office Network,GO London,GO028,Senior Planning Officer,44450,49391,Senior Planning Officer,0.9,Recorded as SEO level on organogram
Department for Transport,Government Office Network,GO London,GO028,Executive Officer,24730,29277,Executive Officer,1.0,
Home Office,Government Office Network,GO London,GO028,Senior Executive Officer,37612,41762,Senior Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO London,GO029,Grade 7,49363,61151,Grade 7,1.0,
"Department for Children, Schools and Families",Government Office Network,GO London,GO029,Administrative Officer,21267,23814,Administrative Officer,0.9,
"Department for Children, Schools and Families",Government Office Network,GO London,GO029,Executive Officer,24730,29277,Executive Officer,1.7,
"Department for Children, Schools and Families",Government Office Network,GO London,GO029,Grade 7,49363,61151,Grade 7,2.0,
"Department for Children, Schools and Families",Government Office Network,GO London,GO029,Higher Executive Officer,30858,34274,Higher Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO London,GO029,Administrative Officer,21267,23814,Administrative Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO London,GO029,Executive Officer,24730,29277,Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO London,GO029,Grade 6,58899,73498,Grade 6,2.8
Department for Communities and Local Government,Government Office Network,GO London,GO029,Grade 7,49363,61151,Grade 7,2.0
Department for Communities and Local Government,Government Office Network,GO London,GO029,Higher Executive Officer,30858,34274,Higher Executive Officer,2.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO London,GO029,Grade 7,49363,61151,Grade 7,1.0
Department for Transport,Government Office Network,GO London,GO029,Higher Executive Officer,30858,34274,Higher Executive Officer,1.0
Department for Work and Pensions,Government Office Network,GO London,GO029,Grade 7,49363,61151,Grade 7,1.0
Home Office,Government Office Network,GO London,GO029,Grade 7,49363,61151,Grade 7,2.0
Department for Business Innovation and Skills,Government Office Network,GO London,GO030,Executive Officer,24730,29277,Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO London,GO030,Higher Executive Officer,30858,34274,Higher Executive Officer,2.0
"Department for Children, Schools and Families",Government Office Network,GO London,GO030,Executive Officer,24730,29277,Executive Officer,2.0
"Department for Children, Schools and Families",Government Office Network,GO London,GO030,Grade 7,49363,61151,Grade 7,1.0
"Department for Children, Schools and Families",Government Office Network,GO London,GO030,Higher Executive Officer,30858,34274,Higher Executive Officer,2.0
Department for Communities and Local Government,Government Office Network,GO London,GO030,Executive Officer,24730,29277,Executive Officer,2.0
Department for Communities and Local Government,Government Office Network,GO London,GO030,Higher Executive Officer,30858,34274,Higher Executive Officer,3.8
"Department for Environment, Food and Rural Affairs",Government Office Network,GO London,GO030,Grade 7,49363,61151,Grade 7,2.0
Home Office,Government Office Network,GO London,GO030,Grade 7,49363,61151,Grade 7,1.0
Home Office,Government Office Network,GO London,GO030,Higher Executive Officer,30858,34274,Higher Executive Officer,1.0,
Home Office,Government Office Network,GO London,GO030,Senior Information Officer,39619,43219,Senior Information Officer,1.0,Recorded as SEO level on organogram
Department for Business Innovation and Skills,Government Office Network,GO London,GO031,Senior Executive Officer,37612,41762,Senior Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO London,GO031,Executive Officer,24730,29277,Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO London,GO031,Grade 6,58899,73498,Grade 6,0.9,
"Department for Children, Schools and Families",Government Office Network,GO London,GO031,Higher Executive Officer,30858,34274,Higher Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO London,GO031,Executive Officer,24730,29277,Executive Officer,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO London,GO031,Grade 7,49363,61151,Grade 7,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO London,GO031,Higher Executive Officer,30858,34274,Higher Executive Officer,2.0,
Home Office,Government Office Network,GO London,GO031,Grade 7,49363,61151,Grade 7,1.0,
Home Office,Government Office Network,GO London,GO031,Higher Executive Officer,30858,34274,Higher Executive Officer,2.0,
Home Office,Government Office Network,GO London,GO031,Senior Executive Officer,37612,41762,Senior Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO London,GO032,Grade 7,49363,61151,Grade 7,1.0,
Department for Business Innovation and Skills,Government Office Network,GO London,GO032,Higher Executive Officer,30858,34274,Higher Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO London,GO032,Grade 7,49363,61151,Grade 7,3.0,
"Department for Children, Schools and Families",Government Office Network,GO London,GO032,Higher Executive Officer,30858,34274,Higher Executive Officer,3.0,
"Department for Children, Schools and Families",Government Office Network,GO London,GO032,Senior Executive Officer,37612,41762,Senior Executive Officer,2.0
Department for Communities and Local Government,Government Office Network,GO London,GO032,Administrative Officer,21267,23814,Administrative Officer,1.0
Department for Communities and Local Government,Government Office Network,GO London,GO032,Executive Officer,24730,29277,Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO London,GO032,Grade 6,58899,73498,Grade 6,1.0
Department for Communities and Local Government,Government Office Network,GO London,GO032,Grade 7,49363,61151,Grade 7,4.0
Department for Communities and Local Government,Government Office Network,GO London,GO032,Higher Executive Officer,30858,34274,Higher Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO London,GO032,Senior Executive Officer,37612,41762,Senior Executive Officer,0.7
"Department for Environment, Food and Rural Affairs",Government Office Network,GO London,GO032,Executive Officer,24730,29277,Executive Officer,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO London,GO032,Grade 6,58899,73498,Grade 6,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO London,GO032,Grade 7,49363,61151,Grade 7,3.0
Home Office,Government Office Network,GO London,GO032,Higher Executive Officer,30858,34274,Higher Executive Officer,1.0
Ministry of Justice,Government Office Network,GO London,GO032,Grade 7,49363,61151,Grade 7,1.0
"Department for Children, Schools and Families",Government Office Network,GO Network Centre and Services,GO033,Grade 6,58899,73498,Grade 6,1.0
"Department for Children, Schools and Families",Government Office Network,GO Network Centre and Services,GO033,Grade 7,49363,61151,Grade 7,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO Network Centre and Services,GO033,Grade 6,58899,73498,Grade 6,1.0
11 Million,Government Office Network,GO Network Centre and Services,GO034,Grade 6,58899,73498,Grade 6,1.0
"Department for Children, Schools and Families",Government Office Network,GO Network Centre and Services,GO034,Administrative Officer,21267,23814,Administrative Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO Network Centre and Services,GO034,Grade 7,49363,61151,Grade 7,1.0
"Department for Children, Schools and Families",Government Office Network,GO Network Centre and Services,GO034,Senior Executive Officer,37612,41762,Senior Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO Network Centre and Services,GO034,Executive Officer,24730,29277,Executive Officer,2.0
Department for Communities and Local Government,Government Office Network,GO Network Centre and Services,GO034,Grade 7,49363,61151,Grade 7,1.0
Department for Communities and Local Government,Government Office Network,GO Network Centre and Services,GO034,Higher Executive Officer,30858,34274,Higher Executive Officer,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO Network Centre and Services,GO034,Grade 7,49363,61151,Grade 7,1.0
Home Office,Government Office Network,GO Network Centre and Services,GO034,Executive Officer,24730,29277,Executive Officer,1.0
Home Office,Government Office Network,GO Network Centre and Services,GO034,Higher Executive Officer,30858,34274,Higher Executive Officer,3.0
Home Office,Government Office Network,GO Network Centre and Services,GO034,Senior Executive Officer,37612,41762,Senior Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO North East,GO036,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0
"Department for Children, Schools and Families",Government Office Network,GO North East,GO036,Grade 7,44509,54946,Grade 7,1.0
Department for Communities and Local Government,Government Office Network,GO North East,GO036,Administrative Officer,16457,18414,Administrative Officer,1.0
Department for Communities and Local Government,Government Office Network,GO North East,GO036,Executive Officer,19927,23582,Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO North East,GO036,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Department for Transport,Government Office Network,GO North East,GO036,Grade 7,44509,54946,Grade 7,1.0
Department for Business Innovation and Skills,Government Office Network,GO North East,GO037,Executive Officer,19927,23582,Executive Officer,1.8
Department for Business Innovation and Skills,Government Office Network,GO North East,GO037,Grade 7,44509,54946,Grade 7,1.0
Department for Business Innovation and Skills,Government Office Network,GO North East,GO037,Higher Executive Officer,26676,29599,Higher Executive Officer,1.6
Department for Business Innovation and Skills,Government Office Network,GO North East,GO037,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0
"Department for Children, Schools and Families",Government Office Network,GO North East,GO037,Executive Officer,19927,23582,Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO North East,GO037,Grade 6,54490,67506,Grade 6,1.0
"Department for Children, Schools and Families",Government Office Network,GO North East,GO037,Grade 7,44509,54946,Grade 7,1.0
"Department for Children, Schools and Families",Government Office Network,GO North East,GO037,Higher Executive Officer,26676,29599,Higher Executive Officer,1.5
Department for Communities and Local Government,Government Office Network,GO North East,GO037,Grade 7,44509,54946,Grade 7,1.0
Department for Transport,Government Office Network,GO North East,GO037,Administrative Officer,16457,18414,Administrative Officer,0.5
Department for Transport,Government Office Network,GO North East,GO037,Grade 6,54490,67506,Grade 6,1.0
Department for Work and Pensions,Government Office Network,GO North East,GO037,Grade 7,44509,54946,Grade 7,1.0
Home Office,Government Office Network,GO North East,GO037,Grade 7,44509,54946,Grade 7,1.0
Department for Business Innovation and Skills,Government Office Network,GO North East,GO038,Executive Officer,19927,23582,Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO North East,GO038,Grade 7,44509,54946,Grade 7,1.0
Department for Business Innovation and Skills,Government Office Network,GO North East,GO038,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO North East,GO038,Administrative Officer,16457,18414,Administrative Officer,0.6,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO038,Executive Officer,19927,23582,Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO038,Grade 6,54490,67506,Grade 6,1.0,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO038,Grade 7,44509,54946,Grade 7,3.0,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO038,Higher Executive Officer,26676,29599,Higher Executive Officer,4.5,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO038,Senior Executive Officer,32599,36177,Senior Executive Officer,3.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO038,Administrative Officer,16457,18414,Administrative Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO038,Senior Executive Officer,32599,36177,Senior Executive Officer,0.8,
Department for Transport,Government Office Network,GO North East,GO038,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Transport,Government Office Network,GO North East,GO038,Personal Secretary,16457,18414,Personal Secretary,1.0,Recorded as AO level on organogram
Home Office,Government Office Network,GO North East,GO038,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO039,Administrative Officer,16457,18414,Administrative Officer,0.8,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO039,Executive Officer,19927,23582,Executive Officer,5.9,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO039,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO039,Senior Executive Officer,32599,36177,Senior Executive Officer,0.5,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO039,Administrative Officer,16457,18414,Administrative Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO039,Executive Officer,19927,23582,Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO039,Higher Executive Officer,26676,29599,Higher Executive Officer,3.0,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO039,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO039,Administrative Officer,16457,18414,Administrative Officer,5.8,
Department for Communities and Local Government,Government Office Network,GO North East,GO039,Executive Officer,19927,23582,Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO039,Grade 6,54490,67506,Grade 6,1.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO039,Grade 7,44509,54946,Grade 7,3.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO039,Senior Executive Officer,32599,36177,Senior Executive Officer,5.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO039,Senior Planning Officer,40640,45139,Senior Planning Officer,3.0,Recorded as SEO level on organogram
"Department for Environment, Food and Rural Affairs",Government Office Network,GO North East,GO039,Grade 7,44509,54946,Grade 7,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO North East,GO039,Personal Secretary,16457,18414,Personal Secretary,1.0,Recorded as AO level on organogram
Department for Transport,Government Office Network,GO North East,GO039,Administrative Officer,16457,18414,Administrative Officer,1.8,
Department for Transport,Government Office Network,GO North East,GO039,Executive Officer,19927,23582,Executive Officer,2.1,
Department for Transport,Government Office Network,GO North East,GO039,Grade 7,44509,54946,Grade 7,2.0,
Department for Transport,Government Office Network,GO North East,GO039,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0,
Department for Transport,Government Office Network,GO North East,GO039,Senior Professional & Technical Officer,40640,45139,Senior Professional & Technical Officer,1.0,Recorded as SEO level on organogram
Department for Business Innovation and Skills,Government Office Network,GO North East,GO040,Higher Executive Officer,26676,29599,Higher Executive Officer,3.0,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO040,Senior Personal Secretary,19927,23582,Senior Personal Secretary,1.0,Recorded as EO level on organogram
"Department for Children, Schools and Families",Government Office Network,GO North East,GO040,Executive Officer,19927,23582,Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO040,Grade 7,44509,54946,Grade 7,0.9,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO040,Higher Executive Officer,26676,29599,Higher Executive Officer,3.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO040,Administrative Officer,16457,18414,Administrative Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO040,Executive Officer,19927,23582,Executive Officer,5.6,
Department for Communities and Local Government,Government Office Network,GO North East,GO040,Grade 6,54490,67506,Grade 6,1.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO040,Grade 7,44509,54946,Grade 7,2.6,
Department for Communities and Local Government,Government Office Network,GO North East,GO040,Senior Executive Officer,32599,36177,Senior Executive Officer,0.9,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO North East,GO040,Grade 7,44509,54946,Grade 7,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO North East,GO040,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Transport,Government Office Network,GO North East,GO040,Executive Officer,19927,23582,Executive Officer,0.6,
Department for Transport,Government Office Network,GO North East,GO040,Grade 7,44509,54946,Grade 7,1.0,
Department for Transport,Government Office Network,GO North East,GO040,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Transport,Government Office Network,GO North East,GO040,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Home Office,Government Office Network,GO North East,GO040,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Home Office,Government Office Network,GO North East,GO040,Senior Information Officer,37371,40767,Senior Information Officer,0.9,Recorded as SEO level on organogram
Department for Business Innovation and Skills,Government Office Network,GO North East,GO041,Executive Officer,19927,23582,Executive Officer,0.6,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO041,Grade 7,44509,54946,Grade 7,2.0,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO041,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO041,Senior Executive Officer,32599,36177,Senior Executive Officer,4.0,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO041,Grade 6,54490,67506,Grade 6,1.0,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO041,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO041,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO041,Grade 7,44509,54946,Grade 7,1.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO041,Personal Secretary,16457,18414,Personal Secretary,0.8,Recorded as AO level on organogram
Department for Transport,Government Office Network,GO North East,GO041,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Home Office,Government Office Network,GO North East,GO041,Administrative Officer,16457,18414,Administrative Officer,0.4,
Home Office,Government Office Network,GO North East,GO041,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO042,Grade 7,44509,54946,Grade 7,3.0,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO042,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO042,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO North East,GO042,Senior Scientific Officer,40640,45139,Senior Scientific Officer,1.0,Recorded as SEO level on organogram
"Department for Children, Schools and Families",Government Office Network,GO North East,GO042,Executive Officer,19927,23582,Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO042,Grade 7,44509,54946,Grade 7,1.0,
"Department for Children, Schools and Families",Government Office Network,GO North East,GO042,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO042,Executive Officer,19927,23582,Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO042,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO North East,GO042,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0,
Department for Transport,Government Office Network,GO North East,GO042,Grade 7,44509,54946,Grade 7,1.0,
Department for Transport,Government Office Network,GO North East,GO042,Personal Secretary,16457,18414,Personal Secretary,1.0,Recorded as AO level on organogram
"Department for Children, Schools and Families",Government Office Network,GO North West,GO043,Administrative Officer,16457,18414,Administrative Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO043,Executive Officer,19927,23582,Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO043,Grade 6,54490,67506,Grade 6,1.0,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO043,Grade 7,44509,54946,Grade 7,5.0,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO043,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO043,Personal Secretary,16457,18414,Personal Secretary,1.0,Recorded as AO level on organogram
"Department for Children, Schools and Families",Government Office Network,GO North West,GO043,Senior Executive Officer,32599,36177,Senior Executive Officer,1.9
Department for Communities and Local Government,Government Office Network,GO North West,GO043,Administrative Officer,16457,18414,Administrative Officer,2.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO North West,GO043,Administrative Officer,16457,18414,Administrative Officer,1.0
Home Office,Government Office Network,GO North West,GO043,Grade 7,44509,54946,Grade 7,1.0
Home Office,Government Office Network,GO North West,GO043,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO North West,GO044,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0
"Department for Children, Schools and Families",Government Office Network,GO North West,GO044,Executive Officer,19927,23582,Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO North West,GO044,Grade 7,44509,54946,Grade 7,3.0
"Department for Children, Schools and Families",Government Office Network,GO North West,GO044,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO North West,GO044,Higher Executive Officer,26676,29599,Higher Executive Officer,1.8
"Department for Culture, Media and Sport",Government Office Network,GO North West,GO044,Grade 7,44509,54946,Grade 7,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO North West,GO044,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Department for Transport,Government Office Network,GO North West,GO044,Executive Officer,19927,23582,Executive Officer,1.0
Department for Transport,Government Office Network,GO North West,GO044,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Department for Work and Pensions,Government Office Network,GO North West,GO044,Grade 7,44509,54946,Grade 7,1.0
Home Office,Government Office Network,GO North West,GO044,Executive Officer,19927,23582,Executive Officer,1.0
Home Office,Government Office Network,GO North West,GO044,Grade 7,44509,54946,Grade 7,3.0,
Department for Business Innovation and Skills,Government Office Network,GO North West,GO045,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO North West,GO045,Grade 7,44509,54946,Grade 7,2.0,
Department for Business Innovation and Skills,Government Office Network,GO North West,GO045,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0,
Department for Business Innovation and Skills,Government Office Network,GO North West,GO045,Senior Personal Secretary,19927,23582,Senior Personal Secretary,1.0,Recorded as EO level on organogram
"Department for Children, Schools and Families",Government Office Network,GO North West,GO045,Grade 7,44509,54946,Grade 7,1.0,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO045,Higher Executive Officer,26676,29599,Higher Executive Officer,2.4,
Department for Communities and Local Government,Government Office Network,GO North West,GO045,Administrative Officer,16457,18414,Administrative Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO North West,GO045,Grade 7,44509,54946,Grade 7,0.9,
Department for Communities and Local Government,Government Office Network,GO North West,GO045,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO North West,GO045,Grade 6,54490,67506,Grade 6,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO North West,GO045,Grade 7,44509,54946,Grade 7,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO North West,GO045,Higher Professional & Technical Officer,31737,35255,Higher Professional & Technical Officer,1.0,Recorded as HEO level on organogram
"Department for Environment, Food and Rural Affairs",Government Office Network,GO North West,GO045,Senior Executive Officer,32599,36177,Senior Executive Officer,1.5,
Department for Transport,Government Office Network,GO North West,GO045,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Home Office,Government Office Network,GO North West,GO045,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO North West,GO046,Administrative Officer,16457,18414,Administrative Officer,2.0,
Department for Business Innovation and Skills,Government Office Network,GO North West,GO046,Executive Officer,19927,23582,Executive Officer,0.7,
Department for Business Innovation and Skills,Government Office Network,GO North West,GO046,Grade 7,44509,54946,Grade 7,1.0,
Department for Business Innovation and Skills,Government Office Network,GO North West,GO046,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO046,Administrative Officer,16457,18414,Administrative Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO046,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO046,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO North West,GO046,Administrative Officer,16457,18414,Administrative Officer,7.0,
Department for Communities and Local Government,Government Office Network,GO North West,GO046,Executive Officer,19927,23582,Executive Officer,3.6,
Department for Communities and Local Government,Government Office Network,GO North West,GO046,Grade 7,44509,54946,Grade 7,3.0,
Department for Communities and Local Government,Government Office Network,GO North West,GO046,Higher Executive Officer,26676,29599,Higher Executive Officer,4.7,
Department for Communities and Local Government,Government Office Network,GO North West,GO046,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
