Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Total
Ministry of Defence,Ministry of Defence,03/06/2011,IT and communication services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,802462,3150
Ministry of Defence,Ministry of Defence,03/06/2011,Fees for professional services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,802462,7565.7
Ministry of Defence,Ministry of Defence,03/06/2011,IT and communication services,Defence Equipment & Support,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,802462,9000
Ministry of Defence,Ministry of Defence,03/06/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,MCGEOCH TECHNOLOGY LTD,B19 3PA,802491,41551.2
Ministry of Defence,Ministry of Defence,03/06/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,METAL PRODUCTS (ARDEN) LIMITED,WS7 0AE,802498,29405.76
Ministry of Defence,Ministry of Defence,03/06/2011,Rent and rates,Defence Infrastructure Organisation ,NORTH DEVON DISTRICT COUNCIL,EX31 1EA,802588,29671.98
Ministry of Defence,Ministry of Defence,03/06/2011,Purchase of inventory and services ,Defence Equipment & Support,OLDBURY ENGINEERING CO LIMITED,RH6 9HT,802594,58416.06
Ministry of Defence,Ministry of Defence,03/06/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,PACE FUELCARE LIMITED,TW20 9AB,802602,57120
Ministry of Defence,Ministry of Defence,03/06/2011,Purchase of inventory and services ,Defence Equipment & Support,PROMETHEUS MEDICAL LTD,HR6 0PW,802625,31620
Ministry of Defence,Ministry of Defence,03/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,RACAL ACOUSTICS LIMITED,HA1 4TR,802631,154.4
Ministry of Defence,Ministry of Defence,03/06/2011,"Purchase of major spares armaments, medical & general stores",Defence Equipment & Support,ROLLS-ROYCE POWER ENGINEERING PLC,DE24 8BJ,802648,45190
Ministry of Defence,Ministry of Defence,03/06/2011,"Transporation of personnel, freight and travel expenses",Central TLB,SERCO LIMITED,RG27 9UY,802662,25.9
Ministry of Defence,Ministry of Defence,03/06/2011,"Transporation of personnel, freight and travel expenses",Command Joint Operations,SERCO LIMITED,RG27 9UY,802662,41.63
Ministry of Defence,Ministry of Defence,03/06/2011,Purchase of inventory and services ,Central TLB,SERCO LIMITED,RG27 9UY,802662,927.52
Ministry of Defence,Ministry of Defence,03/06/2011,Administration ,Central TLB,SERCO LIMITED,RG27 9UY,802662,983.13
Ministry of Defence,Ministry of Defence,03/06/2011,IT and communication services,Defence Equipment & Support,SERCO LIMITED,RG27 9UY,802662,1750.98
Ministry of Defence,Ministry of Defence,03/06/2011,Food and clothing,Central TLB,SERCO LIMITED,RG27 9UY,802662,1763.71
Ministry of Defence,Ministry of Defence,03/06/2011,Food and clothing,Defence Equipment & Support,SERCO LIMITED,RG27 9UY,802662,2106.44
Ministry of Defence,Ministry of Defence,03/06/2011,Design services and minor equipment purchases,Central TLB,SERCO LIMITED,RG27 9UY,802662,8801.5
Ministry of Defence,Ministry of Defence,03/06/2011,IT and communication services,Central TLB,SERCO LIMITED,RG27 9UY,802662,9567.43
Ministry of Defence,Ministry of Defence,03/06/2011,Estate management,Central TLB,SERCO LIMITED,RG27 9UY,802662,12441.89
Ministry of Defence,Ministry of Defence,03/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,SERCO LIMITED,RG27 9UY,802662,20095.1
Ministry of Defence,Ministry of Defence,03/06/2011,Fees for professional services,Central TLB,SERCO LIMITED,RG27 9UY,802662,36744.05
Ministry of Defence,Ministry of Defence,03/06/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,802662,95058.21
Ministry of Defence,Ministry of Defence,03/06/2011,Estate management,Air Command,SERCO LIMITED,RG27 9UY,802662,815026.19
Ministry of Defence,Ministry of Defence,03/06/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,802671,-2051.65
Ministry of Defence,Ministry of Defence,03/06/2011,Estate management,Defence Equipment & Support,SODEXO LTD,M50 0AL,802671,-33.98
Ministry of Defence,Ministry of Defence,03/06/2011,Externally delivered education and training.,Navy Command,SODEXO LTD,M50 0AL,802671,97.33
Ministry of Defence,Ministry of Defence,03/06/2011,"Transporation of personnel, freight and travel expenses",Navy Command,SODEXO LTD,M50 0AL,802671,1182.27
Ministry of Defence,Ministry of Defence,03/06/2011,Food and clothing,Land Forces,SODEXO LTD,M50 0AL,802671,1621.67
Ministry of Defence,Ministry of Defence,03/06/2011,Food and clothing,Defence Equipment & Support,SODEXO LTD,M50 0AL,802671,28917.14
Ministry of Defence,Ministry of Defence,03/06/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,802688,26399.03
Ministry of Defence,Ministry of Defence,03/06/2011,General services and support,Defence Equipment & Support,STS DEFENCE LIMITED,B64 5QB,802693,22105.31
Ministry of Defence,Ministry of Defence,03/06/2011,IT and communication services,Defence Equipment & Support,SYSTECON (U.K.) LIMITED,DT4 9YY,802697,65570
Ministry of Defence,Ministry of Defence,03/06/2011,IT and communication services,Land Forces,SYSTEMS CONSULTANTS SERVICES  LIMITED,RG7 4SA,802699,43672
Ministry of Defence,Ministry of Defence,03/06/2011,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,RH1 1RX,802724,-169850.95
Ministry of Defence,Ministry of Defence,03/06/2011,Payment of utilities,Navy Command,TOTAL GAS & POWER LIMITED,RH1 1RX,802724,-86465.51
Ministry of Defence,Ministry of Defence,03/06/2011,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,802724,0
Ministry of Defence,Ministry of Defence,03/06/2011,Payment of utilities,Defence Equipment & Support,TOTAL GAS & POWER LIMITED,RH1 1RX,802724,30455.66
Ministry of Defence,Ministry of Defence,03/06/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,802729,-10947.59
Ministry of Defence,Ministry of Defence,03/06/2011,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,802729,132655.7
Ministry of Defence,Ministry of Defence,03/06/2011,Purchase of inventory and services ,Central TLB,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,B29 6JS,802735,5708.33
Ministry of Defence,Ministry of Defence,03/06/2011,Externally delivered education and training.,Central TLB,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,B29 6JS,802735,161412.33
Ministry of Defence,Ministry of Defence,03/06/2011,Medical treatment & stores and welfare services.,Central TLB,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,B29 6JS,802735,447837.01
Ministry of Defence,Ministry of Defence,03/06/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,VEGA CONSULTING SERVICES LTD,AL7 1TW,802741,10436.52
Ministry of Defence,Ministry of Defence,03/06/2011,Design services and minor equipment purchases,Air Command,XMA LTD,NG11 7EP,802757,157.26
Ministry of Defence,Ministry of Defence,03/06/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,802757,633.6
Ministry of Defence,Ministry of Defence,03/06/2011,Purchase of inventory and services ,Command Joint Operations,XMA LTD,NG11 7EP,802757,1490.19
Ministry of Defence,Ministry of Defence,03/06/2011,IT and communication services,Air Command,XMA LTD,NG11 7EP,802757,3207.44
Ministry of Defence,Ministry of Defence,03/06/2011,Purchase of inventory and services ,Central TLB,XMA LTD,NG11 7EP,802757,5106.91
Ministry of Defence,Ministry of Defence,03/06/2011,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,802757,5389.79
Ministry of Defence,Ministry of Defence,03/06/2011,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,802757,5505.07
Ministry of Defence,Ministry of Defence,03/06/2011,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,802757,10519.95
Ministry of Defence,Ministry of Defence,03/06/2011,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,802757,12578.92
Ministry of Defence,Ministry of Defence,03/06/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,SHELL MARINE PRODUCTS LIMITED,SE1 7NA,2000011792,14797779.38
Ministry of Defence,Ministry of Defence,03/06/2011,Estate management,Land Forces,BEZIRKSREGIERUNG DUESSELDORF,,5000057259,1450.83
Ministry of Defence,Ministry of Defence,03/06/2011,Estate management,Defence Infrastructure Organisation ,BEZIRKSREGIERUNG DUESSELDORF,,5000057259,807319.95
Ministry of Defence,Ministry of Defence,03/06/2011,"Adminstration, claims, compensation and awards",Land Forces,BUNDESANSTALT FUER IMMOBLIENAUFGABEN,,5000057262,36412.98
Ministry of Defence,Ministry of Defence,03/06/2011,Payment of utilities,Defence Equipment & Support,BUNDESWEHR DIENSTLEISTUNGSZENTRUM,,5000057263,6634.06
Ministry of Defence,Ministry of Defence,03/06/2011,Estate management,Defence Equipment & Support,BUNDESWEHR DIENSTLEISTUNGSZENTRUM,,5000057263,54629.49
Ministry of Defence,Ministry of Defence,03/06/2011,Payment of utilities,Defence Infrastructure Organisation ,MABANAFT DEUTSCHLAND GMBH,,5000057275,47626.01
Ministry of Defence,Ministry of Defence,03/06/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,OBERFINANZDIREKTION NIEDERSACHSEN,,5000057284,33486.22
Ministry of Defence,Ministry of Defence,03/06/2011,Estate management,Defence Infrastructure Organisation ,OBERFINANZDIREKTION NIEDERSACHSEN,,5000057284,351379.56
Ministry of Defence,Ministry of Defence,03/06/2011,Medical treatment & stores and welfare services.,Land Forces,PROFESSOR DR. MED. BERTIN DUFAUX & PARTNERS T/AS LABOR KRONE,,5000057290,40579.71
Ministry of Defence,Ministry of Defence,03/06/2011,Food and clothing,Land Forces,RANDSTAD DEUTSCHLAND GMBH,,5000057291,25286.2
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Work,Operations,SENSORS UNLIMITED INC.,,V - 0000000611 - 00110255,58352.47
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Research,Programme Office,MBDA UK LIMITED,,V - 0000000668 - 00105756,21280.96
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Research,Programme Office,PHOTONIS FRANCE SAS,,V - 0000000671 - 00104594,99272.57
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Research,Programme Office,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000133185 - 00110480,31030
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Work,Operations,RAYTHEON SYSTEMS LIMITED,,V - 9000133188 - 00110547,180000
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Work,Programme Office,DETICA LIMITED,,V - 9000133190 - 00109298,174601.99
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Work,Programme Office,DETICA LIMITED,,V - 9000133190 - 00110263,111914.01
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Work,Operations,THALES AIR DEFENCE LIMITED,,V - 9000133195 - 00107349,58227.48
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Research,Programme Office,ROLLS ROYCE PLC,,V - 9000133196 - 00106185,443012
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Research,Programme Office,ROLLS ROYCE PLC,,V - 9000133196 - 00108032,-443012
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Work,Operations,UNIVERSITY OF HULL,,V - 9000133206 - 00107931,54977.12
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Contracted out Office Services,Operations,HEALTH PROTECTION AGENCY,,V - 9000133207 - 00109799,25000
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,IT Software,Infrastructure,ORACLE CORPORATION UK LIMITED,,V - 9000133208 - 00110112,240221.42
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Work,Operations,KINGS COLLEGE LONDON,,V - 9000133209 - 00110321,21030
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Work,Operations,IMPERIAL COLLEGE LONDON,,V - 9000133254 - 00110043,37654.89
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Contracted out Office Services,Corporate,ICS COMPUTING LIMITED,,V - 9000133255 - 00107976,22224.9
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Facility Management Costs,Infrastructure,CB RICHARD ELLIS,,V - 9000133267 - 00110543,11474.4
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Rent/Lease of Land & Bldgs,Infrastructure,CB RICHARD ELLIS,,V - 9000133267 - 00110543,16800
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000133275 - 00106553,75254
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 9000133275 - 00110478,37959.63
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 9000133275 - 00110499,689744.75
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Repairs & Maintenance,Infrastructure,SERCO LIMITED,,V - 9000133277 - 00108304,27435.9
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Repairs & Maintenance,Infrastructure,SERCO LIMITED,,V - 9000133277 - 00109098,32461.4
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Repairs & Maintenance,Infrastructure,SERCO LIMITED,,V - 9000133277 - 00109956,42851.61
Ministry of Defence,Defence Science and Technology Laboratory,03/06/2011,Sub Contracted Research,Programme Office,ATLAS ELEKTRONIK UK LIMITED,,V - 9000133278 - 00110500,114918.95
Ministry of Defence,Ministry of Defence,04/06/2011,Estate management,Central TLB,NCMA,,CO AP03 017,63513.55
Ministry of Defence,Ministry of Defence,06/06/2011,Preparation of land & buildings for disposal,Defence Infrastructure Organisation ,DEPARTMENT FOR REGIONAL DEVELOPMENT,BT1 9DJ,32538,2330.84
Ministry of Defence,Ministry of Defence,06/06/2011,Payment of utilities,Defence Infrastructure Organisation ,DEPARTMENT FOR REGIONAL DEVELOPMENT,BT1 9DJ,32538,33856.55
Ministry of Defence,Ministry of Defence,06/06/2011,Payment of utilities,Defence Infrastructure Organisation ,FIRMUS ENERGY (SUPPLY) LIMITED,BT41 4NN,32539,74383.42
Ministry of Defence,Ministry of Defence,06/06/2011,IT and communication services,Defence Equipment & Support,MICROSOFT LTD,,32545,4376517
Ministry of Defence,Ministry of Defence,06/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,MEGGITT (UK) LIMITED,RG22 4BS,160496,57600
Ministry of Defence,Met Office,06/06/2011,Plant And Equipment,Chief Financial Officer,Mitie Infrastructure Ltd,,308184,36847.51
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,802769,53.97
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,802769,427.05
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,CV2 2TX,802769,682.33
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,802769,1659.3
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,802769,11130.53
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,802769,27247.26
Ministry of Defence,Ministry of Defence,06/06/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,ANTEON LIMITED,PE1 5FL,802799,178200
Ministry of Defence,Ministry of Defence,06/06/2011,Estate management,Air Command,AVENANCE PLC,SK11 6ET,802812,74.75
Ministry of Defence,Ministry of Defence,06/06/2011,Estate management,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,802812,44387.87
Ministry of Defence,Ministry of Defence,06/06/2011,Food and clothing,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,802812,185947.49
Ministry of Defence,Ministry of Defence,06/06/2011,Design services and minor equipment purchases,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,802822,14.44
Ministry of Defence,Ministry of Defence,06/06/2011,Transport hire charges,Defence Infrastructure Organisation ,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,802822,315
Ministry of Defence,Ministry of Defence,06/06/2011,Design services and minor equipment purchases,Command Joint Operations,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,802822,814.04
Ministry of Defence,Ministry of Defence,06/06/2011,Design services and minor equipment purchases,Defence Infrastructure Organisation ,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,802822,1342.14
Ministry of Defence,Ministry of Defence,06/06/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,802822,1721.47
Ministry of Defence,Ministry of Defence,06/06/2011,Transport hire charges,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,802822,1731.45
Ministry of Defence,Ministry of Defence,06/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,802822,5233.01
Ministry of Defence,Ministry of Defence,06/06/2011,Transport hire charges,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,802822,7620.08
Ministry of Defence,Ministry of Defence,06/06/2011,Design services and minor equipment purchases,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,802822,8244.37
Ministry of Defence,Ministry of Defence,06/06/2011,Transport hire charges,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,802822,10962.81
Ministry of Defence,Ministry of Defence,06/06/2011,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,802822,17261.46
Ministry of Defence,Ministry of Defence,06/06/2011,Design services and minor equipment purchases,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,802822,48861.04
Ministry of Defence,Ministry of Defence,06/06/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,802822,52205.45
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Land Forces,BOC LIMITED,M28 2UT,802843,1886.69
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Command Joint Operations,BOC LIMITED,M28 2UT,802843,4035.7
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Defence Equipment & Support,BOC LIMITED,M28 2UT,802843,4322.11
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Air Command,BOC LIMITED,M28 2UT,802843,6528.4
Ministry of Defence,Ministry of Defence,06/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,BRIGGS MARINE CONTRACTORS LIMITED,KY3 9AU,802850,121793.08
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,C-PLAN TELECOMMUNICATIONS LIMITED,EH52 5NE,802864,49742.71
Ministry of Defence,Ministry of Defence,06/06/2011,General services and support,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,802872,100.97
Ministry of Defence,Ministry of Defence,06/06/2011,IT and communication services,Land Forces,CANON (UK) LIMITED,RH2 8BF,802872,187.75
Ministry of Defence,Ministry of Defence,06/06/2011,Administration ,Central TLB,CANON (UK) LIMITED,RH2 8BF,802872,272.41
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,CANON (UK) LIMITED,RH2 8BF,802872,386.42
Ministry of Defence,Ministry of Defence,06/06/2011,Administration ,Land Forces,CANON (UK) LIMITED,RH2 8BF,802872,509.96
Ministry of Defence,Ministry of Defence,06/06/2011,"Adminstration, claims, compensation and awards",Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,802872,558.04
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Central TLB,CANON (UK) LIMITED,RH2 8BF,802872,686.74
Ministry of Defence,Ministry of Defence,06/06/2011,IT and communication services,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,802872,890.51
Ministry of Defence,Ministry of Defence,06/06/2011,Estate management,Defence Infrastructure Organisation ,CANON (UK) LIMITED,RH2 8BF,802872,1241.57
Ministry of Defence,Ministry of Defence,06/06/2011,"Adminstration, claims, compensation and awards",Land Forces,CANON (UK) LIMITED,RH2 8BF,802872,1268.42
Ministry of Defence,Ministry of Defence,06/06/2011,Estate management,Air Command,CANON (UK) LIMITED,RH2 8BF,802872,1386.06
Ministry of Defence,Ministry of Defence,06/06/2011,Rental of plant and machinery,Land Forces,CANON (UK) LIMITED,RH2 8BF,802872,1668.25
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Air Command,CANON (UK) LIMITED,RH2 8BF,802872,2344.68
Ministry of Defence,Ministry of Defence,06/06/2011,Administration ,Air Command,CANON (UK) LIMITED,RH2 8BF,802872,4234.7
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Land Forces,CANON (UK) LIMITED,RH2 8BF,802872,5203.96
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,802872,6799.38
Ministry of Defence,Ministry of Defence,06/06/2011,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,802878,166102.65
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,802878,1515142.92
Ministry of Defence,Ministry of Defence,06/06/2011,Medical treatment & stores and welfare services.,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,802882,402.06
Ministry of Defence,Ministry of Defence,06/06/2011,Estate management,Defence Infrastructure Organisation ,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,802900,11279.88
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,802920,416419.93
Ministry of Defence,Ministry of Defence,06/06/2011,Fuel for military use,Land Forces,DEFENCE SUPPORT GROUP  (DSG),SP11 8HT,802922,222.44
Ministry of Defence,Ministry of Defence,06/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SUPPORT GROUP  (DSG),SP11 8HT,802923,134701.64
Ministry of Defence,Ministry of Defence,06/06/2011,Fees for professional services,Land Forces,EXPLOSIVE LEARNING SOLUTIONS LIMITED,OX11 0SG,802968,43045
Ministry of Defence,Ministry of Defence,06/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,HALE HAMILTON (VALVES) LTD,UB8 2AF,803002,26197
Ministry of Defence,Ministry of Defence,06/06/2011,IT and communication services,Defence Equipment & Support,IBM UNITED KINGDOM LIMITED,PO6 3AE,803022,94319.01
Ministry of Defence,Ministry of Defence,06/06/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,K.C. TRANSPORT,BH16 5ED,803044,6080
Ministry of Defence,Ministry of Defence,06/06/2011,"Transporation of personnel, freight and travel expenses",Land Forces,K.C. TRANSPORT,BH16 5ED,803044,31470
Ministry of Defence,Ministry of Defence,06/06/2011,Fees for professional services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,803049,5175
Ministry of Defence,Ministry of Defence,06/06/2011,IT and communication services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,803049,14880
Ministry of Defence,Ministry of Defence,06/06/2011,IT and communication services,Defence Equipment & Support,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,803049,29740.5
Ministry of Defence,Ministry of Defence,06/06/2011,IT and communication services,Defence Equipment & Support,LOCKHEED MARTIN UK LIMITED,GU14 6TQ,803060,599189
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,LYRECO UK LTD,TF2 7NB,803069,89.05
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Central TLB,LYRECO UK LTD,TF2 7NB,803069,990.92
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Navy Command,LYRECO UK LTD,TF2 7NB,803069,1266.96
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Defence Equipment & Support,LYRECO UK LTD,TF2 7NB,803069,2169.62
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Air Command,LYRECO UK LTD,TF2 7NB,803069,3595.07
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of inventory and services ,Land Forces,LYRECO UK LTD,TF2 7NB,803069,15981.73
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,MEGGITT TRAINING SYSTEMS INC,,803086,1226583.75
Ministry of Defence,Ministry of Defence,06/06/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,803096,74787.24
Ministry of Defence,Ministry of Defence,06/06/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,PENTALVER TRANSPORT LTD,SO15 1AW,803201,3762.5
Ministry of Defence,Ministry of Defence,06/06/2011,Design services and minor equipment purchases,Navy Command,PERKINELMER LAS (U K) LTD,HP9 2FX,803203,149884
Ministry of Defence,Ministry of Defence,06/06/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,803222,1796535.84
Ministry of Defence,Ministry of Defence,06/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,803225,10806.91
Ministry of Defence,Ministry of Defence,06/06/2011,Externally delivered education and training.,Air Command,RIGHT MANAGEMENT LIMITED,EC4N 7BE,803240,23471.68
Ministry of Defence,Ministry of Defence,06/06/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,ROLLALONG LIMITED,BH21 6SF,803246,168988.82
Ministry of Defence,Ministry of Defence,06/06/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,ROLLS-ROYCE POWER ENGINEERING PLC,DE24 8BJ,803250,17280
Ministry of Defence,Ministry of Defence,06/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,ROLLS-ROYCE POWER ENGINEERING PLC,DE24 8BJ,803250,45174
Ministry of Defence,Ministry of Defence,06/06/2011,IT and communication services,Navy Command,S.COM GROUP LTD,LU1 3BA,803261,14935
Ministry of Defence,Ministry of Defence,06/06/2011,Administration ,Central TLB,SERCO LIMITED,RG27 9UY,803273,315.63
Ministry of Defence,Ministry of Defence,06/06/2011,"Transporation of personnel, freight and travel expenses",Central TLB,SERCO LIMITED,RG27 9UY,803273,394.98
