ALB,Supplier,Net Amount £,Public Sector Procurement Expenditure Survey Category 
Thurrock Thames Gateway Development Corporation,Royal Opera House,"150,000.00",PROPERTY SERVICES / ESTATES CONSULTANCY
Thurrock Thames Gateway Development Corporation,David Lock Associates Limited,"163,266.26",TECHNICAL CONSULTANCY
Thurrock Thames Gateway Development Corporation,Thurrock Borough Council,"165,480.99",ACCOMMODATION SERVICES
Thurrock Thames Gateway Development Corporation,Urban Practitioners,"167,470.66",PROPERTY SERVICES / ESTATES CONSULTANCY
Thurrock Thames Gateway Development Corporation,Paul Shadarevian,"172,078.73",LEGAL CONSULTANCY
Thurrock Thames Gateway Development Corporation,Oxford Retail Consultants,"178,782.83",PROPERTY SERVICES / ESTATES CONSULTANCY
Thurrock Thames Gateway Development Corporation,DSV ROAD LTD,"202,655.14",ACCOMMODATION SERVICES
Thurrock Thames Gateway Development Corporation,AW Hardy & Co Limited,"234,585.00",MAIN CONTRACTORS
Thurrock Thames Gateway Development Corporation,Haynes and Smith Ltd,"310,976.05",MAIN CONTRACTORS
Thurrock Thames Gateway Development Corporation,EVERSHEDS,"316,856.87",LEGAL CONSULTANCY
Thurrock Thames Gateway Development Corporation,Denton Wilde Sapte,"452,311.25",LEGAL CONSULTANCY
Thurrock Thames Gateway Development Corporation,Capita Symonds Ltd,"570,384.32",TECHNICAL CONSULTANCY
Thurrock Thames Gateway Development Corporation,VOLKER FITZPATICK,"681,559.27",MAIN CONTRACTOR
Thurrock Thames Gateway Development Corporation,Urban Initiatives Ltd,"701,620.27",PROPERTY SERVICES / ESTATES CONSULTANCY
