,Mean,,,,0%,93%,0%,7%,0%,78%,15%,7%,20,77%,3.0,
N.B. This includes biofuels from UK feedstocks which have been sold into the UK road fuel market.  UK biofuel feedstocks sold abroad are not included.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Table 9: Data capture,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Biofuel type,Data capture: feedstock known,Data capture: country known,Data capture: land use known,Data capture: standard known,Data capture: AVERAGE,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fuel type,Biodiesel,98%,93%,95%,92%,94%,,,,,,,,,,
,Bioethanol,97%,96%,90%,8%,73%,,,,,,,,,,
,Biogas,100%,100%,100%,100%,100%,,,,,,,,,,
,Total biofuel,98%,94%,93%,55%,85%,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Table 10: Accuracy Level,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Biofuel type,Level 0 - Fuel default,Level 1 - Feedstock default,Level 2 - Process default,"Level 3 - Actual data for transport, drying and storage, fuel depot or filling station",Level 4 - Actual data for process module,Level 5 - NUTS2 or other regional cultivation emissions,Level 6 - Actual ‘collected’ cultivation data,Level 7 - Actual data provided for the entire fuel chain,ACCURACY LEVEL: AVERAGE,,,,,,,,,,
Fuel type,Biodiesel,2%,63%,18%,1%,0%,16%,0%,0%,1.8,,,,,,,,,,
,Bioethanol,3%,5%,9%,7%,10%,10%,5%,51%,5.2,,,,,,,,,,
,Biogas,0%,0%,0%,0%,0%,27%,0%,73%,6.5,,,,,,,,,,
,Total Biofuel,2%,37%,14%,3%,4%,13%,2%,23%,3.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,

RTFO report for the pre-RED implementation part of Year 4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Verified data for the obligation years 2008/09, 2009/10 and 2010/11 and provisional data for obligation year 2011/12",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Table 11: Trends,,,,,,,,,,,,,,,,,,,,
,,,,,Proportion meeting an environmental standard,,,,,Greenhouse gas saving,,,,Data capture,,,,,,
,,Month,"Volume, 
litres or kg",Volume,RTFO,QS,Env. Std. Target,± Target,,Saving,Target,± Target,,Feedstock,Country of origin,Previous land use,Standard,Average data capture,Target,± Target
,Year 1,1,"86,983,639",87.0 m l,5%,14%,30%,-11%,,43%,40%,3%,,97%,69%,51%,23%,60%,50%,10%
,,2,"122,708,284",122.7 m l,3%,19%,30%,-8%,,48%,40%,8%,,97%,80%,55%,27%,65%,50%,15%
,,3,"110,562,859",110.6 m l,4%,19%,30%,-8%,,47%,40%,7%,,98%,82%,55%,29%,66%,50%,16%
,,4,"112,609,421",112.6 m l,4%,20%,30%,-7%,,47%,40%,7%,,98%,80%,55%,36%,67%,50%,17%
,,5,"117,492,397",117.5 m l,4%,11%,30%,-15%,,46%,40%,6%,,100%,85%,60%,27%,68%,50%,18%
,,6,"116,848,541",116.8 m l,6%,18%,30%,-7%,,48%,40%,8%,,100%,85%,51%,31%,67%,50%,17%
,,7,"117,891,585",117.9 m l,13%,5%,30%,-12%,,43%,40%,3%,,100%,81%,60%,30%,68%,50%,18%
,,8,"112,111,217",112.1 m l,11%,9%,30%,-10%,,45%,40%,5%,,99%,80%,56%,28%,66%,50%,16%
,,9,"94,166,410",94.2 m l,8%,10%,30%,-12%,,47%,40%,7%,,100%,82%,62%,35%,70%,50%,20%
,,10,"96,400,546",96.4 m l,13%,8%,30%,-9%,,45%,40%,5%,,100%,82%,62%,30%,69%,50%,19%
,,11,"88,545,305",88.5 m l,17%,15%,30%,3%,,52%,40%,12%,,100%,82%,67%,40%,72%,50%,22%
,,12,"107,232,464",107.2 m l,9%,14%,30%,-6%,,53%,40%,13%,,99%,85%,63%,29%,69%,50%,19%
,Year 2,13,"103,367,499",103.4 m l,10%,20%,50%,-21%,,47%,45%,2%,,96%,85%,77%,39%,74%,70%,4%
,,14,"104,848,340",104.8 m l,14%,23%,50%,-13%,,51%,45%,6%,,92%,78%,68%,39%,69%,70%,-1%
,,15,"122,102,634",122.1 m l,16%,21%,50%,-14%,,52%,45%,7%,,96%,87%,77%,44%,76%,70%,6%
,,16,"119,988,509",120.0 m l,15%,21%,50%,-13%,,53%,45%,8%,,96%,86%,77%,43%,75%,70%,5%
,,17,"128,484,399",128.5 m l,14%,18%,50%,-18%,,50%,45%,5%,,94%,85%,66%,37%,70%,70%,0%
,,18,"131,647,133",131.6 m l,17%,21%,50%,-12%,,51%,45%,6%,,96%,85%,66%,42%,72%,70%,2%
,,19,"127,393,716",127.4 m l,17%,16%,50%,-16%,,52%,45%,7%,,97%,82%,66%,35%,70%,70%,0%
,,20,"137,456,413",137.5 m l,18%,15%,50%,-17%,,52%,45%,7%,,99%,86%,72%,40%,74%,70%,4%
,,21,"127,794,601",127.8 m l,13%,10%,50%,-27%,,48%,45%,3%,,92%,83%,62%,28%,66%,70%,-4%
,,22,"145,582,184",145.6 m l,12%,15%,50%,-23%,,51%,45%,6%,,98%,93%,72%,33%,74%,70%,4%
,,23,"142,822,810",142.8 m l,16%,13%,50%,-21%,,50%,45%,5%,,95%,92%,75%,33%,74%,70%,4%
,,24,"177,000,412",177.0 m l,10%,16%,50%,-24%,,50%,45%,5%,,94%,91%,72%,31%,72%,70%,2%
,Year 3,25,"140,904,353",140.9 m l,12%,26%,80%,-41%,,49%,50%,-1%,,97%,95%,79%,47%,80%,90%,-10%
,,26,"150,914,009",150.9 m l,4%,30%,80%,-46%,,46%,50%,-4%,,96%,96%,79%,36%,77%,90%,-13%
,,27,"134,736,373",134.7 m l,9%,33%,80%,-39%,,52%,50%,2%,,97%,96%,84%,45%,81%,90%,-9%
,,28,"148,737,809",148.7 m l,13%,36%,80%,-31%,,52%,50%,2%,,95%,94%,74%,50%,78%,90%,-12%
,,29,"146,916,214",146.9 m l,3%,40%,80%,-38%,,50%,50%,0%,,92%,91%,86%,42%,78%,90%,-12%
,,30,"155,878,676",155.9 m l,9%,52%,80%,-19%,,60%,50%,10%,,99%,99%,95%,61%,89%,90%,-1%
,,31,"122,109,116",122.1 m l,10%,56%,80%,-14%,,62%,50%,12%,,100%,100%,95%,70%,91%,90%,1%
,,32,"104,243,428",104.2 m l,14%,58%,80%,-7%,,67%,50%,17%,,100%,100%,98%,75%,93%,90%,3%
,,33,"101,773,716",101.8 m l,3%,59%,80%,-18%,,65%,50%,15%,,100%,100%,98%,64%,90%,90%,0%
,,34,"99,424,956",99.4 m l,1%,57%,80%,-22%,,63%,50%,13%,,100%,100%,92%,58%,87%,90%,-3%
,,35,"98,480,596",98.5 m l,2%,54%,80%,-24%,,67%,50%,17%,,100%,100%,91%,57%,87%,90%,-3%
,,36,"113,337,316",113.3 m l,1%,63%,80%,-16%,,69%,50%,19%,,100%,100%,94%,65%,90%,90%,0%
,Year 4,37,"110,534,131",110.5 m l,1%,53%,n/a,n/a,,67%,n/a,n/a,,100%,100%,99%,54%,88%,n/a,n/a
,,38,"98,783,892",98.8 m l,0%,46%,n/a,n/a,,64%,n/a,n/a,,100%,100%,98%,46%,86%,n/a,n/a
,,39,"121,337,010",121.3 m l,0%,52%,n/a,n/a,,61%,n/a,n/a,,97%,95%,94%,52%,84%,n/a,n/a
,,40,"136,512,243",136.5 m l,0%,58%,n/a,n/a,,64%,n/a,n/a,,99%,94%,94%,59%,86%,n/a,n/a
,,41,"149,710,191",149.7 m l,0%,57%,n/a,n/a,,64%,n/a,n/a,,99%,95%,94%,57%,86%,n/a,n/a
,,42,"142,144,456",142.1 m l,0%,55%,n/a,n/a,,63%,n/a,n/a,,99%,94%,90%,58%,85%,n/a,n/a
,,43,"136,161,635",136.2 m l,0%,55%,n/a,n/a,,60%,n/a,n/a,,92%,88%,87%,60%,82%,n/a,n/a
,,44,"87,923,311",87.9 m l,0%,43%,n/a,n/a,,53%,n/a,n/a,,94%,89%,87%,49%,80%,n/a,n/a
,,45,,,,,,,,,,,,,,,,,,
,,46,,,,,,,,,,,,,,,,,,
,,47,,,,,,,,,,,,,,,,,,
,,48,,,,,,,,,,,,,,,,,,
,"* The previous adminstration set targets for individual suppliers on the three criteria reported on here. These targets ended in April 2011. For consistency we have reported on performance against the same metrics for the period up to the implementation of the mandatory sustainability criteria, contained in the Renewable Energy Directive, i.e. for fuel supplied between 15/04/2011 and 14/12/2011.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,

RTFO report for the pre-RED implementation part of Year 4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Provisional data for the 2011/12 obligation year to date,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Table 12: Carbon and sustainability data for biofuels by fuel type, feedstock, country of origin, and previous land-use.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Biofuel type,Feedstock,Country of origin,Previous land-use,"Volume, 
l or kg","Volume, million l or million kg","Volume, 
%",Proportion meeting an environmental standard,,,,Proportion meeting a social standard,,,,"Carbon intensity, 
g(CO2e)/MJ","Greenhouse gas saving, %","Accuracy level,
(0-7)",,
,,,,,,,,RTFO,Qualifying Standards,Other standards,None/ unknown,RTFO,Qualifying Standards,Other standards,None/ unknown,,,,,
,,,,,,,,,,,,,,,,,,,,
,Biodiesel,Oilseed rape,Australia,Unknown,"1,906,370",1.9 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1.0,,
,,,France,Cropland - protection status unknown,"1,002,721",1.0 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1.0,,
,,,,Unknown,"2,973,534",3.0 m l,0%,0%,0%,4%,96%,0%,0%,4%,96%,52,38%,1.0
,,,Germany,Cropland - protection status unknown,"3,316,512",3.3 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1.0
,,,,Unknown,"74,719",0.1 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1.0
,,,,Cropland - non-protected,"102,322",0.1 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1.0
,,,Netherlands,Cropland - protection status unknown,"34,080",0.0 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1.0
,,,,Cropland - non-protected,"281,699",0.3 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1.0
,,,Poland,Cropland - protection status unknown,"2,375,122",2.4 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1.0
,,,,Unknown,"875,744",0.9 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1.0
,,,Ukraine,Cropland - protection status unknown,"850,139",0.9 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,2.0
,,,,Cropland - non-protected,"412,407",0.4 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1.0
,,,United Kingdom,Cropland - protection status unknown,"55,260",0.1 m l,0%,0%,100%,0%,0%,0%,0%,100%,0%,36,57%,1.0
,,,,Unknown,"7,527,580",7.5 m l,1%,0%,92%,0%,8%,0%,0%,92%,8%,52,38%,1.9
,,,,Cropland - non-protected,"59,619",0.1 m l,0%,0%,87%,0%,13%,0%,0%,87%,13%,38,55%,1.9
,,Palm,Indonesia,Cropland - protection status unknown,"1,417,445",1.4 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,68,19%,1.0
,,,,Cropland - non-protected,"8,553",0.0 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,68,19%,1.0
,,,Malaysia,Cropland - protection status unknown,"3,462,449",3.5 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,62,26%,1.0
,,Soy,Argentina,Cropland - protection status unknown,"10,862,174",10.9 m l,1%,0%,0%,0%,100%,0%,0%,0%,100%,58,31%,1.0
,,,,Unknown,"3,570,225",3.6 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,58,31%,1.0
,,,Brazil,Cropland - protection status unknown,"817,741",0.8 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,58,31%,1.0
,,,United States,By-product,"988,503",1.0 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,58,31%,1.0
,,,,Cropland - protection status unknown,"136,320",0.1 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,58,31%,1.0
,,Used cooking oil,Austria,By-product,"2,300,723",2.3 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.5
,,,Belgium,By-product,"10,373,031",10.4 m l,1%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.3
,,,Canada,By-product,"22,112,797",22.1 m l,2%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0
,,,Chile,By-product,"1,163,788",1.2 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5.0
,,,Czech Republic,By-product,"103,588",0.1 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.9
,,,Denmark,By-product,"1,421,433",1.4 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,84%,2.7
,,,Finland,By-product,"2,363,026",2.4 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,84%,1.9
,,,France,By-product,"2,819,334",2.8 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.5
,,,Germany,By-product,"57,961,918",58.0 m l,6%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.3
,,,"Ireland, Republic of",By-product,"3,120,150",3.1 m l,0%,0%,97%,0%,3%,0%,97%,0%,3%,14,83%,1.6
,,,Italy,By-product,"4,070,899",4.1 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,15,82%,1.5
,,,Luxembourg,By-product,"144,305",0.1 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.2
,,,Malaysia,By-product,"140,167",0.1 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0
,,,Netherlands,By-product,"152,924,237",152.9 m l,16%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.2
,,,Poland,By-product,"1,592,184",1.6 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.1
,,,Portugal,By-product,"171,301",0.2 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,2.0
,,,Spain,By-product,"20,752,113",20.8 m l,2%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.8
,,,Sweden,By-product,"114,000",0.1 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5.0
,,,Switzerland,By-product,"166,264",0.2 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0
,,,United Kingdom,By-product,"89,119,635",89.1 m l,9%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,3.2
,,,United States,By-product,"87,976,407",88.0 m l,9%,0%,100%,0%,0%,0%,100%,0%,0%,14,84%,2.9
,,,Unknown,By-product,"27,565,589",27.6 m l,3%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0
,,,South Africa,By-product,"128,054",0.1 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5.0
,,,Slovakia,By-product,"667,420",0.7 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.5
,,,Saudi Arabia,By-product,"46,141",0.0 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5.0
,,,United Arab Emirates,By-product,"65,458",0.1 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5.0
,,,Croatia,By-product,"98,607",0.1 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,2.0
,,Unknown,Denmark,Unknown,"220,608",0.2 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,93,-11%,0.0
,,,Unknown,Unknown,"10,784,384",10.8 m l,1%,0%,0%,0%,100%,0%,0%,0%,100%,93,-11%,0.0
,,Tallow - category 3 or unknown,Austria,By-product,"320,428",0.3 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,18,79%,1.0
,,,Finland,By-product,"2,418",0.0 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0
,,,Netherlands,By-product,"90,392",0.1 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,18,79%,1.2
,,,United Kingdom,By-product,"4,006,334",4.0 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,18,79%,1.8
,,Tallow - except category 3,United Kingdom,By-product,"90,192",0.1 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0
,,Tallow - category 1,United Kingdom,By-product,"14,027",0.0 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0
,Bioethanol,Barley,Sweden,Cropland - protection status unknown,"239,991",0.2 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,30,64%,5.0
,,,Unknown,Cropland - protection status unknown,"2,712,226",2.7 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,77,8%,1.0
,,Corn EC,France,Cropland - protection status unknown,"15,047,933",15.0 m l,2%,0%,0%,0%,100%,0%,0%,0%,100%,47,44%,3.4
,,,Hungary,Cropland - protection status unknown,"880,164",0.9 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,39,53%,4.7
,,,Netherlands,Cropland - protection status unknown,"1,533,552",1.5 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,46,45%,4.0
,,,Romania,Cropland - protection status unknown,"185,141",0.2 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,55,35%,1.9
,,,Serbia,Cropland - protection status unknown,"48,611",0.0 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,54,35%,2.0
,,,Spain,Cropland - protection status unknown,"17,278,885",17.3 m l,2%,0%,0%,0%,100%,0%,0%,0%,100%,37,55%,4.3
,,,United Kingdom,Cropland - protection status unknown,376,0.0 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,54,35%,1.9
,,Corn Non EC,United States,Cropland - protection status unknown,"60,145,417",60.1 m l,6%,0%,8%,20%,72%,0%,8%,20%,72%,54,35%,3.7
,,,,Unknown,"29,626,668",29.6 m l,3%,0%,7%,0%,93%,0%,7%,0%,93%,53,36%,2.5
,,,,Cropland - non-protected,"246,039,595",246.0 m l,25%,0%,0%,2%,98%,0%,0%,2%,98%,43,48%,6.6
,,,,Cropland - protected,"1,516",0.0 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,39,53%,5.0
,,Molasses,Sudan,By-product,"7,543",0.0 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,61,27%,1.0
,,Sugar beet,United Kingdom,Cropland - non-protected,"6,988,280",7.0 m l,1%,0%,100%,0%,0%,0%,0%,100%,0%,31,62%,2.6
,,Sugar cane,Brazil,Cropland - non-protected,"921,486",0.9 m l,0%,-*,-*,-*,-*,-*,-*,-*,-*,24,71%,1.0
,,Wheat,France,Cropland - protection status unknown,"1,673,961",1.7 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,61,27%,1.9
,,,Hungary,Cropland - protection status unknown,246,0.0 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,61,27%,2.0
,,,Netherlands,Cropland - protection status unknown,"5,392,136",5.4 m l,1%,0%,0%,0%,100%,0%,0%,0%,100%,50,40%,4.0
,,,Romania,Cropland - protection status unknown,32,0.0 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,61,27%,1.9
,,,Serbia,Cropland - protection status unknown,93,0.0 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,62,26%,1.8
,,,Sweden,Cropland - protection status unknown,"2,142,679",2.1 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,30,64%,5.0
,,,United Kingdom,Cropland - protection status unknown,"10,306,908",10.3 m l,1%,0%,38%,0%,62%,0%,0%,38%,62%,37,56%,2.8
,,,,Unknown,"982,888",1.0 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,44,47%,2.0
,,,,Cropland - protected / protection status unknown,"297,218",0.3 m l,0%,0%,0%,100%,0%,0%,0%,100%,0%,44,47%,2.0
,,,Unknown,Cropland - protection status unknown,"275,481",0.3 m l,0%,0%,0%,0%,100%,0%,0%,0%,100%,70,16%,1.0
,,Unknown,Unknown,Unknown,"13,508,018",13.5 m l,1%,0%,0%,0%,100%,0%,0%,0%,100%,115,-37%,0.0
,,Sweet sorghum,United States,Cropland - non-protected,"18,354,318",18.4 m l,2%,0%,0%,0%,100%,0%,0%,0%,100%,50,40%,6.1
,Biogas,Municipal organic waste,United Kingdom,By-product,"392,917",0.4 m l,0%,0%,100%,0%,0%,0%,100%,0%,0%,27,68%,6.5
,Total,,,,"983,106,869",983.1 m l,100%,,,,,,,,,,,
,Mean,,,,,,,0%,53%,2%,45%,0%,51%,4%,45%,32,62%,3.3
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"* Under the RTFO Order, these reports must not contain information from which the volumes of fuel being reported by individual suppliers might be derived. To protect the volumes of individual suppliers certain quantities of fuel reported as meeting the Qualifying Standard or RTFO Meta-Standard have been removed from the RTFO figures. In this report, all fuel meeting the Qualifying Standard or Meta-Standard has been included in the overall RTFO figures, but some has still been excluded from the reporting by feedstock and country. The figures by country and feedstock do not therefore tally exactly with the overall figures.",,,,,,,,,,,,,,,,,

RTFO report for the pre-RED implementation part of Year 4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Provisional data for the 2011/12 obligation year to date,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Table 13: Company data on carbon and sustainability criteria.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Company,Proportion in each previous land-use category1,,,,,,Proportion meeting an environmental standard,,,Proportion meeting a social standard,,,"Carbon intensity, g(CO2e)/MJ","Greenhouse gas saving, %","Accuracy level,
(0-7)","Data capture, 
%",
,,By-product,Cropland - non-protected,Cropland - protected,Cropland - protected / protection status unknown,Cropland - protection status unknown,Unknown,RTFO+QS,"Other 
standards","None/
unknown",RTFO+QS,"Other 
standards","None/
unknown",,,,,
Obligated companies,BP Oil UK Ltd,26%,6%,0%,0%,68%,0%,50%,24%,26%,50%,24%,26%,41,51%,3.9,92%,
,ConocoPhillips Ltd,33%,0%,0%,0%,31%,36%,47%,0%,53%,37%,10%,53%,38,55%,2.4,78%,
,Essar Oil (UK) Ltd,4%,0%,0%,0%,68%,28%,4%,0%,96%,4%,0%,96%,70,16%,2.1,53%,
,Esso Petroleum Company Ltd,51%,30%,0%,0%,11%,7%,51%,0%,49%,51%,0%,49%,30,64%,3.1,86%,
,Greenergy Fuels Ltd,45%,55%,0%,0%,0%,0%,45%,0%,55%,45%,0%,55%,30,65%,5.2,86%,
,Harvest Energy Ltd,58%,0%,0%,0%,24%,17%,60%,6%,35%,58%,7%,35%,31,63%,2.2,87%,
,Lissan Coal Company Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.0,100%,
,Mabanaft UK Ltd,79%,0%,0%,0%,14%,7%,79%,0%,21%,79%,0%,21%,23,73%,1.7,93%,
,Petroplus Refining Teesside Ltd,72%,28%,0%,0%,0%,0%,72%,3%,25%,72%,3%,25%,24,71%,2.0,94%,
,Prax Petroleum Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.0,100%,
,Shell UK Ltd,0%,0%,0%,0%,100%,0%,5%,0%,95%,0%,5%,95%,44,48%,3.4,76%,
,Topaz Energy Ltd,100%,0%,0%,0%,0%,0%,73%,0%,27%,73%,0%,27%,13,84%,4.0,93%,
,Total UK Ltd,72%,0%,0%,0%,15%,13%,74%,0%,26%,70%,4%,26%,26,69%,1.4,90%,
,Valero Energy Ltd,59%,16%,0%,0%,0%,25%,75%,0%,25%,59%,16%,25%,36,57%,1.0,60%,
Non-obligated companies,A & V Squires Plant Co ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.0,100%,
,Apple Fuels Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.0,100%,
,Argent Energy (UK) Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.0,100%,
,Associated British Bio-Fuels Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,2.0,100%,
,Bio UK Fuels (Sheffield) Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.0,100%,
,Biofuel Refineries Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,10,88%,7.0,100%,
,Biomotive Fuels Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,3,96%,5.6,100%,
,Convert2Green Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.0,100%,
,Edible Oil Direct Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,13,84%,2.0,100%,
,Evergreen Oil (High Laver) Ltd ,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.0,100%,
,Footprint Fuels,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.0,100%,
,Fuel Systems UK Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.0,100%,
,Gasrec Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,27,68%,6.5,100%,
,Neal Environmental Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,0.0,100%,
,Proper Energy Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.0,100%,
,Pure Fuels Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.7,100%,
,Rural Development Trust,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.0,75%,
,Uptown Biodiesel Ltd,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.7,100%,
,Veg Oil Motoring,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,1,99%,3.0,100%,
,Verdant Fuel Ltd,0%,29%,0%,0%,30%,41%,59%,0%,41%,0%,59%,41%,36,57%,1.3,79%,
,Wight Made Diesel,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,14,83%,1.0,100%,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"1 Only six land use types have been reported by companies in year four: by-products, cropland - non protected;  cropland - protected;  cropland protected/protection status unknown; cropland - protection status; unknown land use.  ",,,,,,,,,,,,,,,,,,
"The other land use types are: degraded land; forest >30%; forest >30% no change in status; forest 10-30%; forest 10-30% no change in status, grassland with agricultural land; grassland without agricultural land; settlement, undrained peatland; undrained peatland - no change in status; wetland; wetland - no change in status.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,

RTFO report for the pre-RED implementation part of Year 4,,,,,,,,,,,,,,,,,,
Provisional data for the 2011/12 obligation year to date,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Trading of RTFCs,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,RTFCs traded per quarter by type of account holder,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
