Department family,Entity,Entered On,Supplier Name,Expense Type,Expense Area,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,BARCLAYCARD PROCUREMENT CARD,Internet & Telecomms,ITC Department,8921,53.55
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,Interface,8921,41.7
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,BARCLAYCARD PROCUREMENT CARD,Stationery,Event Management,8921,163.15
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,CORONA ENERGY,Gas,Operations,8923,6566.4
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,Communication Shows Limited,Cost of Sales - Commission,Commercial,8926,486.8
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,Communication Shows Limited,Cost of Sales - Commission,Commercial,8927,1939.3
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,Conference Search Ltd,Cost of Sales - Commission,Commercial,8928,436
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,Conference Search Ltd,Cost of Sales - Commission,Commercial,8929,457.03
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,GALLOWGLASS LIMITED,Cost of Sales - Time & Labour,Event Management,8930,525
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8932,1578.12
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,GovNet Communications,Cost of Sales - Commission,Commercial,8934,1112.7
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,GovNet Communications,Cost of Sales - Commission,Commercial,8935,1236.7
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,Leith's at the Centre,Marketing,Commercial,8939,1067.55
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,MOORE PEOPLE KENNER LTD,Agency Labour,Event Management,8940,1510.5
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,Solaris Healthcare Network Ltd,Cost of Sales - Commission,Commercial,8942,629.5
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,THE REWARD PARTNERSHIP,Consultants,Administration,8943,3396.05
Communities And Local Government,Queen Elizabeth II Conference Centre,15/07/2009,Visit London Ltd,Exhibitions,Commercial,8945,3950
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2009,DAVID BOYCE,Cost of Sales - Freelance Technicians,Interface,8950,678
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2009,LAWRENCE TILDESLEY,Cost of Sales - Freelance Technicians,Interface,8957,1078
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2009,LAWRENCE TILDESLEY,Cost of Sales - Freelance Technicians,Interface,8958,616
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2009,MICHAEL NEVARD,Cost of Sales - Freelance Technicians,Interface,8960,693
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2009,QED PRODUCTIONS LTD,Cost of Sales - Sets,Interface,8966,760
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2009,QED PRODUCTIONS LTD,Cost of Sales - Equipment Hire,Interface,8966,750
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2009,PROJECTED IMAGE UK LTD,Cost of Sales - Consumables,Interface,8967,541.5
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2009,TOM MORRIS,Cost of Sales - Freelance Technicians,Interface,8969,1751
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2009,TOM MORRIS,Cost of Sales - Freelance Technicians,Interface,8970,1509
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2009,DENE UNSWORTH,Cost of Sales - Freelance Technicians,Interface,8972,1109
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2009,VERIZON UK LIMITED,Cost of Sales - Equipment Hire,ITC Department,8974,1835
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,8976,1301
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Equipment Hire,Interface,8976,150
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,DENE UNSWORTH,Cost of Sales - Freelance Technicians,Interface,8978,870
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,DENE UNSWORTH,Cost of Sales - Freelance Technicians,Interface,8979,624
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,ESSENTIAL LIGHTING LTD,Cost of Sales - Equipment Hire,Interface,8988,650
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,PHILIP DE JONG T/A Mr Durden Ltd,Cost of Sales - Freelance Technicians,Interface,8993,600
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,A PERTON SIGNS LIMITED,Cost of Sales - Signage,Interface,8997,5664
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,A PERTON SIGNS LIMITED,Consumables,Interface,8997,45
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,A PERTON SIGNS LIMITED,Marketing,Commercial,8997,66
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,A PERTON SIGNS LIMITED,Cost of Sales - Sets,Interface,8997,8979
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,GREATER LONDON HIRE LTD,Carriage,Interface,9001,413.95
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,GREATER LONDON HIRE LTD,Carriage,Operations,9001,25.13
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,VITESSE PLC,Consumables,ITC Department,9002,1808
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,Smooth Events Management Ltd,Cost of Sales - Commission,Commercial,9003,1000.5
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Cost of Sales - Contract Labour,Operations,9004,1394.85
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,9004,2420.7
Communities And Local Government,Queen Elizabeth II Conference Centre,21/07/2009,MATT PHILLIPS,Cost of Sales - Freelance Technicians,Interface,9010,600
Communities And Local Government,Queen Elizabeth II Conference Centre,21/07/2009,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,9011,847.85
Communities And Local Government,Queen Elizabeth II Conference Centre,21/07/2009,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,9013,1081.38
Communities And Local Government,Queen Elizabeth II Conference Centre,21/07/2009,Leith's at the Centre,Entertaining,Administration,9014,1399.06
Communities And Local Government,Queen Elizabeth II Conference Centre,21/07/2009,NICK POWERS LTD,Cost of Sales - Freelance Technicians,Interface,9015,694
Communities And Local Government,Queen Elizabeth II Conference Centre,21/07/2009,LOUISA GLADWIN,Cost of Sales - Freelance Technicians,Interface,9017,662
Communities And Local Government,Queen Elizabeth II Conference Centre,21/07/2009,CHRIS BRAUN,Cost of Sales - Freelance Technicians,Interface,9019,3948
Communities And Local Government,Queen Elizabeth II Conference Centre,22/07/2009,Bracken Presentations Limited,Cost of Sales - Commission,Commercial,9021,501
Communities And Local Government,Queen Elizabeth II Conference Centre,22/07/2009,WIFI SPARK LTD,Maintenance,Operations,9028,5983.64
Communities And Local Government,Queen Elizabeth II Conference Centre,22/07/2009,DELL COMPUTER CORPORATION LTD,Video Equipment,Interface,9031,1457.6
Communities And Local Government,Queen Elizabeth II Conference Centre,22/07/2009,DELL COMPUTER CORPORATION LTD,IT Equipment Maintenance,ITC Department,9031,156.8
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2009,LOUISA GLADWIN,Cost of Sales - Freelance Technicians,Interface,9033,800
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2009,THAMES WATER UTILITIES LTD,Water,Operations,9034,3264.02
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2009,MEETING MATRIX GLOBAL SALES,Maintenance,Operations,9035,4106.67
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2009,IML LTD,Cost of Sales - Equipment Hire,Interface,9036,5145
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2009,NICK POWERS LTD,Cost of Sales - Freelance Technicians,Interface,9037,600
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9039,6352.88
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9040,1254.55
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9041,777.57
Communities And Local Government,Queen Elizabeth II Conference Centre,24/07/2009,IML LTD,Cost of Sales - Equipment Hire,Interface,9044,5145
Communities And Local Government,Queen Elizabeth II Conference Centre,24/07/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9045,3522.83
Communities And Local Government,Queen Elizabeth II Conference Centre,24/07/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9046,40586.82
Communities And Local Government,Queen Elizabeth II Conference Centre,24/07/2009,VOHM,Marketing,Commercial,9047,850
Communities And Local Government,Queen Elizabeth II Conference Centre,24/07/2009,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,9048,893.08
Communities And Local Government,Queen Elizabeth II Conference Centre,24/07/2009,BETTER SOUND LIMITED,Cost of Sales - Equipment Hire,Interface,9051,481
Communities And Local Government,Queen Elizabeth II Conference Centre,24/07/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9052,2929.52
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,GREATER LONDON HIRE LTD,Travel,Operations,9056,73.6
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,GREATER LONDON HIRE LTD,Travel,Event Management,9056,1109.47
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,GREATER LONDON HIRE LTD,Travel,Interface,9056,216.39
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,GREATER LONDON HIRE LTD,Travel,ITC Department,9056,24.68
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,Leith's at the Centre,Entertaining,Event Management,9057,111.5
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,Leith's at the Centre,Entertaining,Operations,9057,4.42
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,Leith's at the Centre,Entertaining,Administration,9057,145.7
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,Leith's at the Centre,Entertaining,Event Management,9057,106.2
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,Leith's at the Centre,Entertaining,Interface,9057,48.2
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,Leith's at the Centre,Entertaining,Interface,9057,13.28
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,Leith's at the Centre,Entertaining,Administration,9057,91.45
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,MATT PHILLIPS,Cost of Sales - Freelance Technicians,Interface,9058,800
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,"EDF ENERGY CUST FIELD SERVICES
(annual)",Electricity,Operations,9059,597
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,ESSENTIAL LIGHTING LTD,Cost of Sales - Equipment Hire,Interface,9062,1168.35
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,DULUX DECORATOR CENTRE,Maintenance,Operations,9065,1204.41
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,9068,509.25
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2009,ENABLE ACCESS,Maintenance,Operations,9071,1133.5
Communities And Local Government,Queen Elizabeth II Conference Centre,28/07/2009,IML LTD,Cost of Sales - Equipment Hire,Interface,9073,436
Communities And Local Government,Queen Elizabeth II Conference Centre,28/07/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,9074,42319.24
Communities And Local Government,Queen Elizabeth II Conference Centre,28/07/2009,GARETH BUTLER,Cost of Sales - Freelance Technicians,Interface,9076,862
Communities And Local Government,Queen Elizabeth II Conference Centre,29/07/2009,THE EVENT WORKSHOP LTD,Cost of Sales - Commission,Commercial,9080,2642
Communities And Local Government,Queen Elizabeth II Conference Centre,30/07/2009,Visit London Ltd,Marketing,Commercial,9083,3500
Communities And Local Government,Queen Elizabeth II Conference Centre,30/07/2009,KAISER & KRAFT LTD,Operational Equipment,Operations,9084,844
Communities And Local Government,Queen Elizabeth II Conference Centre,30/07/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9085,1086.77
Communities And Local Government,Queen Elizabeth II Conference Centre,30/07/2009,CUNDALL JOHNSTON & PARTNERS LLP,Consultants,Operations,9086,5637
Communities And Local Government,Queen Elizabeth II Conference Centre,30/07/2009,BK DESIGN ASSOCIATES UK LTD,Consultants,Operations,9087,2500
Communities And Local Government,Queen Elizabeth II Conference Centre,30/07/2009,BK DESIGN ASSOCIATES UK LTD,Consultants,Operations,9088,1650
Communities And Local Government,Queen Elizabeth II Conference Centre,30/07/2009,THE FRIARY ELECTRICAL COMPANY,Building Improvements,Operations,9089,61725.18
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9090,1209.58
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9091,4224.7
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2009,Acclaim Events & Media Communications Ltd,Cost of Sales - Commission,Commercial,9093,2952.75
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2009,MATTHEW JACKSON,Cost of Sales - Freelance Technicians,Interface,9094,600
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,9095,600
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Sets,Interface,9097,643
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2009,MICHAEL NEVARD,Cost of Sales - Freelance Technicians,Interface,9098,800
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2009,SHIELD PEST CONTROL,Maintenance,Operations,9099,447.8
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2009,DENE UNSWORTH,Cost of Sales - Freelance Technicians,Interface,9102,1030
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9108,3014.65
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9109,2375.78
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2009,LE MARK GROUP,Consumables,Interface,9111,1133.4
Communities And Local Government,Queen Elizabeth II Conference Centre,04/08/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9113,54547.96
Communities And Local Government,Queen Elizabeth II Conference Centre,04/08/2009,COMPUTACENTER UK LTD,IT Equipment Maintenance,ITC Department,9117,1083.05
Communities And Local Government,Queen Elizabeth II Conference Centre,04/08/2009,Marmalade On Toast,Marketing,Commercial,9118,500
Communities And Local Government,Queen Elizabeth II Conference Centre,04/08/2009,DAVID BOYCE,Cost of Sales - Freelance Technicians,Interface,9119,800
Communities And Local Government,Queen Elizabeth II Conference Centre,04/08/2009,LE MARK GROUP,Consumables,Interface,9121,1874.52
Communities And Local Government,Queen Elizabeth II Conference Centre,05/08/2009,COMPUTACENTER UK LTD,IT & Telecom Equipment,Operations,9126,2905.23
Communities And Local Government,Queen Elizabeth II Conference Centre,05/08/2009,COMPUTACENTER UK LTD,Consumables,ITC Department,9127,1505.02
Communities And Local Government,Queen Elizabeth II Conference Centre,05/08/2009,COMPUTACENTER UK LTD,IT & Telecom Equipment,Operations,9128,2572.86
Communities And Local Government,Queen Elizabeth II Conference Centre,05/08/2009,VOHM,Marketing,Commercial,9129,600
Communities And Local Government,Queen Elizabeth II Conference Centre,06/08/2009,A PERTON SIGNS LIMITED,Cost of Sales - Sets,Interface,9130,3681
Communities And Local Government,Queen Elizabeth II Conference Centre,06/08/2009,A PERTON SIGNS LIMITED,Cost of Sales - Signage,Interface,9130,6481
Communities And Local Government,Queen Elizabeth II Conference Centre,06/08/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9131,2235.75
Communities And Local Government,Queen Elizabeth II Conference Centre,06/08/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9132,2264.9
Communities And Local Government,Queen Elizabeth II Conference Centre,06/08/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9135,3021.15
Communities And Local Government,Queen Elizabeth II Conference Centre,06/08/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9136,1099.85
Communities And Local Government,Queen Elizabeth II Conference Centre,06/08/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9137,781
Communities And Local Government,Queen Elizabeth II Conference Centre,06/08/2009,ROYAL & SUNALLIANCE ENGINEERIN,Maintenance,Operations,9140,12439.6
Communities And Local Government,Queen Elizabeth II Conference Centre,06/08/2009,REDSTONE CONVERGED SOLUTIONS LTD,Cost of Sales - Telecommunications,ITC Department,9141,4877.05
Communities And Local Government,Queen Elizabeth II Conference Centre,06/08/2009,Pro-ven,Cost of Sales - Commission,Commercial,9142,2205.75
Communities And Local Government,Queen Elizabeth II Conference Centre,07/08/2009,MERCURY AV LIMITED,Audio Equipment,Interface,9144,1917.9
Communities And Local Government,Queen Elizabeth II Conference Centre,07/08/2009,GREATER LONDON HIRE LTD,Carriage,Operations,9145,100.03
Communities And Local Government,Queen Elizabeth II Conference Centre,07/08/2009,GREATER LONDON HIRE LTD,Carriage,ITC Department,9145,12.55
Communities And Local Government,Queen Elizabeth II Conference Centre,07/08/2009,GREATER LONDON HIRE LTD,Carriage,Interface,9145,703.2
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2009,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,Audit Costs,Administration,9147,3950
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2009,CITY OF WESTMINSTER,Business Rates,Administration,9148,44717
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2009,BARCLAYCARD PROCUREMENT CARD,IT Equipment Maintenance,ITC Department,9149,3081.83
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2009,BARCLAYCARD PROCUREMENT CARD,Maintenance,Interface,9149,87.43
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,Interface,9149,9.95
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2009,BARCLAYCARD PROCUREMENT CARD,Internet & Telecomms,ITC Department,9149,78.02
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2009,BARCLAYCARD PROCUREMENT CARD,Maintenance,Operations,9149,807.07
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,ITC Department,9149,41.98
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2009,BARCLAYCARD PROCUREMENT CARD,Cost Of Sales - Consumables,Business Centre,9149,69.39
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2009,BARCLAYCARD PROCUREMENT CARD,Training,Administration,9149,159
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2009,BARCLAYCARD PROCUREMENT CARD,Cleaners & Porters,Event Management,9149,472.81
Communities And Local Government,Queen Elizabeth II Conference Centre,11/08/2009,BARCLAYCARD PROCUREMENT CARD,Stationery,Event Management,9149,922.03
Communities And Local Government,Queen Elizabeth II Conference Centre,12/08/2009,CORONA ENERGY,Gas,Operations,9151,7286.58
Communities And Local Government,Queen Elizabeth II Conference Centre,13/08/2009,TECHNOGRAPH LTD,Stationery,Event Management,9157,4200
Communities And Local Government,Queen Elizabeth II Conference Centre,13/08/2009,Publications UK Ltd,Advertising,Commercial,9161,1200
Communities And Local Government,Queen Elizabeth II Conference Centre,13/08/2009,CHRIS BRAUN,Cost of Sales - Freelance Technicians,Interface,9162,2428
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2009,FRIDAY'S MEDIA GROUP LIMITED,Marketing,Commercial,9164,2510
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2009,THOMPSON ELECTRICAL SERVICES,Building Improvements,Operations,9165,26030.55
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2009,EDF ENERGY,Electricity,Operations,9166,59047.87
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Building Improvements,Operations,9167,42750
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2009,BRITISH TELECOM,Cost of Sales - Telecommunications,ITC Department,9169,1921.86
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Cost of Sales - Contract Labour,Operations,9170,5006.51
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,9170,3262.6
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2009,THE FRIARY ELECTRICAL COMPANY,Building Improvements,Operations,9171,52278.38
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2009,Booking Services International,Cost of Sales - Commission,Commercial,9172,847.1
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2009,THAMES WATER UTILITIES LTD,Water,Operations,9173,695.29
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2009,TURTLE & PEARCE LIMITED,Maintenance,Operations,9177,680.76
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2009,LIME,Building Improvements,Operations,9178,33778.5
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Cost of Sales - Mini Shifts,Event Management,9179,4858.5
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Cost of Sales - Mini Shifts,Event Management,9180,4740
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2009,PLANTERIA GROUP (UK) LTD,Maintenance,Operations,9182,4015.05
Communities And Local Government,Queen Elizabeth II Conference Centre,20/08/2009,Paul James Associates Limited,Cost of Sales - Commission,Commercial,9185,1349.7
Communities And Local Government,Queen Elizabeth II Conference Centre,20/08/2009,Event-X Limited,Cost of Sales - Commission,Commercial,9186,691
Communities And Local Government,Queen Elizabeth II Conference Centre,20/08/2009,ELCRP,Disposal Of Waste,Operations,9187,626.86
Communities And Local Government,Queen Elizabeth II Conference Centre,20/08/2009,VALUATION OFFICE AGENCY,Maintenance,Operations,9190,2500
Communities And Local Government,Queen Elizabeth II Conference Centre,20/08/2009,MITCHELL MCFARLANE AND PARTNERS,Consultants,Operations,9191,1800
Communities And Local Government,Queen Elizabeth II Conference Centre,20/08/2009,VIV BROUGHTON,Advertising,Commercial,9192,550
Communities And Local Government,Queen Elizabeth II Conference Centre,20/08/2009,CONCORDE SERVICES LTD T/as CONGREX UK LTD,Cost of Sales - Commission,Commercial,9194,1814.5
Communities And Local Government,Queen Elizabeth II Conference Centre,24/08/2009,VERIZON UK LIMITED,Cost of Sales - Equipment Hire,ITC Department,9196,1835
Communities And Local Government,Queen Elizabeth II Conference Centre,24/08/2009,UBM INFORMATION LTD,Advertising,Commercial,9202,3038
Communities And Local Government,Queen Elizabeth II Conference Centre,24/08/2009,VERIZON UK LIMITED,Internet & Telecomms,ITC Department,9203,1267
Communities And Local Government,Queen Elizabeth II Conference Centre,24/08/2009,VERIZON UK LIMITED,Marketing,Commercial,9203,14.16
Communities And Local Government,Queen Elizabeth II Conference Centre,24/08/2009,RAPID CLIMATE CONTROL LTD,Maintenance,Operations,9204,3192
Communities And Local Government,Queen Elizabeth II Conference Centre,24/08/2009,OMEGA DRAPES,Maintenance,Interface,9206,687.5
Communities And Local Government,Queen Elizabeth II Conference Centre,24/08/2009,WORKING WALL LIMITED,Video Equipment,Interface,9207,5859.8
Communities And Local Government,Queen Elizabeth II Conference Centre,24/08/2009,VERIZON UK LIMITED,Marketing,Commercial,9208,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,24/08/2009,VERIZON UK LIMITED,Internet & Telecomms,ITC Department,9208,1852
Communities And Local Government,Queen Elizabeth II Conference Centre,24/08/2009,WORKING WALL LIMITED,Video Equipment,Interface,9209,41290.32
Communities And Local Government,Queen Elizabeth II Conference Centre,24/08/2009,LIME,Furniture,Operations,9210,17850
Communities And Local Government,Queen Elizabeth II Conference Centre,24/08/2009,LIME,Building Improvements,Operations,9211,16889.25
Communities And Local Government,Queen Elizabeth II Conference Centre,25/08/2009,PULSAR LIGHT OF CAMBRIDGE LTD,Lighting Equipment,Interface,9223,5244.95
Communities And Local Government,Queen Elizabeth II Conference Centre,25/08/2009,BK DESIGN ASSOCIATES UK LTD,Consultants,Operations,9224,2500
Communities And Local Government,Queen Elizabeth II Conference Centre,25/08/2009,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,9225,917.18
Communities And Local Government,Queen Elizabeth II Conference Centre,26/08/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,9226,42319.24
Communities And Local Government,Queen Elizabeth II Conference Centre,01/09/2009,GREATER LONDON HIRE LTD,Travel,Event Management,9234,613
Communities And Local Government,Queen Elizabeth II Conference Centre,01/09/2009,GREATER LONDON HIRE LTD,Travel,Operations,9234,115.67
Communities And Local Government,Queen Elizabeth II Conference Centre,01/09/2009,GREATER LONDON HIRE LTD,Travel,Interface,9234,156.22
Communities And Local Government,Queen Elizabeth II Conference Centre,01/09/2009,THE KEW WORKSHOP COMPANY LTD,Maintenance,Interface,9237,3340
Communities And Local Government,Queen Elizabeth II Conference Centre,01/09/2009,AVCOM SYSTEMS LTD,Maintenance,Interface,9241,1208.9
Communities And Local Government,Queen Elizabeth II Conference Centre,01/09/2009,DELPHINI LTD,Maintenance,Interface,9244,560
Communities And Local Government,Queen Elizabeth II Conference Centre,01/09/2009,PRIMARC (MARKETING) LTD,Maintenance,Interface,9245,530.9
Communities And Local Government,Queen Elizabeth II Conference Centre,02/09/2009,Brief 2 Event,Cost of Sales - Commission,Commercial,9247,1242.9
Communities And Local Government,Queen Elizabeth II Conference Centre,02/09/2009,PHILIP DE JONG T/A Mr Durden Ltd,Cost of Sales - Freelance Technicians,Interface,9248,462
Communities And Local Government,Queen Elizabeth II Conference Centre,03/09/2009,CALDER CONFERENCES LIMITED,Cost of Sales - Commission,Commercial,9249,1047
Communities And Local Government,Queen Elizabeth II Conference Centre,03/09/2009,EXPOTEL HOTEL RESERVATIONS LTD,Cost of Sales - Commission,Commercial,9251,1089.05
Communities And Local Government,Queen Elizabeth II Conference Centre,03/09/2009,Marmalade On Toast,Marketing,Commercial,9254,2000
Communities And Local Government,Queen Elizabeth II Conference Centre,03/09/2009,Marmalade On Toast,Marketing,Commercial,9255,500
