Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,07/10/2011,Software Licences,Neighbourhoods,VERIZON UK LTD,,Large,,5106169602,20% Verizon Business IP Application host,RG2 6DA,"2,620.38",
Communities & Local Government,DCLG,07/10/2011,Software Licences,Neighbourhoods,VERIZON UK LTD,,Large,,5106169603,20% Verizon Business IP Application host,RG2 6DA,"2,620.38",
Communities & Local Government,DCLG,07/10/2011,Training,Finance & Corporate Services,LEGAL ISLAND LTD,,Small,,5106169577,Annual Review of Employment Law,BT41 1DN,445.00,
Communities & Local Government,DCLG,07/10/2011,Office machinery consumables,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,Large,,5106169557,ENVISAGE HP 4200 TONER,NR3 1PD,127.84,
Communities & Local Government,DCLG,07/10/2011,Office machinery consumables,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,Large,,5106169557,ENVISAGE LASER TONER HP 4250 HC BK,NR3 1PD,380.33,
Communities & Local Government,DCLG,07/10/2011,Office machinery consumables,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,Large,,5106169557,ENVISAGE TONER FOR HP 4700 10k CYAN,NR3 1PD,240.88,
Communities & Local Government,DCLG,07/10/2011,Office machinery consumables,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,Large,,5106169557,ENVISAGE TONER FOR HP 4700 10k YE,NR3 1PD,481.75,
Communities & Local Government,DCLG,07/10/2011,Office machinery consumables,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,Large,,5106169557,ENVISAGE TONER FOR HP 4700 11k BK,NR3 1PD,173.58,
Communities & Local Government,DCLG,07/10/2011,Web Services,Finance & Corporate Services,DIGIRATI LTD,,Micro,,5106168429,6 month monthy cost @ £15k per monjth,G1 3DX,"4,200.00",
Communities & Local Government,DCLG,07/10/2011,Web Services,Finance & Corporate Services,DIGIRATI LTD,,Micro,,5106168430,6 month monthy cost @ £15k per monjth,G1 3DX,"6,574.40",
Communities & Local Government,DCLG,07/10/2011,Web Services,Finance & Corporate Services,DIGIRATI LTD,,Micro,,5106168431,6 month monthy cost @ £15k per monjth,G1 3DX,"4,424.00",
Communities & Local Government,DCLG,07/10/2011,Web Services,Finance & Corporate Services,DIGIRATI LTD,,Micro,,5106168432,6 month monthy cost @ £15k per monjth,G1 3DX,"1,080.80",
Communities & Local Government,DCLG,07/10/2011,Web Services,Finance & Corporate Services,DIGIRATI LTD,,Micro,,5106168433,6 month monthy cost @ £15k per monjth,G1 3DX,"7,229.60",
Communities & Local Government,DCLG,07/10/2011,Web Services,Finance & Corporate Services,DIGIRATI LTD,,Micro,,5106168435,6 month monthy cost @ £15k per monjth,G1 3DX,"1,713.60",
Communities & Local Government,DCLG,07/10/2011,Capital Grants to People Non Profit,Localism,GROUNDWORK UK,Yes,,,2100208440,Green Space Activity,B1 2RR,"1,000,000.00",Yes
Communities & Local Government,DCLG,07/10/2011,Services provided by other Govt Orgs,Finance & Corporate Services,DEFENCE VETTING AGENCY,,,,5106169544,Services provided by other Gov'ment Deps,L2 3YL,"1,510.45",Yes
Communities & Local Government,DCLG,07/10/2011,IT - Service Contracts,Neighbourhoods,STERIA LIMITED,,Large,,5106168603,Supporting People HUB Local Systems data,M14 0WN,"-104,728.80",
Communities & Local Government,DCLG,07/10/2011,IT - Service Contracts,Finance & Corporate Services,STERIA LIMITED,,Large,,5106169562,TSA Extension Transition,M14 0WN,"15,593.20",
Communities & Local Government,DCLG,07/10/2011,IT - Service Contracts,Finance & Corporate Services,STERIA LIMITED,,Large,,5106169619,RDA: Project Management,M14 0WN,"26,445.78",
Communities & Local Government,DCLG,07/10/2011,Grant in Aid to NDPBs (non budget),Localism,COMMISSION LOCAL ADMINISTRATION,,,,2100208486,Handling of Parental Complaints Service,SW1P 4QP,"1,201,819.00",Yes
Communities & Local Government,DCLG,10/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LOWER CARBON ECONOMY-RESOURCE EFF,,,,2100208492,090_000000021636,LS11 5AE,"65,924.17",
Communities & Local Government,DCLG,10/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,ROTHERHAM METROPOLITAN BC,,,,2100208488,090_000000022360,S65 1DJ,"221,893.73",
Communities & Local Government,DCLG,10/10/2011,Agency Staff,Localism,AMQIS CONSORTIUM,,Medium,,5106169680,IT consultants X to 31/03/2012 (VAT20%),GU9 7XX,"6,343.86",
Communities & Local Government,DCLG,10/10/2011,Agency Staff,Finance & Corporate Services,SBS GROUP (UK) LTD,,Large,,5106169669,SAP Technical Support,EC1N 8TS,"16,311.60",
Communities & Local Government,DCLG,10/10/2011,Agency Staff,Finance & Corporate Services,SBS GROUP (UK) LTD,,Large,,5106169672,SAP PI Contractor,EC1N 8TS,"16,704.00",
Communities & Local Government,DCLG,10/10/2011,Agency Staff,Finance & Corporate Services,ALLEN LANE FINANCIAL RECRUITMENT,,,Yes,5106169683,Oct/Nov/Dec/Invoices,,"3,240.00",
Communities & Local Government,DCLG,10/10/2011,"IT - PC, Network & Hardware",Finance & Corporate Services,STERIA LIMITED,,Large,,5106169569,16 Dell Servers & 3 yrs Support - NR323,M14 0WN,"62,942.28",
Communities & Local Government,DCLG,10/10/2011,"IT - PC, Network & Hardware",Finance & Corporate Services,STERIA LIMITED,,Large,,5106169616,1gigabit SPF multi-mode fibre modules,M14 0WN,"2,858.16",
Communities & Local Government,DCLG,10/10/2011,"IT - PC, Network & Hardware",Finance & Corporate Services,STERIA LIMITED,,Large,,5106169616,Cisco Catalyst 3750V2 24TS,M14 0WN,"24,797.52",
Communities & Local Government,DCLG,10/10/2011,"IT - PC, Network & Hardware",Finance & Corporate Services,STERIA LIMITED,,Large,,5106169616,Cisco Catalyst 3750V2 48TS,M14 0WN,"54,278.10",
Communities & Local Government,DCLG,10/10/2011,IT Maintenance,Finance & Corporate Services,FUJITSU SERVICES LTD,,Large,,5106169653,Disposal Charges,SL1 0NR,"9,513.60",
Communities & Local Government,DCLG,10/10/2011,Current Grants to Non Profit Bodies,Neighbourhoods,VALUATION OFFICE AGENCY,,,,2100208386,Fair Rent Income,W1B 5BU,"610,000.00",Yes
Communities & Local Government,DCLG,10/10/2011,Vehicle hire,Finance & Corporate Services,GOVERNMENT CAR & DESPATCH AGENCY,,,,5106169363,Ministerial Cars,SW8 5AX,578.21,
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Localism,AIRWAVE SOLUTIONS LTD,,Large,,5106169645,Phase A Scotland 2011/12,SL1 2EJ,"305,817.43",
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Localism,AIRWAVE SOLUTIONS LTD,,Large,,5106169652,Phase A England 2011/12,SL1 2EJ,"1,133,612.93",
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,STERIA LIMITED,,Large,,5106169616,Switch Delivery,M14 0WN,295.68,
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,STERIA LIMITED,,Large,,5106169629,Birmingham - 1st Year Annual,M14 0WN,"13,484.21",
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,STERIA LIMITED,,Large,,5106169629,Newcastle - 1st Year Annual,M14 0WN,"13,484.22",
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,STERIA LIMITED,,Large,,5106169629,Birmingham - Install Charge,M14 0WN,"6,946.15",
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,STERIA LIMITED,,Large,,5106169629,Birmingham - Steria resour,M14 0WN,"5,137.30",
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,STERIA LIMITED,,Large,,5106169629,Newcastle - Install Charge,M14 0WN,"6,947.69",
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,STERIA LIMITED,,Large,,5106169629,Newcastle - Steria resources,M14 0WN,"5,137.30",
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,STERIA LIMITED,,Large,,5106169643,Liverpool - 1st Year Annual,M14 0WN,"13,484.22",
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,STERIA LIMITED,,Large,,5106169643,Warrington - 1st Year Annual,M14 0WN,"13,484.22",
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,STERIA LIMITED,,Large,,5106169643,Liverpool - Install Charge,M14 0WN,"6,946.15",
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,STERIA LIMITED,,Large,,5106169643,Liverpool - Steria resources,M14 0WN,"5,106.54",
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,STERIA LIMITED,,Large,,5106169643,Warrington - Install Charge,M14 0WN,"19,266.16",
Communities & Local Government,DCLG,10/10/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,STERIA LIMITED,,Large,,5106169643,Warrington - Steria resources,M14 0WN,"5,106.54",
Communities & Local Government,DCLG,10/10/2011,Electricity,Localism,EDF ENERGY 1 LIMITED,,Large,,5106169625,Y&H RCC from line 30 new IO 11-12,PL3 5XQ,"4,509.38",
Communities & Local Government,DCLG,10/10/2011,Electricity,Localism,EDF ENERGY 1 LIMITED,,Large,,5106169627,SW RCC Electricity 11-12 IO 1007972,PL3 5XQ,"6,993.83",
Communities & Local Government,DCLG,10/10/2011,Electricity,Localism,EDF ENERGY 1 LIMITED,,Large,,5106169650,H1044 EoE RCC from 01 Feb 11,PL3 5XQ,"4,466.24",
Communities & Local Government,DCLG,10/10/2011,IT - Service Contracts,Finance & Corporate Services,FUJITSU SERVICES LTD,,Large,,5106169654,Deskside Support,SL1 0NR,"9,300.00",
Communities & Local Government,DCLG,10/10/2011,IT - Service Contracts,Finance & Corporate Services,FUJITSU SERVICES LTD,,Large,,5106169655,Termination Assistance Milestone ICM19,SL1 0NR,"130,873.20",
Communities & Local Government,DCLG,10/10/2011,IT - Service Contracts,Finance & Corporate Services,FUJITSU SERVICES LTD,,Large,,5106169656,Transfer of DfT Data from GON,SL1 0NR,"5,890.00",
Communities & Local Government,DCLG,10/10/2011,IT - Service Contracts,Finance & Corporate Services,STERIA LIMITED,,Large,,5106169590,Floor Walkers and Phone Support IA323/13,M14 0WN,"48,061.20",
Communities & Local Government,DCLG,10/10/2011,IT - Service Contracts,Finance & Corporate Services,STERIA LIMITED,,Large,,5106169591,RDA Laptop Build and Roll Out IA323/14,M14 0WN,"78,030.00",
Communities & Local Government,DCLG,10/10/2011,IT - Service Contracts,Finance & Corporate Services,STERIA LIMITED,,Large,,5106169592,RDA: GO Laptop/Desktop Build & Rollout,M14 0WN,"53,517.77",
Communities & Local Government,DCLG,10/10/2011,IT - Service Contracts,Finance & Corporate Services,STERIA LIMITED,,Large,,5106169593,RDA: Office Implementation,M14 0WN,"235,088.31",
Communities & Local Government,DCLG,10/10/2011,IT - Service Contracts,Finance & Corporate Services,STERIA LIMITED,,Large,,5106169594,RDA: PM and TDA (Post Initiation),M14 0WN,"69,446.40",
Communities & Local Government,DCLG,10/10/2011,IT - Service Contracts,Finance & Corporate Services,STERIA LIMITED,,Large,,5106169618,Floor Walkers and Phone Support IA323/13,M14 0WN,"104,010.55",
Communities & Local Government,DCLG,10/10/2011,Finance Consultancy,Localism,GOVT ACTUARYS DEPARTMENT,,Medium,,5106169664,Provision of Pension Advice LGPS,N11 2JT,"38,282.60",
Communities & Local Government,DCLG,10/10/2011,Finance Consultancy,Localism,GOVT ACTUARYS DEPARTMENT,,Medium,,5106169665,Provision of Pension Advice LGPS,N11 2JT,"81,451.36",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,BUSINES & ENTERPRISE NORTH EAST,,,,2100208565,NE003928C,SR7 7TT,"10,724.46",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,GENERATOR,,Micro,,2100208566,NE005378,NE1 2PQ,"16,971.55",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,ONE NORTH EAST (FINAL BENEFICARY),,,,2100208564,NE005067,NE15 8NY,"67,073.18",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,FOOD NORTHWEST LIMITED,,,,2100208560,North West ERDF Programme,WA7 4QF,"33,714.55",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,MERSEY MARTIME LTD,,,,2100208561,North West ERDF Programme,CH41 5LH,"14,102.83",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NORTH WEST DEVELOPMENT AGENCY,,,,2100208562,North West ERDF Programme,WA1 1XB,"66,583.57",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,MERSEY PARTNERSHIP,,,,2100208563,North West ERDF Programme,L3 1BG,"217,251.03",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,ASHFIELD DISTRICT COUNCIL,,Large,,2100208571,EMX06082,NG17 8DA,"3,866.99",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,MANSFIELD DISTRICT COUNCIL,,Large,,2100208570,EMX06402,NG19 7BH,"2,480.00",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,MEDIAWORKS TRUST,,Small,,2100208569,EMX05587,DE22 3RG,"2,327.01",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LEICESTER UNIVERSITY,,Large,,2100208568,EMX06813,LE1 7RH,"38,603.60",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,GWE BUSINESS WEST LTD,,,,2100208577,071_000000202698,BS8 3RA,"28,445.39",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CITY OF BRISTOL COLLEGE,,,,2100208578,071_000000203308,BS2 2BB,"16,458.32",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SERCO REGIONAL SERVICES LTD,,,,2100208579,071_000000202468,PL6 8BT,"330,150.55",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,UNIVERSITY COLLEGE FALMOUTH,,,,2100208575,072_000000202496,TR11 4RH,"134,525.36",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,YTKO LIMITED,,,,2100208573,072_000000202400,CB4 0WS,"161,161.77",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,MEDIAWORKS TRUST,,Small,,2100208569,EMX05587,DE22 3RG,212.71,
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,LEICESTER UNIVERSITY,,Large,,2100208568,EMX06813,LE1 7RH,149.60,
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,ACORN DEVELOPMENTS,,,,2100208574,072_000000203438,TR8 5PZ,"378,745.91",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,PRACTICAL DEVELOPMENTS (SOUTH WEST),,,,2100208576,072_000000203125,TR15 1SS,"240,207.74",
Communities & Local Government,DCLG,11/10/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,UNIVERSITY COLLEGE FALMOUTH,,,,2100208575,072_000000202496,TR11 4RH,"417,100.76",
Communities & Local Government,DCLG,11/10/2011,Goods Received/Invoice Received,Localism,DORSET FIRE AUTHORITY,,Medium,,2300001531,Change of PO Line,DT1 3SU,"-16,581.33",
Communities & Local Government,DCLG,11/10/2011,Agency Staff,Localism,CAPITA RESOURCING LTD,,Large,,5106169716,Conractor LGA Advisor,SL6 1DP,"2,316.60",
Communities & Local Government,DCLG,11/10/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106169718,Contractor ERDF,SL6 1DP,"2,088.00",
Communities & Local Government,DCLG,11/10/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106169718,Contractor ERDF Expenses,SL6 1DP,73.78,
Communities & Local Government,DCLG,11/10/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106169719,DayRate ERREG2 Seas-Territorial,SL6 1DP,939.60,
Communities & Local Government,DCLG,11/10/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106169724,DayRate INTERREG 2Seas-Territorial Facil,SL6 1DP,"2,328.27",
Communities & Local Government,DCLG,11/10/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,Large,,5106169724,Expenses INTERREG 2Seas-Territorial Faci,SL6 1DP,302.78,
Communities & Local Government,DCLG,11/10/2011,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106169714,Contractor Internal Audit,SL6 1DP,"1,863.00",
Communities & Local Government,DCLG,11/10/2011,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106169714,Contractor Internal Audit Expenses,SL6 1DP,36.07,
Communities & Local Government,DCLG,11/10/2011,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106169720,Contractor Internal Audit,SL6 1DP,"1,584.00",
Communities & Local Government,DCLG,11/10/2011,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106169721,Contractor Internal Audit,SL6 1DP,"2,235.60",
Communities & Local Government,DCLG,11/10/2011,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106169722,Contractor Internal Audit,SL6 1DP,"1,794.72",
Communities & Local Government,DCLG,11/10/2011,Legal Fees,Finance & Corporate Services,TREASURY SOLICITORS DEPT,,,,5106169676,Tsol Payments with 20%VAT rate,WC2B 4TS,"3,016.80",
Communities & Local Government,DCLG,11/10/2011,Legal Fees,Finance & Corporate Services,TREASURY SOLICITORS DEPT,,,,5106169688,Tsol Payments with 20%VAT rate,WC2B 4TS,"1,711.80",
Communities & Local Government,DCLG,11/10/2011,Legal Fees,Finance & Corporate Services,TREASURY SOLICITORS DEPT,,,,5106169701,Tsol Payments with 20%VAT rate,WC2B 4TS,"-2,854.50",
Communities & Local Government,DCLG,11/10/2011,Legal Fees,Finance & Corporate Services,JAMES MAURICI,,Micro,Yes,5106169693,20% Legal -Counsel Fees,,624.00,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Localism,DORSET FIRE AUTHORITY,,Medium,,2100208658,4500282043line280,DT1 3SU,"16,581.33",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,,Small,,2100208583,September consolidated travel costs,BD1 3AZ,"1,000.83",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,,Small,,2100208586,September consolidated travel costs,BD1 3AZ,864.07,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208582,September consolidated travel costs,BD1 3AZ,912.00,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208582,September consolidated travel costs,BD1 3AZ,587.72,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208582,September consolidated travel costs,BD1 3AZ,"4,735.57",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208582,September consolidated travel costs,BD1 3AZ,743.66,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208583,September consolidated travel costs,BD1 3AZ,939.25,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208583,September consolidated travel costs,BD1 3AZ,"1,410.80",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208583,September consolidated travel costs,BD1 3AZ,"1,370.63",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208583,September consolidated travel costs,BD1 3AZ,"1,542.97",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208583,September consolidated travel costs,BD1 3AZ,712.72,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208585,September consolidated travel costs,BD1 3AZ,845.28,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208585,September consolidated travel costs,BD1 3AZ,745.22,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208585,September consolidated travel costs,BD1 3AZ,731.11,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208585,September consolidated travel costs,BD1 3AZ,"1,660.67",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208585,September consolidated travel costs,BD1 3AZ,515.95,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208585,September consolidated travel costs,BD1 3AZ,"1,001.97",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208585,September consolidated travel costs,BD1 3AZ,522.29,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208586,September consolidated travel costs,BD1 3AZ,"3,215.70",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,Small,,2100208586,September consolidated travel costs,BD1 3AZ,"1,269.36",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,Small,,2100208584,September consolidated travel costs,BD1 3AZ,"4,225.07",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,Small,,2100208586,September consolidated travel costs,BD1 3AZ,594.31,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,Small,,2100208586,September consolidated travel costs,BD1 3AZ,"5,174.57",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,Small,,2100208586,September consolidated travel costs,BD1 3AZ,"1,973.13",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,Small,,2100208586,September consolidated travel costs,BD1 3AZ,509.94,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,Small,,2100208586,September consolidated travel costs,BD1 3AZ,"4,131.13",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,Small,,2100208586,September consolidated travel costs,BD1 3AZ,613.07,
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,Small,,2100208586,September consolidated travel costs,BD1 3AZ,"1,224.12",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,Small,,2100208588,September consolidated travel costs,BD1 3AZ,"15,647.76",
Communities & Local Government,DCLG,11/10/2011,Travel and Subsistence Account,Strategic Performance Team,REDFERN TRAVEL LIMITED,,Small,,2100208587,September consolidated travel costs,BD1 3AZ,"1,264.98",
Communities & Local Government,DCLG,11/10/2011,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106169556,Banner Recycled Casebound Book. A5.,NR3 1PD,9.60,
Communities & Local Government,DCLG,11/10/2011,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106169556,COUNSEL NOTEBOOK A4 80 PAGE RULED,NR3 1PD,11.92,
Communities & Local Government,DCLG,11/10/2011,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106169556,Evolve Business Paper. A4. 100gsm.,NR3 1PD,707.52,
Communities & Local Government,DCLG,11/10/2011,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106169556,Himark Highlighters Assorted,NR3 1PD,2.70,
Communities & Local Government,DCLG,11/10/2011,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106169556,STYLO STIK BALLPOINT PEN BLACK,NR3 1PD,75.36,
Communities & Local Government,DCLG,11/10/2011,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,,Large,,5106169556,STYLO STIK BALLPOINT PEN BLUE,NR3 1PD,75.36,
Communities & Local Government,DCLG,11/10/2011,Current Grants to Non Profit Bodies,Localism,FEDERATION CITY FARMS & COM GARDENS,Yes,Large,,2100208572,Grean Space activity,BS3 4NA,"100,000.00",Yes
Communities & Local Government,DCLG,11/10/2011,Current Grants to Non Profit Bodies,Localism,CFOA (NATIONAL RESILIANCE) LTD,,Small,,2100208472,Resiliance  capability management,GL56 0RH,"2,055,236.00",Yes
Communities & Local Government,DCLG,11/10/2011,Office Machinery (<£5000),Finance & Corporate Services,RICOH CAPITAL LTD,,Large,,5106169738,20% AHH A3/A4 photocopier rental,CR5 2HR,"1,567.44",
Communities & Local Government,DCLG,11/10/2011,Office Machinery (<£5000),Finance & Corporate Services,RICOH CAPITAL LTD,,Large,,5106169739,20% AHH A3/A4 photocopier rental,CR5 2HR,"1,567.44",
Communities & Local Government,DCLG,11/10/2011,EC Current Grants to Local Authorities,Neighbourhoods,GREATER LONDON AUTHORITY,,Large,,2100208580,ERDF OCT GLA CLAIM,SE1 2AA,"1,754,947.29",Yes
Communities & Local Government,DCLG,11/10/2011,Water,Finance & Corporate Services,THAMES WATER UTILITIES,,Large,,5106169633,Eland House Water 11-12,SN38 8TU,"1,772.92",
Communities & Local Government,DCLG,11/10/2011,Professional services,Finance & Corporate Services,PRICEWATERHOUSE,,Large,,2100208663,15% IAS Working with Private Sector,EC4A 4HT,"18,256.00",
Communities & Local Government,DCLG,11/10/2011,Professional services,Finance & Corporate Services,PRICEWATERHOUSE,,Large,,5106160304,15% IAS Working with Private Sector,EC4A 4HT,"-18,256.00",
